ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1960,1960-09-11,1,22.085,BUF,@,NYT,L 3-27,1,3,3.00,0,,,,1,1,100.0,0,3
2,1960,1960-09-18,2,22.092,BUF,,DEN,L 21-27,0,0,,0,1,2,50.0,,1,0.0,0,1
3,1960,1960-09-23,3,22.097,BUF,@,BOS,W 13-0,,,,,,,,,,,,
4,1960,1960-10-02,4,22.106,BUF,,LAC,L 10-24,0,0,,0,,,,1,1,100.0,0,3
5,1960,1960-10-16,5,22.120,BUF,,NYT,L 13-17,,,,,,,,,,,,
6,1960,1960-10-23,6,22.127,BUF,,OAK,W 38-9,,,,,,,,,,,,
7,1960,1960-10-30,7,22.134,BUF,,HOU,W 25-24,,,,,,,,,,,,
8,1960,1960-11-06,8,22.141,BUF,,DTX,L 28-45,,,,,,,,,,,,
9,1960,1960-11-13,9,22.148,BUF,@,OAK,L 7-20,,,,,,,,,,,,
10,1960,1960-11-20,10,22.155,BUF,@,LAC,W 32-3,,,,,,,,,,,,
11,1960,1960-11-27,11,22.162,BUF,@,DEN,T 38-38,,,,,,,,,,,,
12,1960,1960-12-04,12,22.169,BUF,,BOS,W 38-14,,,,,,,,,,,,
13,1960,1960-12-11,13,22.176,BUF,@,HOU,L 23-31,,,,,,,,,,,,
14,1960,1960-12-18,14,22.183,BUF,@,DTX,L 7-24,,,,,,,,,,,,
