ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1975,1975-09-21,1,24.109,ATL,@,STL,L 20-23,0,0,,0,2,3,1.50,0
2,1975,1975-09-28,2,24.116,ATL,,DET,L 14-17,0,0,,0,1,2,2.00,0
3,1975,1975-10-05,3,24.123,ATL,,NOR,W 14-7,0,0,,0,1,15,15.00,0
4,1975,1975-10-12,4,24.130,ATL,@,SFO,W 17-3,,,,,,,,
5,1975,1975-10-19,5,24.137,ATL,@,RAM,L 7-22,,,,,,,,
6,1975,1975-10-26,6,24.144,ATL,,CIN,L 14-21,,,,,,,,
7,1975,1975-11-02,7,24.151,ATL,@,NOR,L 7-23,,,,,,,,
8,1975,1975-11-09,8,24.158,ATL,@,MIN,L 0-38,,,,,,,,
9,1976,1976-10-23,7,25.141,ATL,@,SFO,L 0-15,,,,,,,,
10,1976,1976-10-31,8,25.149,ATL,,NOR,W 23-20,,,,,,,,
11,1976,1976-11-07,9,25.156,ATL,@,SEA,L 13-30,,,,,,,,
12,1976,1976-11-14,10,25.163,ATL,,SFO,W 21-16,,,,,,,,
13,1976,1976-11-21,11,25.170,ATL,,DAL,W 17-10,0,0,,0,1,0,0.00,0
14,1976,1976-11-28,12,25.177,ATL,@,HOU,L 14-20,2,48,24.00,0,0,0,,0
15,1976,1976-12-04,13,25.183,ATL,@,RAM,L 0-59,1,13,13.00,0,0,0,,0
16,1976,1976-12-12,14,25.191,ATL,,GNB,L 20-24,,,,,,,,
17,1977,1977-12-04,12,26.183,NYJ,@,NOR,W 16-13,,,,,,,,
18,1977,1977-12-11,13,26.190,NYJ,,BUF,L 10-14,,,,,,,,
19,1977,1977-12-18,14,26.197,NYJ,@,PHI,L 0-27,,,,,,,,
