ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,two_pt_md,all_td,scoring
1,2016,2016-09-11,1,23.044,DAL,,NYG,L 19-20,*,25,45,55.56,227,0,0,69.4,0,0,5.04,5.04,2,12,6.00,0,,0,0
2,2016,2016-09-18,2,23.051,DAL,@,WAS,W 27-23,*,22,30,73.33,292,0,0,103.7,4,14,9.73,9.73,1,6,6.00,1,,1,6
3,2016,2016-09-25,3,23.058,DAL,,CHI,W 31-17,*,19,24,79.17,248,1,0,123.6,0,0,10.33,11.17,4,36,9.00,1,,1,6
4,2016,2016-10-02,4,23.065,DAL,@,SFO,W 24-17,*,23,32,71.88,245,2,0,114.7,2,11,7.66,8.91,5,3,0.60,0,,0,0
5,2016,2016-10-09,5,23.072,DAL,,CIN,W 28-14,*,18,24,75.00,227,1,0,117.9,1,5,9.46,10.29,7,4,0.57,1,,1,6
6,2016,2016-10-16,6,23.079,DAL,@,GNB,W 30-16,*,18,27,66.67,247,3,1,117.4,2,14,9.15,9.70,1,6,6.00,0,,0,0
7,2016,2016-10-30,7,23.093,DAL,,PHI,W 29-23,*,19,39,48.72,287,2,1,79.8,2,14,7.36,7.23,7,38,5.43,1,,1,6
8,2016,2016-11-06,8,23.100,DAL,@,CLE,W 35-10,*,21,27,77.78,247,3,0,141.8,0,0,9.15,11.37,4,20,5.00,0,,0,0
9,2016,2016-11-13,9,23.107,DAL,@,PIT,W 35-30,*,22,32,68.75,319,2,0,121.7,2,24,9.97,11.22,0,0,,0,,0,0
10,2016,2016-11-20,10,23.114,DAL,,BAL,W 27-17,*,27,36,75.00,301,3,0,127.2,1,2,8.36,10.03,2,16,8.00,0,,0,0
11,2016,2016-11-24,11,23.118,DAL,,WAS,W 31-26,*,17,24,70.83,195,1,0,108.9,1,5,8.13,8.96,8,39,4.88,1,,1,6
12,2016,2016-12-01,12,23.125,DAL,@,MIN,W 17-15,*,12,18,66.67,139,1,0,108.3,3,15,7.72,8.83,6,37,6.17,0,,0,0
13,2016,2016-12-11,13,23.135,DAL,@,NYG,L 7-10,*,17,37,45.95,165,1,2,45.4,3,13,4.46,2.57,1,1,1.00,0,,0,0
14,2016,2016-12-18,14,23.142,DAL,,TAM,W 26-20,*,32,36,88.89,279,0,0,99.0,3,15,7.75,7.75,4,20,5.00,1,,1,6
15,2016,2016-12-26,15,23.150,DAL,,DET,W 42-21,*,15,20,75.00,212,3,0,148.3,1,11,10.60,13.60,4,35,8.75,0,,0,0
16,2016,2017-01-01,16,23.156,DAL,@,PHI,L 13-27,*,4,8,50.00,37,0,0,63.0,0,0,4.63,4.63,1,9,9.00,0,,0,0
17,2017,2017-09-10,1,24.043,DAL,,NYG,W 19-3,*,24,39,61.54,268,1,0,90.5,1,5,6.87,7.38,3,24,8.00,0,,0,0
18,2017,2017-09-17,2,24.050,DAL,@,DEN,L 17-42,*,30,50,60.00,238,2,2,68.6,2,10,4.76,3.76,3,24,8.00,0,,0,0
19,2017,2017-09-25,3,24.058,DAL,@,ARI,W 28-17,*,13,18,72.22,183,2,0,141.7,1,9,10.17,12.39,3,16,5.33,1,,1,6
20,2017,2017-10-01,4,24.064,DAL,,LAR,L 30-35,*,20,36,55.56,252,3,1,93.8,2,1,7.00,7.42,3,25,8.33,0,,0,0
21,2017,2017-10-08,5,24.071,DAL,,GNB,L 31-35,*,25,36,69.44,251,3,1,105.2,1,6,6.97,7.39,4,37,9.25,1,,1,6
22,2017,2017-10-22,6,24.085,DAL,@,SFO,W 40-10,*,16,25,64.00,234,3,0,134.0,0,0,9.36,11.76,4,26,6.50,1,,1,6
23,2017,2017-10-29,7,24.092,DAL,@,WAS,W 33-19,*,14,22,63.64,143,0,0,82.2,2,5,6.50,6.50,3,16,5.33,0,,0,0
24,2017,2017-11-05,8,24.099,DAL,,KAN,W 28-17,*,21,33,63.64,249,2,0,106.8,1,5,7.55,8.76,3,27,9.00,1,,1,6
25,2017,2017-11-12,9,24.106,DAL,@,ATL,L 7-27,*,20,30,66.67,176,0,0,82.1,8,50,5.87,5.87,6,42,7.00,1,,1,6
26,2017,2017-11-19,10,24.113,DAL,,PHI,L 9-37,*,18,31,58.06,145,0,3,30.4,4,32,4.68,0.32,2,10,5.00,0,,0,0
27,2017,2017-11-23,11,24.117,DAL,,LAC,L 6-28,*,20,27,74.07,179,0,2,60.6,2,11,6.63,3.30,0,0,,0,,0,0
28,2017,2017-11-30,12,24.124,DAL,,WAS,W 38-14,*,11,22,50.00,102,2,0,93.4,1,9,4.64,6.45,5,28,5.60,0,,0,0
29,2017,2017-12-10,13,24.134,DAL,@,NYG,W 30-10,*,20,30,66.67,332,3,0,137.1,0,0,11.07,13.07,6,13,2.17,0,,0,0
30,2017,2017-12-17,14,24.141,DAL,@,OAK,W 20-17,*,18,27,66.67,212,0,2,59.5,2,8,7.85,4.52,6,32,5.33,1,,1,6
31,2017,2017-12-24,15,24.148,DAL,,SEA,L 12-21,*,21,34,61.76,181,0,2,51.2,4,27,5.32,2.68,4,21,5.25,0,,0,0
32,2017,2017-12-31,16,24.155,DAL,@,PHI,W 6-0,*,17,30,56.67,179,1,0,85.3,1,7,5.97,6.63,2,16,8.00,0,,0,0
33,2018,2018-09-09,1,25.042,DAL,@,CAR,L 8-16,*,19,29,65.52,170,0,0,81.1,6,32,5.86,5.86,5,19,3.80,0,1,0,2
34,2018,2018-09-16,2,25.049,DAL,,NYG,W 20-13,*,16,25,64.00,160,1,0,95.4,0,0,6.40,7.20,7,45,6.43,0,,0,0
35,2018,2018-09-23,3,25.056,DAL,@,SEA,L 13-24,*,19,34,55.88,168,1,2,54.5,5,31,4.94,2.88,2,21,10.50,0,,0,0
