ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1961,1961-09-17,1,23.214,DAL,,PIT,W 27-24,3,3,100.0,2,4,50.0,0,9,6,187,31.17,1
2,1961,1961-09-24,2,23.221,DAL,,MIN,W 21-7,3,3,100.0,,1,0.0,0,3,4,146,36.50,0
3,1961,1961-10-01,3,23.228,DAL,@,CLE,L 7-25,1,1,100.0,,2,0.0,0,1,5,192,38.40,0
4,1961,1961-10-08,4,23.235,DAL,@,MIN,W 28-0,4,4,100.0,,,,0,4,7,266,38.00,0
5,1961,1961-10-15,5,23.242,DAL,,NYG,L 10-31,1,1,100.0,1,2,50.0,0,4,4,156,39.00,0
6,1961,1961-10-22,6,23.249,DAL,,PHI,L 7-43,1,1,100.0,,1,0.0,0,1,2,64,32.00,0
7,1961,1961-10-29,7,23.256,DAL,@,NYG,W 17-16,2,2,100.0,1,2,50.0,0,5,4,153,38.25,0
8,1961,1961-11-05,8,23.263,DAL,,STL,L 17-31,2,2,100.0,1,2,50.0,0,5,4,113,28.25,0
9,1961,1961-11-12,9,23.270,DAL,@,PIT,L 7-37,1,1,100.0,,,,0,1,10,418,41.80,0
10,1961,1961-11-19,10,23.277,DAL,,WAS,T 28-28,,,,,,,0,0,1,49,49.00,0
11,1961,1961-11-26,11,23.284,DAL,@,PHI,L 13-35,,,,,,,0,0,2,71,35.50,0
12,1961,1961-12-03,12,23.291,DAL,,CLE,L 17-38,1,1,100.0,,1,0.0,0,1,0,0,,0
13,1961,1961-12-10,13,23.298,DAL,@,STL,L 13-31,,,,,,,0,0,6,228,38.00,0
14,1961,1961-12-17,14,23.305,DAL,@,WAS,L 24-34,,,,,,,0,0,6,193,32.17,0
