ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1991,1991-09-22,4,23.159,RAI,@,ATL,L 17-21,6,21,3.50,0,,0,0,,0,,,0,0,,0
2,1992,1992-11-22,11,24.220,GNB,@,CHI,W 17-3,,,,,,,,,,0.0%,,,,,
3,1992,1992-11-29,12,24.227,GNB,,TAM,W 19-14,,,,,,,,,,0.0%,,,,,
4,1992,1992-12-06,13,24.234,GNB,,DET,W 38-10,,,,,,,,,,0.0%,,,,,
5,1992,1992-12-13,14,24.241,GNB,@,HOU,W 16-14,,,,,,,,,,0.0%,,,,,
6,1992,1992-12-20,15,24.248,GNB,,RAM,W 28-13,,,,,,,,,,0.0%,,,,,
7,1992,1992-12-27,16,24.255,GNB,@,MIN,L 7-27,,,,,,,,,,0.0%,,,,,
8,1993,1993-09-05,1,25.142,GNB,,RAM,W 36-6,2,8,4.00,0,,0,0,,0,0.0%,,0,0,,0
9,1993,1993-09-12,2,25.149,GNB,,PHI,L 17-20,1,0,0.00,0,,0,0,,0,0.0%,,0,0,,0
10,1993,1993-09-26,3,25.163,GNB,@,MIN,L 13-15,0,0,,0,,0,0,,0,0.0%,,0,0,,0
11,1993,1993-10-03,4,25.170,GNB,@,DAL,L 14-36,0,0,,0,1,1,11,11.00,0,100.0%,11.00,0,0,,0
12,1993,1993-10-10,5,25.177,GNB,,DEN,W 30-27,1,2,2.00,0,,0,0,,0,0.0%,,0,0,,0
13,1993,1993-10-24,6,25.191,GNB,@,TAM,W 37-14,0,0,,0,,0,0,,0,0.0%,,0,0,,0
14,1993,1993-10-31,7,25.198,GNB,,CHI,W 17-3,0,0,,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0
15,1993,1993-11-08,8,25.206,GNB,@,KAN,L 16-23,0,0,,0,,0,0,,0,0.0%,,2,57,28.50,0
16,1993,1993-11-14,9,25.212,GNB,@,NOR,W 19-17,1,0,0.00,0,,0,0,,0,0.0%,,0,0,,0
17,1993,1993-11-21,10,25.219,GNB,,DET,W 26-17,0,0,,0,,0,0,,0,0.0%,,1,6,6.00,0
18,1993,1993-11-28,11,25.226,GNB,,TAM,W 13-10,0,0,,0,,0,0,,0,0.0%,,0,0,,0
19,1993,1993-12-05,12,25.233,GNB,@,CHI,L 17-30,1,-7,-7.00,0,,0,0,,0,0.0%,,0,0,,0
20,1993,1993-12-12,13,25.240,GNB,@,SDG,W 20-13,0,0,,0,,0,0,,0,0.0%,,2,64,32.00,0
21,1993,1993-12-19,14,25.247,GNB,,MIN,L 17-21,0,0,,0,,0,0,,0,0.0%,,2,33,16.50,0
22,1993,1993-12-26,15,25.254,GNB,,RAI,W 28-0,0,0,,0,,0,0,,0,0.0%,,1,23,23.00,0
23,1993,1994-01-02,16,25.261,GNB,@,DET,L 20-30,0,0,,0,,0,0,,0,0.0%,,1,14,14.00,0
24,1994,1994-09-04,1,26.141,GNB,,MIN,W 16-10,,,,,,,,,,0.0%,,0,0,,0
25,1994,1994-09-11,2,26.148,GNB,,MIA,L 14-24,0,0,,0,0,0,0,,0,0.0%,,1,14,14.00,0
