ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2013,2013-09-09,1,21.095,HOU,@,SDG,W 31-28,*,6,5,66,13.20,0,83.3%,11.00,0,0,,0,,0,0,0.0,0,0
2,2013,2013-09-15,2,21.101,HOU,,TEN,W 30-24,*,13,7,117,16.71,1,53.8%,9.00,0,0,,0,,1,6,0.0,0,0
3,2013,2013-09-22,3,21.108,HOU,@,BAL,L 9-30,*,7,6,60,10.00,0,85.7%,8.57,0,0,,0,,0,0,0.0,0,0
4,2013,2013-09-29,4,21.115,HOU,,SEA,L 20-23,*,3,2,27,13.50,0,66.7%,9.00,0,0,,0,,0,0,0.0,0,0
5,2013,2013-10-06,5,21.122,HOU,@,SFO,L 3-34,*,4,2,23,11.50,0,50.0%,5.75,0,0,,0,,0,0,0.0,1,0
6,2013,2013-10-13,6,21.129,HOU,,STL,L 13-38,*,5,3,47,15.67,0,60.0%,9.40,0,0,,0,,0,0,0.0,1,0
7,2013,2013-10-20,7,21.136,HOU,@,KAN,L 16-17,*,4,3,76,25.33,1,75.0%,19.00,0,0,,0,,1,6,0.0,0,0
8,2013,2013-11-03,8,21.150,HOU,,IND,L 24-27,*,6,3,54,18.00,0,50.0%,9.00,0,0,,0,,0,0,0.0,0,0
9,2013,2013-11-10,9,21.157,HOU,@,ARI,L 24-27,*,11,6,69,11.50,0,54.5%,6.27,0,0,,0,,0,0,0.0,0,0
10,2013,2013-11-17,10,21.164,HOU,,OAK,L 23-28,*,2,1,7,7.00,0,50.0%,3.50,0,0,,0,,0,0,0.0,0,0
11,2013,2013-11-24,11,21.171,HOU,,JAX,L 6-13,*,4,1,8,8.00,0,25.0%,2.00,0,0,,0,,0,0,0.0,0,0
12,2013,2013-12-01,12,21.178,HOU,,NWE,L 31-34,*,5,2,77,38.50,0,40.0%,15.40,0,0,,0,,0,0,0.0,1,0
13,2013,2013-12-05,13,21.182,HOU,@,JAX,L 20-27,*,7,3,76,25.33,0,42.9%,10.86,0,0,,0,,0,0,0.0,0,0
14,2013,2013-12-15,14,21.192,HOU,@,IND,L 3-25,*,5,3,52,17.33,0,60.0%,10.40,0,0,,0,,0,0,0.0,0,0
15,2013,2013-12-22,15,21.199,HOU,,DEN,L 13-37,*,4,1,8,8.00,0,25.0%,2.00,0,0,,0,,0,0,0.0,0,0
16,2013,2013-12-29,16,21.206,HOU,@,TEN,L 10-16,*,5,4,35,8.75,0,80.0%,7.00,0,0,,0,,0,0,0.0,0,0
17,2014,2014-09-07,1,22.093,HOU,,WAS,W 17-6,*,5,4,89,22.25,1,80.0%,17.80,0,0,,0,,1,6,0.0,0,0
18,2014,2014-09-14,2,22.100,HOU,@,OAK,W 30-14,*,5,3,22,7.33,1,60.0%,4.40,0,0,,0,,1,6,0.0,0,0
19,2014,2014-09-21,3,22.107,HOU,@,NYG,L 17-30,*,9,6,116,19.33,0,66.7%,12.89,0,0,,0,,0,0,0.0,0,0
20,2014,2014-09-28,4,22.114,HOU,,BUF,W 23-17,*,6,5,64,12.80,1,83.3%,10.67,0,0,,0,,1,6,0.0,1,0
21,2014,2014-10-05,5,22.121,HOU,@,DAL,L 17-20,*,6,6,63,10.50,0,100.0%,10.50,0,0,,0,,0,0,0.0,0,0
22,2014,2014-10-09,6,22.125,HOU,,IND,L 28-33,*,2,1,12,12.00,0,50.0%,6.00,0,0,,0,,0,0,0.0,0,0
23,2014,2014-10-20,7,22.136,HOU,@,PIT,L 23-30,*,9,6,108,18.00,0,66.7%,12.00,0,0,,0,,0,0,0.0,0,0
24,2014,2014-10-26,8,22.142,HOU,@,TEN,W 30-16,*,11,5,95,19.00,0,45.5%,8.64,0,0,,0,,0,0,0.0,0,0
25,2014,2014-11-02,9,22.149,HOU,,PHI,L 21-31,*,11,6,115,19.17,1,54.5%,10.45,0,0,,0,,1,6,0.0,0,0
26,2014,2014-11-16,10,22.163,HOU,@,CLE,W 23-7,*,8,4,80,20.00,0,50.0%,10.00,0,0,,0,,0,0,0.0,0,0
27,2014,2014-11-23,11,22.170,HOU,,CIN,L 13-22,*,9,5,39,7.80,0,55.6%,4.33,0,0,,0,,0,0,0.0,0,0
28,2014,2014-11-30,12,22.177,HOU,,TEN,W 45-21,*,9,9,238,26.44,2,100.0%,26.44,0,0,,0,,2,12,0.0,0,0
29,2014,2014-12-07,13,22.184,HOU,@,JAX,W 27-13,*,6,4,49,12.25,0,66.7%,8.17,0,0,,0,,0,0,0.0,0,0
30,2014,2014-12-14,14,22.191,HOU,@,IND,L 10-17,*,13,5,77,15.40,0,38.5%,5.92,0,0,,0,,0,0,0.0,0,0
