ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1993,1993-09-05,1,23.238,PIT,,SFO,L 13-24,0,0,,0,,,,
2,1993,1993-09-12,2,23.245,PIT,@,RAM,L 0-27,2,10,5.00,0,0.0,0,0,0
3,1993,1993-09-19,3,23.252,PIT,,CIN,W 34-7,1,4,4.00,0,0.0,0,0,0
4,1993,1993-09-27,4,23.260,PIT,@,ATL,W 45-17,0,0,,0,0.0,1,78,0
5,1993,1993-10-10,5,23.273,PIT,,SDG,W 16-3,0,0,,0,,,,
6,1993,1993-10-17,6,23.280,PIT,,NOR,W 37-14,2,1,0.50,0,0.0,0,0,0
7,1993,1993-10-24,7,23.287,PIT,@,CLE,L 23-28,0,0,,0,,,,
8,1993,1993-11-07,8,23.301,PIT,@,CIN,W 24-16,0,0,,0,,,,
9,1993,1993-11-15,9,23.309,PIT,,BUF,W 23-0,0,0,,0,,,,
10,1993,1993-11-21,10,23.315,PIT,@,DEN,L 13-37,0,0,,0,,,,
11,1993,1993-11-28,11,23.322,PIT,@,HOU,L 3-23,0,0,,0,,,,
12,1993,1993-12-05,12,23.329,PIT,,NWE,W 17-14,0,0,,0,,,,
13,1993,1993-12-13,13,23.337,PIT,@,MIA,W 21-20,0,0,,0,,,,
14,1993,1993-12-19,14,23.343,PIT,,HOU,L 17-26,0,0,,0,,,,
15,1993,1994-01-02,16,23.357,PIT,,CLE,W 16-9,0,0,,0,,,,
16,1994,1994-09-04,1,24.237,PIT,,DAL,L 9-26,,,,,,,,
17,1994,1994-09-11,2,24.244,PIT,@,CLE,W 17-10,,,,,,,,
18,1994,1994-09-18,3,24.251,PIT,,IND,W 31-21,,,,,,,,
19,1994,1994-09-25,4,24.258,PIT,@,SEA,L 13-30,,,,,,,,
20,1994,1994-10-03,5,24.266,PIT,,HOU,W 30-14,,,,,,,,
21,1994,1994-10-16,6,24.279,PIT,,CIN,W 14-10,,,,,,,,
22,1994,1994-10-23,7,24.286,PIT,@,NYG,W 10-6,,,,,,,,
23,1994,1994-10-30,8,24.293,PIT,@,ARI,L 17-20,,,,,,,,
24,1994,1994-11-06,9,24.300,PIT,@,HOU,W 12-9,,,,,,,,
25,1994,1994-11-14,10,24.308,PIT,,BUF,W 23-10,,,,,,,,
26,1994,1994-11-20,11,24.314,PIT,,MIA,W 16-13,,,,,,,,
27,1994,1994-11-27,12,24.321,PIT,@,RAI,W 21-3,,,,,,,,
28,1994,1994-12-04,13,24.328,PIT,@,CIN,W 38-15,,,,,,,,
29,1994,1994-12-11,14,24.335,PIT,,PHI,W 14-3,0,0,,0,1.0,0,0,0
30,1994,1994-12-18,15,24.342,PIT,,CLE,W 17-7,,,,,,,,
31,1994,1994-12-24,16,24.348,PIT,@,SDG,L 34-37,,,,,,,,
32,1995,1995-09-03,1,25.236,PIT,,DET,W 23-20,,,,,,,,
33,1995,1995-09-10,2,25.243,PIT,@,HOU,W 34-17,,,,,,,,
34,1995,1995-09-18,3,25.251,PIT,@,MIA,L 10-23,,,,,,,,
35,1995,1995-09-24,4,25.257,PIT,,MIN,L 24-44,,,,,,,,
36,1995,1995-10-01,5,25.264,PIT,,SDG,W 31-16,,,,,,,,
37,1995,1995-10-08,6,25.271,PIT,@,JAX,L 16-20,,,,,,,,
38,1995,1995-10-19,7,25.282,PIT,,CIN,L 9-27,,,,,,,,
39,1995,1995-10-29,8,25.292,PIT,,JAX,W 24-7,,,,,,,,
40,1995,1995-11-19,11,25.313,PIT,@,CIN,W 49-31,,,,,,,,
41,1995,1995-11-26,12,25.320,PIT,@,CLE,W 20-17,,,,,,,,
42,1995,1995-12-03,13,25.327,PIT,,HOU,W 21-7,,,,,,,,
43,1995,1995-12-10,14,25.334,PIT,@,OAK,W 29-10,,,,,,,,
44,1995,1995-12-16,15,25.340,PIT,,NWE,W 41-27,,,,,,,,
45,1995,1995-12-24,16,25.348,PIT,@,GNB,L 19-24,,,,,,,,
46,1996,1996-09-01,1,26.235,PIT,@,JAX,L 9-24,,,,,,,,
47,1996,1996-09-08,2,26.242,NYJ,,IND,L 7-21,,,,,,,,
48,1996,1996-09-16,3,26.250,PIT,,BUF,W 24-6,,,,,,,,
49,1996,1996-09-29,4,26.263,PIT,,HOU,W 30-16,,,,,,,,
50,1996,1996-10-07,5,26.271,PIT,@,KAN,W 17-7,,,,,,,,
51,1996,1996-10-13,6,26.277,PIT,,CIN,W 20-10,,,,,,,,
52,1996,1996-10-20,7,26.284,PIT,@,HOU,L 13-23,,,,,,,,
53,1996,1996-10-27,8,26.291,PIT,@,ATL,W 20-17,,,,,,,,
54,1996,1996-11-03,9,26.298,PIT,,STL,W 42-6,0,0,,0,0.0,1,0,0
55,1996,1996-11-10,10,26.305,PIT,@,CIN,L 24-34,,,,,,,,
56,1996,1996-11-17,11,26.312,PIT,,JAX,W 28-3,0,0,,0,0.0,1,13,0
57,1996,1996-11-25,12,26.320,PIT,@,MIA,W 24-17,,,,,,,,
58,1996,1996-12-01,13,26.326,BUF,@,IND,L 10-13,,,,,,,,
