ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2006,2006-12-03,12,22.305,NYJ,@,GNB,W 38-10,,,0,0,,0,0.0%,,0,0,,0,0.0,,
2,2006,2006-12-10,13,22.312,NYJ,,BUF,L 13-31,,0,0,0,,0,0.0%,,0,0,,0,0.0,,
3,2006,2006-12-17,14,22.319,NYJ,@,MIN,W 26-13,,0,0,0,,0,0.0%,,0,0,,0,0.0,,
4,2006,2006-12-25,15,22.327,NYJ,@,MIA,W 13-10,,0,0,0,,0,0.0%,,0,0,,0,0.0,,
5,2006,2006-12-31,16,22.333,NYJ,,OAK,W 23-3,,0,0,0,,0,0.0%,,0,0,,0,0.0,,
6,2007,2007-09-09,1,23.220,NYJ,,NWE,L 14-38,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0.0,,
7,2007,2007-09-16,2,23.227,NYJ,@,BAL,L 13-20,,0,0,0,,0,0.0%,,1,28,28.00,0,0.0,,
8,2007,2007-09-23,3,23.234,NYJ,,MIA,W 31-28,,,0,0,,0,0.0%,,0,0,,0,0.0,,
9,2007,2007-09-30,4,23.241,NYJ,@,BUF,L 14-17,,,0,0,,0,0.0%,,0,0,,0,0.0,,
10,2007,2007-10-07,5,23.248,NYJ,@,NYG,L 24-35,,0,0,0,,0,0.0%,,0,0,,0,0.0,,
11,2007,2007-10-14,6,23.255,NYJ,,PHI,L 9-16,,0,0,0,,0,0.0%,,0,0,,0,0.0,,
12,2007,2007-10-21,7,23.262,NYJ,@,CIN,L 31-38,,0,0,0,,0,0.0%,,0,0,,0,0.0,,
13,2007,2007-10-28,8,23.269,NYJ,,BUF,L 3-13,,0,0,0,,0,0.0%,,0,0,,0,0.0,,
14,2007,2007-11-04,9,23.276,NYJ,,WAS,L 20-23,,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,,
15,2007,2007-11-18,10,23.290,NYJ,,PIT,W 19-16,,0,0,0,,0,0.0%,,0,0,,0,0.0,,
16,2007,2007-11-22,11,23.294,NYJ,@,DAL,L 3-34,,,0,0,,0,0.0%,,0,0,,0,0.0,,
17,2007,2007-12-02,12,23.304,NYJ,@,MIA,W 40-13,,3,2,24,12.00,0,66.7%,8.00,0,0,,0,0.0,,
18,2007,2007-12-09,13,23.311,NYJ,,CLE,L 18-24,,2,0,0,,0,0.0%,0.00,0,0,,0,0.0,,
19,2007,2007-12-16,14,23.318,NYJ,@,NWE,L 10-20,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0.0,,
20,2007,2007-12-23,15,23.325,NYJ,@,TEN,L 6-10,,,0,0,,0,0.0%,,0,0,,0,0.0,,
21,2007,2007-12-30,16,23.332,NYJ,,KAN,W 13-10,*,3,2,47,23.50,0,66.7%,15.67,1,3,3.00,0,0.0,,
22,2008,2008-09-07,1,24.219,NYJ,@,MIA,W 20-14,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
23,2008,2008-09-14,2,24.226,NYJ,,NWE,L 10-19,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,2
24,2008,2008-09-22,3,24.234,NYJ,@,SDG,L 29-48,,,,,,,0.0%,,,,,,,,
25,2008,2008-09-28,4,24.240,NYJ,,ARI,W 56-35,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
26,2008,2008-10-12,5,24.254,NYJ,,CIN,W 26-14,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
27,2008,2008-10-19,6,24.261,NYJ,@,OAK,L 13-16,,0,,,,,0.0%,,,,,,,,
28,2008,2008-10-26,7,24.268,NYJ,,KAN,W 28-24,,,,,,,0.0%,,,,,,,,
29,2008,2008-11-02,8,24.275,NYJ,@,BUF,W 26-17,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
30,2008,2008-11-09,9,24.282,NYJ,,STL,W 47-3,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
31,2008,2008-11-13,10,24.286,NYJ,@,NWE,W 34-31,,,0,0,,0,0.0%,,0,0,,0,0.0,0,0
32,2008,2008-11-23,11,24.296,NYJ,@,TEN,W 34-13,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
33,2008,2008-11-30,12,24.303,NYJ,,DEN,L 17-34,,,0,0,,0,0.0%,,0,0,,0,0.0,0,0
34,2008,2008-12-07,13,24.310,NYJ,@,SFO,L 14-24,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
35,2008,2008-12-14,14,24.317,NYJ,,BUF,W 31-27,,,,,,,0.0%,,,,,,,,
36,2008,2008-12-21,15,24.324,NYJ,@,SEA,L 3-13,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,1
37,2008,2008-12-28,16,24.331,NYJ,,MIA,L 17-24,,,0,0,,0,0.0%,,0,0,,0,0.0,1,0
38,2009,2009-09-13,1,25.224,NYJ,@,HOU,W 24-7,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
39,2009,2009-09-20,2,25.231,NYJ,,NWE,W 16-9,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,1
40,2009,2009-09-27,3,25.238,NYJ,,TEN,W 24-17,,,0,0,,0,0.0%,,0,0,,0,0.0,0,1
41,2009,2009-10-04,4,25.245,NYJ,@,NOR,L 10-24,,,,,,,0.0%,,,,,,,,
42,2009,2009-10-12,5,25.253,NYJ,@,MIA,L 27-31,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
43,2009,2009-10-18,6,25.259,NYJ,,BUF,L 13-16,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
44,2009,2009-10-25,7,25.266,NYJ,@,OAK,W 38-0,,2,2,21,10.50,0,100.0%,10.50,0,0,,0,0.0,0,0
45,2009,2009-11-01,8,25.273,NYJ,,MIA,L 25-30,,,0,0,,0,0.0%,,0,0,,0,0.0,0,1
46,2009,2009-11-15,9,25.287,NYJ,,JAX,L 22-24,,,,,,,0.0%,,,,,,,,
47,2009,2009-11-22,10,25.294,NYJ,@,NWE,L 14-31,,,0,0,,0,0.0%,,0,0,,0,0.0,1,1
48,2009,2009-11-29,11,25.301,NYJ,,CAR,W 17-6,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
49,2009,2009-12-03,12,25.305,NYJ,@,BUF,W 19-13,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,2
50,2009,2009-12-13,13,25.315,NYJ,@,TAM,W 26-3,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
51,2009,2009-12-20,14,25.322,NYJ,,ATL,L 7-10,,,0,0,,0,0.0%,,0,0,,0,0.0,0,1
52,2009,2009-12-27,15,25.329,NYJ,@,IND,W 29-15,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,1
53,2009,2010-01-03,16,25.336,NYJ,,CIN,W 37-0,,1,,,,,0.0%,,,,,,,,
