ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1986,1986-09-07,1,22.010,NWE,,IND,W 33-3,,1,8,8.00,0,,,0,0,,0,0,0
2,1986,1986-09-11,2,22.014,NWE,@,NYJ,W 20-6,,1,12,12.00,0,,,0,0,,0,0,0
3,1986,1986-09-21,3,22.024,NWE,,SEA,L 31-38,,0,0,,0,,,,,,,,
4,1986,1986-09-28,4,22.031,NWE,@,DEN,L 20-27,,2,13,6.50,0,,,0,0,,0,0,0
5,1986,1986-10-05,5,22.038,NWE,,MIA,W 34-7,,0,0,,0,,,,,,,,
6,1986,1986-10-12,6,22.045,NWE,,NYJ,L 24-31,,0,0,,0,,,,,,,,
7,1986,1986-10-19,7,22.052,NWE,@,PIT,W 34-0,,0,0,,0,,,,,,,,
8,1986,1986-10-26,8,22.059,NWE,@,BUF,W 23-3,,1,8,8.00,0,,,0,0,,0,0,0
9,1986,1986-11-02,9,22.066,NWE,,ATL,W 25-17,,1,16,16.00,0,,,0,0,,0,0,0
10,1986,1986-11-09,10,22.073,NWE,@,IND,W 30-21,,3,35,11.67,0,,,0,0,,0,0,0
11,1986,1986-11-16,11,22.080,NWE,@,RAM,W 30-28,,3,26,8.67,0,,,0,0,,0,0,0
12,1986,1986-11-23,12,22.087,NWE,,BUF,W 22-19,,4,36,9.00,1,,,0,0,,0,1,6
13,1986,1986-11-30,13,22.094,NWE,@,NOR,W 21-20,,6,76,12.67,0,,,0,0,,0,0,0
14,1986,1986-12-07,14,22.101,NWE,,CIN,L 7-31,,4,25,6.25,0,,,0,0,,0,0,0
15,1986,1986-12-14,15,22.108,NWE,,SFO,L 24-29,,8,58,7.25,1,,,0,0,,0,1,6
16,1986,1986-12-22,16,22.116,NWE,@,MIA,W 34-27,,3,18,6.00,0,,,0,0,,0,0,0
17,1987,1987-09-13,1,23.016,NWE,,MIA,W 28-21,,0,0,,0,,,,,,,,
18,1987,1987-09-21,2,23.024,NWE,@,NYJ,L 24-43,,5,37,7.40,1,,,0,0,,0,1,6
19,1987,1987-10-25,6,23.058,NWE,@,IND,L 16-30,,4,49,12.25,0,,,0,0,,0,0,0
20,1987,1987-11-01,7,23.065,NWE,,RAI,W 26-23,,2,16,8.00,0,,,0,0,,0,0,0
21,1987,1987-11-08,8,23.072,NWE,@,NYG,L 10-17,,4,36,9.00,1,,,0,0,,0,1,6
22,1987,1987-12-06,12,23.100,RAM,@,DET,W 37-16,,0,0,,0,,,,,,,,
23,1987,1987-12-13,13,23.107,RAM,,ATL,W 33-0,,3,37,12.33,0,,,0,0,,0,0,0
24,1987,1987-12-21,14,23.115,RAM,,DAL,L 21-29,,0,0,,0,,,,,,,,
25,1987,1987-12-27,15,23.121,RAM,@,SFO,L 0-48,,0,0,,0,,,,,,,,
26,1988,1988-10-16,7,24.049,PHO,@,WAS,L 17-33,,,,,,,,,,,,,
27,1990,1990-10-07,5,26.040,MIA,,NYJ,W 20-16,,,,,,,,,,,,,
28,1990,1990-10-18,6,26.051,MIA,,NWE,W 17-10,,,,,,,,,,,,,
29,1990,1990-10-28,7,26.061,MIA,@,IND,W 27-7,,,,,,,,,,,,,
30,1990,1990-11-04,8,26.068,MIA,,PHO,W 23-3,,,,,,,,,,,,,
31,1990,1990-11-11,9,26.075,MIA,@,NYJ,W 17-3,,,,,,,,,,,,,
32,1990,1990-11-19,10,26.083,MIA,,RAI,L 10-13,,,,,,,,,,,,,
33,1990,1990-11-25,11,26.089,MIA,@,CLE,W 30-13,,,,,,,,,,,,,
34,1990,1990-12-02,12,26.096,MIA,@,WAS,L 20-42,,,,,,,,,,,,,
35,1990,1990-12-09,13,26.103,MIA,,PHI,W 23-20,,,,,,,,,,,,,
36,1990,1990-12-16,14,26.110,MIA,,SEA,W 24-17,,,,,,,,,,,,,
37,1990,1990-12-23,15,26.117,MIA,@,BUF,L 14-24,,,,,,,,,,,,,
38,1990,1990-12-30,16,26.124,MIA,,IND,W 23-17,,,,,,,,,,,,,
39,1991,1991-09-01,1,27.004,MIA,@,BUF,L 31-35,,0,0,,0,,,,,,,,
40,1991,1991-09-08,2,27.011,MIA,,IND,W 17-6,,0,0,,0,,,,,,,,
41,1991,1991-09-15,3,27.018,MIA,@,DET,L 13-17,,0,0,,0,,,,,,,,
42,1991,1991-09-22,4,27.025,MIA,,GNB,W 16-13,,0,0,,0,,,,,,,,
