ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2013,2013-09-08,1,23.063,STL,,ARI,W 27-24,,0,0,,0,0,0,0,,0,0.0%,,2,46,23.00,0,,0,0,0.0,0,0
2,2013,2013-09-15,2,23.070,STL,@,ATL,L 24-31,,2,0,0.00,0,1,0,0,,0,0.0%,0.00,1,25,25.00,0,,0,0,0.0,0,0
3,2013,2013-09-22,3,23.077,STL,@,DAL,L 7-31,,4,16,4.00,0,3,1,6,6.00,0,33.3%,2.00,2,46,23.00,0,,0,0,0.0,1,0
4,2013,2013-09-26,4,23.081,STL,,SFO,L 11-35,,4,6,1.50,0,1,1,17,17.00,0,100.0%,17.00,3,74,24.67,0,1,0,2,0.0,0,0
5,2013,2013-10-06,5,23.091,STL,,JAX,W 34-20,,4,13,3.25,0,0,0,0,,0,0.0%,,2,52,26.00,0,,0,0,0.0,1,0
6,2013,2013-10-13,6,23.098,STL,@,HOU,W 38-13,,3,11,3.67,0,0,0,0,,0,0.0%,,2,56,28.00,0,,0,0,0.0,0,0
7,2013,2013-11-03,9,23.119,STL,,TEN,L 21-28,,3,11,3.67,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,1,0
8,2013,2013-11-10,10,23.126,STL,@,IND,W 38-8,,7,72,10.29,0,1,1,18,18.00,0,100.0%,18.00,0,0,,0,,0,0,0.0,0,0
9,2013,2013-11-24,11,23.140,STL,,CHI,W 42-21,,13,109,8.38,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0.0,0,0
10,2013,2013-12-01,12,23.147,STL,@,SFO,L 13-23,,2,16,8.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
11,2013,2013-12-08,13,23.154,STL,@,ARI,L 10-30,,2,9,4.50,0,2,2,16,8.00,0,100.0%,8.00,0,0,,0,,0,0,0.0,0,0
12,2013,2013-12-15,14,23.161,STL,,NOR,W 27-16,,2,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
13,2013,2013-12-22,15,23.168,STL,,TAM,W 23-13,,1,-2,-2.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
14,2013,2013-12-29,16,23.175,STL,@,SEA,L 9-27,,0,0,,0,1,1,2,2.00,0,100.0%,2.00,1,0,0.00,0,,0,0,0.0,0,0
15,2014,2014-09-07,1,24.062,STL,,MIN,L 6-34,,5,21,4.20,0,4,4,30,7.50,0,100.0%,7.50,0,0,,0,,0,0,0.0,0,0
16,2014,2014-09-14,2,24.069,STL,@,TAM,W 19-17,,6,15,2.50,0,2,1,4,4.00,0,50.0%,2.00,0,0,,0,,0,0,0.0,0,0
17,2014,2014-09-21,3,24.076,STL,,DAL,L 31-34,,9,29,3.22,0,2,1,5,5.00,0,50.0%,2.50,0,0,,0,,0,0,0.0,0,0
18,2014,2014-10-05,4,24.090,STL,@,PHI,L 28-34,,7,47,6.71,1,3,3,24,8.00,0,100.0%,8.00,5,126,25.20,0,,1,6,0.0,1,0
19,2014,2014-10-13,5,24.098,STL,,SFO,L 17-31,,7,21,3.00,1,2,2,12,6.00,0,100.0%,6.00,2,54,27.00,0,,1,6,0.0,0,0
