ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,sacks,tackles_solo,tackles_assists
1,2007,2007-09-09,1,22.284,MIA,@,WAS,L 13-16,*,,,,,,,,,,0.0%,,,,
2,2007,2007-09-16,2,22.291,MIA,,DAL,L 20-37,*,,,,,,,,,,0.0%,,,,
3,2007,2007-09-23,3,22.298,MIA,@,NYJ,L 28-31,*,,,,,,,,,,0.0%,,,,
4,2007,2007-09-30,4,22.305,MIA,,OAK,L 17-35,*,,,,,0,,,,,0.0%,,,,
5,2007,2007-10-07,5,22.312,MIA,@,HOU,L 19-22,*,,,,,,,,,,0.0%,,,,
6,2007,2007-10-14,6,22.319,MIA,@,CLE,L 31-41,*,,,,,,,,,,0.0%,,,,
7,2007,2007-10-21,7,22.326,MIA,,NWE,L 28-49,*,,,,,,,,,,0.0%,,,,
8,2007,2007-10-28,8,22.333,MIA,,NYG,L 10-13,*,,,,,0,,,,,0.0%,,,,
9,2007,2007-11-11,9,22.347,MIA,,BUF,L 10-13,*,,,,,,,,,,0.0%,,,,
10,2007,2007-11-18,10,22.354,MIA,@,PHI,L 7-17,*,,,,,,,,,,0.0%,,,,
11,2007,2007-11-26,11,22.362,MIA,@,PIT,L 0-3,*,,,,,0,,,,,0.0%,,,,
12,2007,2007-12-02,12,23.003,MIA,,NYJ,L 13-40,*,,,,,,,,,,0.0%,,,,
13,2007,2007-12-09,13,23.010,MIA,@,BUF,L 17-38,*,,,,,,,,,,0.0%,,,,
14,2007,2007-12-16,14,23.017,MIA,,BAL,W 22-16,*,,,,,,,,,,0.0%,,,,
15,2007,2007-12-23,15,23.024,MIA,@,NWE,L 7-28,*,,,,,,,,,,0.0%,,,,
16,2007,2007-12-30,16,23.031,MIA,,CIN,L 25-38,*,,,,,,,,,,0.0%,,,,
17,2008,2008-09-07,1,23.283,MIA,,NYJ,L 14-20,*,0,0,,0,,0,0,,0,0.0%,,0.0,0,0
18,2008,2008-09-14,2,23.290,MIA,@,ARI,L 10-31,*,,,,,,,,,,0.0%,,,,
19,2008,2008-09-21,3,23.297,MIA,@,NWE,W 38-13,*,,,,,,,,,,0.0%,,,,
20,2008,2008-10-05,4,23.311,MIA,,SDG,W 17-10,*,,,,,,,,,,0.0%,,,,
21,2008,2008-10-12,5,23.318,MIA,@,HOU,L 28-29,*,0,0,,0,1,0,-3,,0,0.0%,-3.00,0.0,0,0
22,2008,2008-10-19,6,23.325,MIA,,BAL,L 13-27,*,,,,,,,,,,0.0%,,,,
23,2008,2008-10-26,7,23.332,MIA,,BUF,W 25-16,*,,,,,,,,,,0.0%,,,,
24,2008,2008-11-02,8,23.339,MIA,@,DEN,W 26-17,*,,,,,,,,,,0.0%,,,,
25,2008,2008-11-09,9,23.346,MIA,,SEA,W 21-19,*,,,,,,,,,,0.0%,,,,
26,2008,2008-11-16,10,23.353,MIA,,OAK,W 17-15,*,,,,,,,,,,0.0%,,,,
27,2008,2008-11-23,11,23.360,MIA,,NWE,L 28-48,*,,,,,0,,,,,0.0%,,,,
28,2008,2008-11-30,12,24.001,MIA,@,STL,W 16-12,*,,,,,,,,,,0.0%,,,,
29,2008,2008-12-07,13,24.008,MIA,@,BUF,W 16-3,*,,,,,,,,,,0.0%,,,,
30,2008,2008-12-14,14,24.015,MIA,,SFO,W 14-9,*,,,,,0,,,,,0.0%,,,,
31,2008,2008-12-21,15,24.022,MIA,@,KAN,W 38-31,*,,,,,,,,,,0.0%,,,,
32,2008,2008-12-28,16,24.029,MIA,@,NYJ,W 24-17,*,,,,,,,,,,0.0%,,,,
33,2009,2009-09-14,1,24.289,OAK,,SDG,L 20-24,,,,,,,,,,,0.0%,,,,
34,2009,2009-09-20,2,24.295,OAK,@,KAN,W 13-10,,,,,,,,,,,0.0%,,,,
35,2009,2009-10-04,4,24.309,OAK,@,HOU,L 6-29,,0,0,,0,,0,0,,0,0.0%,,0.0,1,0
36,2009,2009-10-11,5,24.316,OAK,@,NYG,L 7-44,*,0,0,,0,0,0,0,,0,0.0%,,0.0,1,0
37,2009,2009-10-18,6,24.323,OAK,,PHI,W 13-9,*,,,,,,,,,,0.0%,,,,
38,2009,2009-10-25,7,24.330,OAK,,NYJ,L 0-38,*,,,,,,,,,,0.0%,,,,
39,2009,2009-11-01,8,24.337,OAK,@,SDG,L 16-24,*,,,,,,,,,,0.0%,,,,
40,2009,2009-11-15,9,24.351,OAK,,KAN,L 10-16,*,,,,,0,,,,,0.0%,,,,
41,2009,2009-11-22,10,24.358,OAK,,CIN,W 20-17,*,,,,,,,,,,0.0%,,,,
42,2009,2009-11-26,11,24.362,OAK,@,DAL,L 7-24,*,,,,,,,,,,0.0%,,,,
43,2009,2009-12-06,12,25.007,OAK,@,PIT,W 27-24,*,,,,,,,,,,0.0%,,,,
44,2009,2009-12-13,13,25.014,OAK,,WAS,L 13-34,*,,,,,,,,,,0.0%,,,,
45,2009,2009-12-20,14,25.021,OAK,@,DEN,W 20-19,*,,,,,,,,,,0.0%,,,,
46,2009,2009-12-27,15,25.028,OAK,@,CLE,L 9-23,*,,,,,,,,,,0.0%,,,,
47,2009,2010-01-03,16,25.035,OAK,,BAL,L 13-21,*,0,0,,0,,0,0,,0,0.0%,,0.0,2,0
48,2010,2010-09-12,1,25.287,OAK,@,TEN,L 13-38,,,,,,,,,,,0.0%,,,,
49,2010,2010-09-19,2,25.294,OAK,,STL,W 16-14,*,,,,,0,,,,,0.0%,,,,
50,2010,2010-09-26,3,25.301,OAK,@,ARI,L 23-24,*,,,,,,,,,,0.0%,,,,
51,2010,2010-10-03,4,25.308,OAK,,HOU,L 24-31,*,,,,,,,,,,0.0%,,,,
52,2010,2010-10-10,5,25.315,OAK,,SDG,W 35-27,*,,,,,,,,,,0.0%,,,,
53,2010,2010-10-17,6,25.322,OAK,@,SFO,L 9-17,*,,,,,,,,,,0.0%,,,,
54,2010,2010-10-24,7,25.329,OAK,@,DEN,W 59-14,*,,,,,,,,,,0.0%,,,,
55,2010,2010-10-31,8,25.336,OAK,,SEA,W 33-3,*,1,0,0.00,0,0,0,0,,0,0.0%,,0.0,0,0
56,2010,2010-11-07,9,25.343,OAK,,KAN,W 23-20,*,0,0,,0,,0,0,,0,0.0%,,0.0,1,0
57,2010,2010-11-21,10,25.357,OAK,@,PIT,L 3-35,*,,,,,0,,,,,0.0%,,,,
58,2010,2010-11-28,11,25.364,OAK,,MIA,L 17-33,*,,,,,,,,,,0.0%,,,,
59,2010,2010-12-05,12,26.006,OAK,@,SDG,W 28-13,*,,,,,0,,,,,0.0%,,,,
60,2010,2010-12-12,13,26.013,OAK,@,JAX,L 31-38,*,,,,,,,,,,0.0%,,,,
61,2010,2010-12-19,14,26.020,OAK,,DEN,W 39-23,*,,,,,,,,,,0.0%,,,,
62,2010,2010-12-26,15,26.027,OAK,,IND,L 26-31,*,,,,,,,,,,0.0%,,,,
63,2010,2011-01-02,16,26.034,OAK,@,KAN,W 31-10,*,,,,,,,,,,0.0%,,,,
64,2011,2011-09-12,1,26.287,OAK,@,DEN,W 23-20,*,,,,,,,,,,0.0%,,,,
65,2011,2011-09-18,2,26.293,OAK,@,BUF,L 35-38,*,,,,,,,,,,0.0%,,,,
66,2011,2011-09-25,3,26.300,OAK,,NYJ,W 34-24,*,,,,,,,,,,0.0%,,,,
67,2011,2011-10-02,4,26.307,OAK,,NWE,L 19-31,*,,,,,,,,,,0.0%,,,,
68,2011,2011-10-09,5,26.314,OAK,@,HOU,W 25-20,*,,,,,0,,,,,0.0%,,,,
69,2011,2011-10-16,6,26.321,OAK,,CLE,W 24-17,*,,,,,0,,,,,0.0%,,,,
70,2011,2011-10-23,7,26.328,OAK,,KAN,L 0-28,*,,,,,0,,,,,0.0%,,,,
71,2011,2011-11-06,8,26.342,OAK,,DEN,L 24-38,*,,,,,0,,,,,0.0%,,,,
72,2011,2011-11-20,10,26.356,OAK,@,MIN,W 27-21,*,,,,,,,,,,0.0%,,,,
73,2011,2011-11-27,11,26.363,OAK,,CHI,W 25-20,*,,,,,0,,,,,0.0%,,,,
74,2011,2011-12-04,12,27.005,OAK,@,MIA,L 14-34,*,,,,,,,,,,0.0%,,,,
75,2011,2011-12-11,13,27.012,OAK,@,GNB,L 16-46,*,,,,,,,,,,0.0%,,,,
76,2011,2011-12-18,14,27.019,OAK,,DET,L 27-28,*,,,,,,,,,,0.0%,,,,
77,2011,2011-12-24,15,27.025,OAK,@,KAN,W 16-13,*,,,,,,,,,,0.0%,,,,
78,2011,2012-01-01,16,27.033,OAK,,SDG,L 26-38,*,,,,,0,,,,,0.0%,,,,
79,2012,2012-09-09,1,27.285,IND,@,CHI,L 21-41,*,,,,,,,,,,0.0%,,,,
80,2012,2012-09-16,2,27.292,IND,,MIN,W 23-20,*,,,,,,,,,,0.0%,,,,
81,2012,2012-09-23,3,27.299,IND,,JAX,L 17-22,*,,,,,,,,,,0.0%,,,,
82,2012,2012-10-14,5,27.320,IND,@,NYJ,L 9-35,*,,,,,,,,,,0.0%,,,,
83,2012,2012-10-21,6,27.327,IND,,CLE,W 17-13,*,,,,,,,,,,0.0%,,,,
84,2012,2012-10-28,7,27.334,IND,@,TEN,W 19-13,*,,,,,0,,,,,0.0%,,,,
85,2012,2012-11-04,8,27.341,IND,,MIA,W 23-20,*,,,,,0,,,,,0.0%,,,,
86,2012,2012-11-18,10,27.355,IND,@,NWE,L 24-59,*,,,,,,,,,,0.0%,,,,
