ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1961,1961-09-10,1,28.328,DEN,@,BUF,W 22-10,,,,,,,,,,,,,,,,
2,1961,1961-09-16,2,28.334,DEN,@,BOS,L 17-45,0,0,,0,,,,,2,2,100.0,,,,0,2
3,1961,1961-09-24,3,28.342,DEN,@,NYT,L 28-35,,,,,,,,,,,,,,,,
4,1961,1961-10-01,4,28.349,DEN,@,OAK,L 19-33,,,,,,,,,,,,,,,,
5,1961,1961-10-08,5,28.356,DEN,,DTX,L 12-19,,,,,,,,,,,,,,,,
6,1961,1961-10-15,6,28.363,DEN,,OAK,W 27-24,0,0,,0,0,0,,0,3,3,100.0,2,3,66.7,0,9
7,1961,1961-10-22,7,29.005,DEN,,NYT,W 27-10,0,0,,0,0,0,,0,3,3,100.0,2,3,66.7,0,9
8,1961,1961-10-29,8,29.012,DEN,@,SDG,L 0-37,1,3,3.00,0,0,0,,0,,,,,2,0.0,0,0
9,1961,1961-11-05,9,29.019,DEN,,HOU,L 14-55,1,15,15.00,0,0,0,,0,2,2,100.0,,1,0.0,0,2
10,1961,1961-11-12,10,29.026,DEN,,SDG,L 16-19,1,6,6.00,0,1,23,23.00,0,2,2,100.0,,2,0.0,0,2
11,1961,1961-11-19,11,29.033,DEN,,BUF,L 10-23,0,0,,0,0,0,,0,1,1,100.0,1,1,100.0,0,4
12,1961,1961-11-26,12,29.040,DEN,@,HOU,L 14-45,0,0,,0,0,0,,0,2,2,100.0,,2,0.0,0,2
13,1961,1961-12-03,13,29.047,DEN,,BOS,L 24-28,0,0,,0,0,0,,0,1,1,100.0,,1,0.0,0,1
14,1961,1961-12-10,14,29.054,DEN,@,DTX,L 21-49,1,9,9.00,0,0,0,,0,,,,,,,0,0
