ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1987,1987-09-13,1,21.347,PIT,,SFO,W 30-17,0,0,,0,0,0,,0,,
2,1987,1987-09-20,2,21.354,PIT,@,CLE,L 10-34,1,17,17.00,0,0,0,,0,0,0
3,1987,1987-10-18,5,22.017,PIT,,IND,W 21-7,0,0,,0,2,3,1.50,0,0,0
4,1987,1987-10-25,6,22.024,PIT,,CIN,W 23-20,2,24,12.00,0,0,0,,0,0,0
5,1987,1987-11-01,7,22.031,PIT,@,MIA,L 24-35,2,31,15.50,1,0,0,,0,1,6
6,1987,1987-11-08,8,22.038,PIT,@,KAN,W 17-16,0,0,,0,0,0,,0,,
7,1987,1987-11-15,9,22.045,PIT,,HOU,L 3-23,1,25,25.00,0,0,0,,0,0,0
8,1987,1987-11-22,10,22.052,PIT,@,CIN,W 30-16,0,0,,0,0,0,,0,,
9,1987,1987-11-29,11,22.059,PIT,,NOR,L 16-20,0,0,,0,0,0,,0,,
10,1987,1987-12-06,12,22.066,PIT,,SEA,W 13-9,1,19,19.00,0,0,0,,0,0,0
11,1987,1987-12-13,13,22.073,PIT,@,SDG,W 20-16,0,0,,0,0,0,,0,,
12,1988,1988-09-04,1,22.339,PIT,,DAL,W 24-21,2,59,29.50,0,0,0,,0,0,0
13,1988,1988-09-11,2,22.346,PIT,@,WAS,L 29-30,1,13,13.00,0,0,0,,0,0,0
14,1988,1988-09-18,3,22.353,PIT,,CIN,L 12-17,1,15,15.00,0,0,0,,0,0,0
15,1988,1988-09-25,4,22.360,PIT,@,BUF,L 28-36,2,30,15.00,0,0,0,,0,0,0
16,1988,1988-10-02,5,23.001,PIT,,CLE,L 9-23,1,15,15.00,0,0,0,,0,0,0
17,1988,1988-10-09,6,23.008,PIT,@,PHO,L 14-31,1,26,26.00,0,0,0,,0,0,0
18,1988,1988-10-16,7,23.015,PIT,,HOU,L 14-34,1,9,9.00,1,0,0,,0,1,6
19,1988,1988-10-23,8,23.022,PIT,,DEN,W 39-21,0,0,,0,,,,,,
20,1988,1988-10-30,9,23.029,PIT,@,NYJ,L 20-24,1,28,28.00,0,0,0,,0,0,0
21,1988,1988-11-06,10,23.036,PIT,@,CIN,L 7-42,0,0,,0,,,,,,
22,1988,1988-11-13,11,23.043,PIT,,PHI,L 26-27,0,0,,0,,,,,,
23,1988,1988-11-20,12,23.050,PIT,@,CLE,L 7-27,3,33,11.00,0,0,0,,0,0,0
24,1988,1988-11-27,13,23.057,PIT,,KAN,W 16-10,4,60,15.00,0,0,0,,0,0,0
25,1988,1988-12-04,14,23.064,PIT,@,HOU,W 37-34,0,0,,0,,,,,,
26,1988,1988-12-11,15,23.071,PIT,@,SDG,L 14-20,3,44,14.67,0,0,0,,0,0,0
27,1988,1988-12-18,16,23.078,PIT,,MIA,W 40-24,2,33,16.50,0,0,0,,0,0,0
