ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1983,1983-09-04,1,23.249,NYG,,RAM,L 6-16,0,0,,0,0,0,,0,0,0,,0
2,1983,1983-09-11,2,23.256,NYG,@,ATL,W 16-13,0,0,,0,0,0,,0,0,0,,0
3,1983,1983-09-18,3,23.263,NYG,@,DAL,L 13-28,0,0,,0,1,2,2.00,0,0,0,,0
4,1983,1983-09-26,4,23.271,NYG,,GNB,W 27-3,0,0,,0,0,0,,0,0,0,,0
5,1983,1983-10-02,5,23.277,NYG,,SDG,L 34-41,0,0,,0,0,0,,0,0,0,,0
6,1983,1983-10-09,6,23.284,NYG,,PHI,L 13-17,3,76,25.33,0,0,0,,0,0,0,,0
7,1983,1983-10-16,7,23.291,NYG,@,KAN,L 17-38,0,0,,0,0,0,,0,0,0,,0
8,1983,1983-10-24,8,23.299,NYG,@,STL,T 20-20,0,0,,0,0,0,,0,0,0,,0
9,1983,1983-10-30,9,23.305,NYG,,DAL,L 20-38,1,54,54.00,0,0,0,,0,0,0,,0
10,1983,1983-11-07,10,23.313,NYG,@,DET,L 9-15,2,13,6.50,0,0,0,,0,0,0,,0
11,1983,1983-11-13,11,23.319,NYG,,WAS,L 17-33,1,27,27.00,0,0,0,,0,2,31,15.50,0
12,1983,1983-11-20,12,23.326,NYG,@,PHI,W 23-0,0,0,,0,0,0,,0,0,0,,0
13,1983,1983-12-11,15,23.347,NYG,,SEA,L 12-17,0,0,,0,0,0,,0,0,0,,0
14,1985,1985-12-08,14,25.344,NOR,@,STL,L 16-28,,,,,,,,,,,,
15,1985,1985-12-15,15,25.351,NOR,,SFO,L 19-31,,,,,,,,,,,,
16,1985,1985-12-22,16,25.358,NOR,,ATL,L 10-16,,,,,,,,,,,,
