ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1978,1978-09-03,1,23.066,DET,,GNB,L 7-13,,0,0,,0,0,0,,0,0,,,7,271,38.71,0
2,1978,1978-09-09,2,23.072,DET,@,TAM,W 15-7,,0,0,,0,0,0,,0,0,,,9,379,42.11,0
3,1978,1978-09-17,3,23.080,DET,,CHI,L 0-19,,0,0,,0,0,0,,0,0,,,8,342,42.75,0
4,1978,1978-09-24,4,23.087,DET,@,SEA,L 16-28,,0,0,,0,0,0,,0,0,,,3,125,41.67,0
5,1978,1978-10-01,5,23.094,DET,@,GNB,L 14-35,,0,0,,0,0,0,,0,0,,,7,296,42.29,0
6,1978,1978-10-08,6,23.101,DET,,WAS,L 19-21,,0,0,,0,0,0,,0,0,,,5,241,48.20,1
7,1978,1978-10-15,7,23.108,DET,@,ATL,L 0-14,,0,0,,0,0,0,,0,0,,,6,289,48.17,0
8,1978,1978-10-22,8,23.115,DET,,SDG,W 31-14,,0,0,,0,0,0,,0,0,,,2,84,42.00,0
9,1978,1978-10-29,9,23.122,DET,@,CHI,W 21-17,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,6,251,41.83,0
10,1978,1978-11-05,10,23.129,DET,@,MIN,L 7-17,,0,0,,0,0,0,,0,0,,,7,291,41.57,0
11,1978,1978-11-12,11,23.136,DET,,TAM,W 34-23,,0,0,,0,0,0,,0,0,,,2,74,37.00,0
12,1978,1978-11-19,12,23.143,DET,@,OAK,L 17-29,,0,0,,0,0,0,,0,0,,,4,158,39.50,0
13,1978,1978-11-23,13,23.147,DET,,DEN,W 17-14,,0,0,,0,0,0,,0,0,,,6,252,42.00,0
14,1978,1978-12-03,14,23.157,DET,@,STL,L 14-21,,0,0,,0,0,0,,0,0,,,5,204,40.80,0
15,1978,1978-12-09,15,23.163,DET,,MIN,W 45-14,,0,0,,0,0,0,,0,0,,,2,87,43.50,0
16,1978,1978-12-17,16,23.171,DET,,SFO,W 33-14,,0,0,,0,0,0,,0,0,,,7,310,44.29,0
17,1979,1979-12-09,15,24.163,DET,,MIA,L 10-28,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,6,241,40.17,0
