ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,2007,2007-09-06,1,23.272,IND,,NOR,W 41-10,,,0,0,,0,0.0%,
2,2007,2007-09-16,2,23.282,IND,@,TEN,W 22-20,,0,0,0,,0,0.0%,
3,2007,2007-09-23,3,23.289,IND,@,HOU,W 30-24,,0,0,0,,0,0.0%,
4,2008,2008-09-07,1,24.274,IND,,CHI,L 13-29,,0,0,0,,0,0.0%,
5,2008,2008-12-14,14,25.006,IND,,DET,W 31-21,,0,0,0,,0,0.0%,
6,2008,2008-12-18,15,25.010,IND,@,JAX,W 31-24,,,,,,,0.0%,
7,2008,2008-12-28,16,25.020,IND,,TEN,W 23-0,,4,1,9,9.00,0,25.0%,2.25
