ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2004,2004-10-17,5,23.059,CAR,@,PHI,L 8-30,,3,54,18.00,0,1,0,0.00,0
2,2004,2004-10-24,6,23.066,CAR,,SDG,L 6-17,,3,64,21.33,0,1,0,0.00,0
3,2004,2004-10-31,7,23.073,CAR,@,SEA,L 17-23,,6,157,26.17,0,0,0,,0
4,2004,2004-11-07,8,23.080,CAR,,OAK,L 24-27,,2,36,18.00,0,1,13,13.00,0
5,2004,2004-11-14,9,23.087,CAR,@,SFO,W 37-27,,5,113,22.60,0,1,5,5.00,0
6,2004,2004-11-21,10,23.094,CAR,,ARI,W 35-10,,2,47,23.50,0,1,7,7.00,0
7,2004,2004-12-05,12,23.108,CAR,@,NOR,W 32-21,,2,68,34.00,0,3,10,3.33,0
8,2004,2004-12-18,14,23.121,CAR,@,ATL,L 31-34,,1,16,16.00,0,2,8,4.00,0
