ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,def_int,def_int_yds,def_int_td
1,1999,1999-09-12,1,22.272,TEN,,CIN,W 36-35,,,,,,
2,1999,1999-09-19,2,22.279,TEN,,CLE,W 26-9,,,,,,
3,1999,1999-09-26,3,22.286,TEN,@,JAX,W 20-19,,,,,,
4,1999,1999-10-03,4,22.293,TEN,@,SFO,L 22-24,,,,,,
5,1999,1999-10-10,5,22.300,TEN,,BAL,W 14-11,,,,,,
6,1999,1999-10-17,6,22.307,TEN,@,NOR,W 24-21,,1,6,1,42,1
7,1999,1999-10-31,7,22.321,TEN,,STL,W 24-21,,,,,,
8,1999,1999-11-07,8,22.328,TEN,@,MIA,L 0-17,,,,,,
9,1999,1999-11-14,9,22.335,TEN,@,CIN,W 24-14,,,,,,
10,1999,1999-11-21,10,22.342,TEN,,PIT,W 16-10,,,,,,
11,1999,1999-11-28,11,22.349,TEN,@,CLE,W 33-21,,,,,,
12,1999,1999-12-05,12,22.356,TEN,@,BAL,L 14-41,,,,,,
13,1999,1999-12-09,13,22.360,TEN,,OAK,W 21-14,,,,,,
14,1999,1999-12-19,14,23.005,TEN,,ATL,W 30-17,,,,,,
15,1999,1999-12-26,15,23.012,TEN,,JAX,W 41-14,,,,,,
16,1999,2000-01-02,16,23.019,TEN,@,PIT,W 47-36,,,,,,
17,2001,2001-09-09,1,24.269,TEN,,MIA,L 23-31,,,,,,
18,2001,2001-09-23,2,24.283,TEN,@,JAX,L 6-13,,,,,,
19,2001,2001-10-07,3,24.297,TEN,@,BAL,L 7-26,,,,,,
20,2001,2001-10-14,4,24.304,TEN,,TAM,W 31-28,*,,,,,
21,2001,2001-10-21,5,24.311,TEN,@,DET,W 27-24,*,,,,,
22,2001,2001-10-29,6,24.319,TEN,@,PIT,L 7-34,,,,,,
23,2001,2001-11-04,7,24.325,TEN,,JAX,W 28-24,*,,,,,
24,2001,2001-11-12,8,24.333,TEN,,BAL,L 10-16,,,,,,
25,2001,2001-11-18,9,24.339,TEN,@,CIN,W 20-7,,,,,,
26,2001,2001-11-25,10,24.346,TEN,,PIT,L 24-34,,,,,,
27,2001,2001-12-02,11,24.353,TEN,@,CLE,W 31-15,,,,,,
28,2001,2001-12-09,12,24.360,TEN,@,MIN,L 24-42,,,,,,
29,2002,2002-09-08,1,25.268,TEN,,PHI,W 27-24,,,,,,
30,2002,2002-09-15,2,25.275,TEN,@,DAL,L 13-21,*,,,,,
31,2002,2002-09-22,3,25.282,TEN,,CLE,L 28-31,*,,,,,
32,2002,2002-09-29,4,25.289,TEN,@,OAK,L 25-52,,,,,,
33,2002,2002-10-06,5,25.296,TEN,,WAS,L 14-31,*,,,,,
34,2002,2002-10-13,6,25.303,TEN,,JAX,W 23-14,,,,,,
35,2002,2002-10-27,7,25.317,TEN,@,CIN,W 30-24,*,,,,,
36,2002,2002-11-03,8,25.324,TEN,@,IND,W 23-15,,,,,,
37,2002,2002-11-10,9,25.331,TEN,,HOU,W 17-10,*,,,,,
38,2002,2002-11-17,10,25.338,TEN,,PIT,W 31-23,,0,0,1,-2,0
39,2002,2002-11-24,11,25.345,TEN,@,BAL,L 12-13,*,,,,,
40,2002,2002-12-01,12,25.352,TEN,@,NYG,W 32-29,,,,,,
41,2002,2002-12-08,13,25.359,TEN,,IND,W 27-17,*,,,,,
42,2002,2002-12-16,14,26.002,TEN,,NWE,W 24-7,,,,,,
43,2002,2002-12-22,15,26.008,TEN,@,JAX,W 28-10,*,,,,,
44,2002,2002-12-29,16,26.015,TEN,@,HOU,W 13-3,*,,,,,
