ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1990,1990-11-11,9,23.250,KAN,,SEA,L 16-17,,0,0,,0,,,0,0,,0,2,30,15.00,0,0,0,,0
2,1990,1990-11-18,10,23.257,KAN,,SDG,W 27-10,,0,0,,0,,,1,-1,-1.00,0,2,23,11.50,0,0,0,,0
3,1990,1990-11-25,11,23.264,KAN,@,RAI,W 27-24,,1,5,5.00,0,,,0,0,,0,1,37,37.00,0,0,0,,0
4,1990,1990-12-16,14,23.285,KAN,,HOU,L 10-27,,0,0,,0,,,0,0,,0,1,6,6.00,0,0,0,,0
5,1990,1990-12-23,15,23.292,KAN,@,SDG,W 24-21,,0,0,,0,,,0,0,,0,1,16,16.00,0,0,0,,0
6,1990,1990-12-29,16,23.298,KAN,@,CHI,W 21-10,,0,0,,0,,,0,0,,0,2,63,31.50,0,0,0,,0
7,1991,1991-09-01,1,24.179,KAN,,ATL,W 14-3,,0,0,,0,,,0,0,,0,0,0,,0,3,21,7.00,0
8,1991,1991-09-08,2,24.186,KAN,,NOR,L 10-17,,0,0,,0,,,0,0,,0,1,26,26.00,0,5,61,12.20,0
9,1991,1991-09-16,3,24.194,KAN,@,HOU,L 7-17,,1,13,13.00,0,,,0,0,,0,0,0,,0,2,12,6.00,0
10,1991,1991-09-22,4,24.200,KAN,,SEA,W 20-13,,1,2,2.00,0,,,0,0,,0,0,0,,0,0,0,,0
11,1991,1991-09-29,5,24.207,KAN,@,SDG,W 14-13,,2,15,7.50,0,,,0,0,,0,0,0,,0,1,12,12.00,0
12,1991,1991-10-07,6,24.215,KAN,,BUF,W 33-6,,1,20,20.00,0,,,0,0,,0,0,0,,0,1,2,2.00,0
13,1991,1991-10-13,7,24.221,KAN,,MIA,W 42-7,,0,0,,0,,,,,,,0,0,,0,0,0,,0
14,1991,1991-10-20,8,24.228,KAN,@,DEN,L 16-19,,2,33,16.50,0,,,0,0,,0,1,14,14.00,0,0,0,,0
15,1991,1991-10-28,9,24.236,KAN,,RAI,W 24-21,,1,2,2.00,0,,,0,0,,0,0,0,,0,0,0,,0
16,1991,1991-11-10,10,24.249,KAN,@,RAM,W 27-20,,0,0,,0,,,,,,,0,0,,0,0,0,,0
17,1991,1991-12-22,16,24.291,KAN,@,RAI,W 27-21,,0,0,,0,,,,,,,0,0,,0,0,0,,0
18,1992,1992-09-06,1,25.184,KAN,@,SDG,W 24-10,3,1,10,10.00,0,33.3%,3.33,0,0,,0,1,11,11.00,0,0,0,,0
19,1992,1992-09-13,2,25.191,KAN,,SEA,W 26-7,2,1,32,32.00,0,50.0%,16.00,0,0,,0,0,0,,0,0,0,,0
20,1992,1992-09-20,3,25.198,KAN,@,HOU,L 20-23,7,4,50,12.50,0,57.1%,7.14,0,0,,0,0,0,,0,0,0,,0
21,1992,1992-09-28,4,25.206,KAN,,RAI,W 27-7,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,,0
22,1992,1992-10-04,5,25.212,KAN,@,DEN,L 19-20,4,3,31,10.33,0,75.0%,7.75,0,0,,0,0,0,,0,0,0,,0
23,1992,1992-10-11,6,25.219,KAN,,PHI,W 24-17,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0,,0
24,1992,1992-10-18,7,25.226,KAN,@,DAL,L 10-17,2,2,24,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,0,,0
25,1992,1992-10-25,8,25.233,KAN,,PIT,L 3-27,1,0,0,,0,0.0%,0.00,,,,,0,0,,0,,,,
26,1992,1992-11-08,9,25.247,KAN,,SDG,W 16-14,2,0,0,,0,0.0%,0.00,,,,,0,0,,0,,,,
27,1992,1992-11-15,10,25.254,KAN,,WAS,W 35-16,6,2,19,9.50,0,33.3%,3.17,0,0,,0,0,0,,0,0,0,,0
28,1992,1992-11-22,11,25.261,KAN,@,SEA,W 24-14,,0,0,,0,0.0%,,0,0,,0,1,17,17.00,0,0,0,,0
29,1992,1992-11-29,12,25.268,KAN,@,NYJ,W 23-7,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,,0
30,1992,1992-12-06,13,25.275,KAN,@,RAI,L 7-28,1,1,20,20.00,0,100.0%,20.00,0,0,,0,1,23,23.00,0,0,0,,0
31,1992,1992-12-13,14,25.282,KAN,,NWE,W 27-20,2,1,56,56.00,0,50.0%,28.00,0,0,,0,0,0,,0,0,0,,0
32,1993,1993-09-05,1,26.183,KAN,@,TAM,W 27-3,2,1,14,14.00,0,50.0%,7.00,0,0,,0,0,0,,0,0,0,,0
33,1993,1993-10-10,5,26.218,KAN,,CIN,W 17-15,,0,0,,0,0.0%,,1,9,9.00,0,3,59,19.67,0,0,0,,0
34,1993,1993-10-17,6,26.225,KAN,@,SDG,W 17-14,,0,0,,0,0.0%,,1,9,9.00,0,1,12,12.00,0,0,0,,0
35,1993,1993-10-31,7,26.239,KAN,@,MIA,L 10-30,,0,0,,0,0.0%,,1,-2,-2.00,0,0,0,,0,0,0,,0
36,1993,1993-11-08,8,26.247,KAN,,GNB,W 23-16,3,1,6,6.00,0,33.3%,2.00,0,0,,0,1,0,0.00,0,0,0,,0
37,1993,1993-11-14,9,26.253,KAN,@,RAI,W 31-20,,0,0,,0,0.0%,,1,13,13.00,0,2,48,24.00,0,0,0,,0
38,1993,1993-11-21,10,26.260,KAN,,CHI,L 17-19,6,3,29,9.67,0,50.0%,4.83,0,0,,0,2,37,18.50,0,0,0,,0
39,1993,1993-11-28,11,26.267,KAN,,BUF,W 23-7,1,1,16,16.00,0,100.0%,16.00,0,0,,0,0,0,,0,0,0,,0
40,1993,1993-12-05,12,26.274,KAN,@,SEA,W 31-16,3,3,46,15.33,0,100.0%,15.33,1,5,5.00,0,0,0,,0,0,0,,0
41,1993,1993-12-12,13,26.281,KAN,@,DEN,L 21-27,4,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,,
