ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1987,1987-10-04,3,23.219,CLE,@,NWE,W 20-10,0,0,,0,,,,,,
2,1987,1987-10-11,4,23.226,CLE,,HOU,L 10-15,1,6,6.00,0,0,0,0.0,0,0,0
3,1987,1987-10-18,5,23.233,CLE,@,CIN,W 34-0,0,0,,0,,,,,,
4,1987,1987-11-08,8,23.254,CLE,,ATL,W 38-3,0,0,,0,,,,,,
5,1987,1987-11-15,9,23.261,CLE,,BUF,W 27-21,0,0,,0,,,,,,
6,1987,1987-11-22,10,23.268,CLE,@,HOU,W 40-7,0,0,,0,,,,,,
7,1987,1987-11-29,11,23.275,CLE,@,SFO,L 24-38,0,0,,0,0,0,1.0,0,0,0
8,1987,1987-12-06,12,23.282,CLE,,IND,L 7-9,0,0,,0,,,,,,
9,1987,1987-12-13,13,23.289,CLE,,CIN,W 38-24,0,0,,0,,,,,,
10,1987,1987-12-20,14,23.296,CLE,@,RAI,W 24-17,0,0,,0,,,,,,
11,1987,1987-12-26,15,23.302,CLE,@,PIT,W 19-13,0,0,,0,,,,,,
12,1988,1988-09-04,1,24.190,CLE,@,KAN,W 6-3,0,0,,0,0,0,2.0,0,0,0
13,1988,1988-09-11,2,24.197,CLE,,NYJ,L 3-23,0,0,,0,0,0,1.0,0,0,0
14,1988,1988-09-19,3,24.205,CLE,,IND,W 23-17,,,,,,,,,,
15,1988,1988-09-25,4,24.211,CLE,@,CIN,L 17-24,,,,,,,,,,
16,1988,1988-10-02,5,24.218,CLE,@,PIT,W 23-9,,,,,,,,,,
17,1988,1988-10-09,6,24.225,CLE,,SEA,L 10-16,,,,,,,,,,
18,1988,1988-10-16,7,24.232,CLE,,PHI,W 19-3,,,,,,,,,,
19,1988,1988-10-23,8,24.239,CLE,@,PHO,W 29-21,,,,,,,,,,
20,1988,1988-10-30,9,24.246,CLE,,CIN,W 23-16,,,,,,,,,,
21,1988,1988-11-07,10,24.254,CLE,@,HOU,L 17-24,,,,,,,,,,
22,1988,1988-11-13,11,24.260,CLE,@,DEN,L 7-30,,,,,,,,,,
23,1988,1988-11-20,12,24.267,CLE,,PIT,W 27-7,0,0,,0,0,0,1.0,0,0,0
24,1988,1988-11-27,13,24.274,CLE,@,WAS,W 17-13,,,,,,,,,,
25,1988,1988-12-04,14,24.281,CLE,,DAL,W 24-21,,,,,,,,,,
26,1988,1988-12-12,15,24.289,CLE,@,MIA,L 31-38,,,,,,,,,,
27,1988,1988-12-18,16,24.295,CLE,,HOU,W 28-23,0,0,,0,0,0,1.0,0,0,0
28,1989,1989-09-10,1,25.195,CLE,@,PIT,W 51-0,0,0,,0,1,6,0.0,1,14,1
29,1989,1989-09-17,2,25.202,CLE,,NYJ,W 38-24,,,,,,,,,,
30,1989,1989-09-25,3,25.210,CLE,@,CIN,L 14-21,,,,,,,,,,
31,1989,1989-10-01,4,25.216,CLE,,DEN,W 16-13,0,0,,0,0,0,1.0,1,11,0
32,1989,1989-10-08,5,25.223,CLE,@,MIA,L 10-13,,,,,,,,,,
33,1989,1989-10-15,6,25.230,CLE,,PIT,L 7-17,,,,,,,,,,
34,1989,1989-10-23,7,25.238,CLE,,CHI,W 27-7,,,,,,,,,,
35,1989,1989-10-29,8,25.244,CLE,,HOU,W 28-17,,,,,,,,,,
36,1989,1989-11-05,9,25.251,CLE,@,TAM,W 42-31,,,,,,,,,,
37,1989,1989-11-19,11,25.265,CLE,,KAN,T 10-10,,,,,,,,,,
38,1990,1990-09-09,1,26.194,CLE,,PIT,W 13-3,0,0,,0,0,0,0.0,1,3,0
39,1990,1990-09-16,2,26.201,CLE,@,NYJ,L 21-24,,,,,,,,,,
40,1990,1990-09-23,3,26.208,CLE,,SDG,L 14-24,,,,,,,,,,
41,1990,1990-09-30,4,26.215,CLE,@,KAN,L 0-34,,,,,,,,,,
42,1990,1990-10-08,5,26.223,CLE,@,DEN,W 30-29,,,,,,,,,,
43,1990,1990-10-14,6,26.229,CLE,@,NOR,L 20-25,,,,,,,,,,
44,1990,1990-10-22,7,26.237,CLE,,CIN,L 13-34,,,,,,,,,,
45,1990,1990-10-28,8,26.243,CLE,@,SFO,L 17-20,,,,,,,,,,
46,1990,1990-11-04,9,26.250,CLE,,BUF,L 0-42,,,,,,,,,,
47,1990,1990-11-18,10,26.264,CLE,,HOU,L 23-35,,,,,,,,,,
48,1990,1990-11-25,11,26.271,CLE,,MIA,L 13-30,,,,,,,,,,
49,1990,1990-12-02,12,26.278,CLE,,RAM,L 23-38,0,0,,0,0,0,1.0,0,0,0
50,1990,1990-12-09,13,26.285,CLE,@,HOU,L 14-58,,,,,,,,,,
51,1990,1990-12-16,14,26.292,CLE,,ATL,W 13-10,,,,,,,,,,
52,1990,1990-12-23,15,26.299,CLE,@,PIT,L 0-35,,,,,,,,,,
53,1990,1990-12-30,16,26.306,CLE,@,CIN,L 14-21,,,,,,,,,,
54,1991,1991-09-15,3,27.200,SDG,,ATL,L 10-13,,,,,,,,,,
