ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring,def_int,def_int_yds,def_int_td
1,1964,1964-09-13,1,22.207,WAS,,CLE,L 13-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,2,45,0
2,1964,1964-10-04,4,22.228,WAS,,STL,L 17-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,17,0
3,1964,1964-10-18,6,22.242,WAS,@,STL,L 24-38,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,0,0
4,1964,1964-10-25,7,22.249,WAS,,CHI,W 27-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,27,0
5,1964,1964-11-01,8,22.256,WAS,@,PHI,W 21-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,0,0
6,1964,1964-11-08,9,22.263,WAS,@,CLE,L 24-34,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,0,0
7,1964,1964-11-15,10,22.270,WAS,@,PIT,W 30-0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,13,0
8,1964,1964-11-22,11,22.277,WAS,,DAL,W 28-16,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,2,35,1
9,1964,1964-11-29,12,22.284,WAS,,NYG,W 36-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,2,3,0
10,1965,1965-10-03,3,23.226,WAS,@,DET,L 10-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,2,52,0
11,1965,1965-11-07,8,23.261,WAS,@,NYG,W 23-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,0,0
12,1965,1965-11-14,9,23.268,WAS,@,PHI,L 14-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,26,0
13,1965,1965-11-28,11,23.282,WAS,,DAL,W 34-31,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,40,0
14,1965,1965-12-05,12,23.289,WAS,@,CLE,L 16-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,0,0
15,1965,1965-12-19,14,23.303,WAS,,PIT,W 35-14,2,17,8.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0
16,1966,1966-10-16,6,24.239,WAS,@,NYG,L 10-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,0,0
17,1966,1966-11-27,12,24.281,WAS,,NYG,W 72-41,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,0,0
18,1967,1967-10-29,7,25.252,WAS,,BAL,L 13-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,3,0
19,1967,1967-11-05,8,25.259,WAS,,STL,L 21-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,0,0
20,1967,1967-11-12,9,25.266,WAS,,SFO,W 31-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,11,0
