ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,1952,1952-09-28,1,22.043,NYG,@,DTX,W 24-6,9,21,2.33,0,2,21,10.50,0,0,0,,0,0,,,,,,,0,
2,1952,1952-10-04,2,22.049,NYG,@,PHI,W 31-7,7,23,3.29,0,1,0,0.00,0,1,1,100.00,18,1,0,158.3,0,0,18.00,38.00,0,
3,1952,1952-10-12,3,22.057,NYG,@,CLE,W 17-9,8,27,3.38,0,0,0,,0,0,0,,0,0,,,,,,,0,
4,1952,1952-10-19,4,22.064,NYG,,CRD,L 23-24,3,9,3.00,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,
5,1952,1952-10-26,5,22.071,NYG,,PHI,L 10-14,5,24,4.80,0,1,10,10.00,0,0,0,,0,0,,,,,,,0,
6,1952,1952-11-02,6,22.078,NYG,@,CRD,W 28-6,1,4,4.00,0,0,0,,0,0,0,,0,0,,,,,,,0,
7,1952,1952-11-09,7,22.085,NYG,,SFO,W 23-14,3,7,2.33,0,1,5,5.00,0,0,0,,0,0,,,,,,,0,
8,1952,1952-11-23,9,22.099,NYG,@,WAS,W 14-10,2,1,0.50,0,0,0,,0,0,0,,0,0,,,,,,,0,
9,1953,1953-10-18,4,23.063,NYG,,CRD,W 21-7,0,0,,0,2,18,9.00,0,0,0,,0,0,,,,,,,0,
10,1953,1953-11-01,6,23.077,NYG,@,CRD,W 23-20,0,0,,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,
11,1953,1953-11-08,7,23.084,NYG,@,PHI,L 7-30,2,7,3.50,0,1,32,32.00,1,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,
12,1953,1953-11-15,8,23.091,NYG,,PIT,L 10-14,12,47,3.92,0,4,45,11.25,1,0,0,,0,0,,,,,,,1,
13,1953,1953-11-22,9,23.098,NYG,,WAS,L 21-24,10,7,0.70,1,0,3,,0,0,0,,0,0,,,,,,,1,
14,1953,1953-11-29,10,23.105,NYG,,PHI,W 37-28,9,36,4.00,1,4,72,18.00,0,1,1,100.00,21,0,0,118.7,0,0,21.00,21.00,1,
15,1953,1953-12-06,11,23.112,NYG,@,CLE,L 14-62,5,14,2.80,0,3,32,10.67,1,1,1,100.00,16,0,0,118.7,0,0,16.00,16.00,1,
