ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,1998,1998-09-13,2,22.224,DEN,,DAL,W 42-23,,,,,,,0.0%,
2,1998,1998-09-20,3,22.231,DEN,@,OAK,W 34-17,,1,1,30,30.00,0,100.0%,30.00
3,1998,1998-11-08,9,22.280,DEN,,SDG,W 27-10,,1,,,,,0.0%,
4,1998,1998-11-16,10,22.288,DEN,@,KAN,W 30-7,,2,2,36,18.00,0,100.0%,18.00
5,1998,1998-11-22,11,22.294,DEN,,OAK,W 40-14,,1,1,10,10.00,0,100.0%,10.00
6,1998,1998-11-29,12,22.301,DEN,@,SDG,W 31-16,,,,,,,0.0%,
7,1998,1998-12-06,13,22.308,DEN,,KAN,W 35-31,,,,,,,0.0%,
8,1998,1998-12-21,15,22.323,DEN,@,MIA,L 21-31,,,,,,,0.0%,
9,1999,1999-09-13,1,23.224,DEN,,MIA,L 21-38,,,,,,,0.0%,
10,1999,1999-09-19,2,23.230,DEN,@,KAN,L 10-26,*,1,,,,,0.0%,
11,1999,1999-12-12,13,23.314,BAL,@,PIT,W 31-24,,2,,,,,0.0%,
