ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,2011,2011-09-11,1,22.347,MIN,@,SDG,L 17-24,,,,,,,0.0%,
2,2011,2011-09-18,2,22.354,MIN,,TAM,L 20-24,,,,,,,0.0%,
3,2011,2011-09-25,3,22.361,MIN,,DET,L 23-26,,0,0,0,,0,0.0%,
4,2011,2011-10-02,4,23.003,MIN,@,KAN,L 17-22,,,,,,,0.0%,
5,2011,2011-11-27,11,23.059,MIN,@,ATL,L 14-24,,1,1,5,5.00,0,100.0%,5.00
6,2011,2011-12-04,12,23.066,MIN,,DEN,L 32-35,,,,,,,0.0%,
7,2012,2012-09-09,1,23.346,MIN,,JAX,W 26-23,,,,,,,0.0%,
8,2012,2012-09-16,2,23.353,MIN,@,IND,L 20-23,,,,,,,0.0%,
9,2012,2012-09-23,3,23.360,MIN,,SFO,W 24-13,,1,0,0,,0,0.0%,0.00
10,2012,2012-11-04,9,24.036,MIN,@,SEA,L 20-30,,1,1,13,13.00,0,100.0%,13.00
11,2013,2013-09-08,1,24.344,JAX,,KAN,L 2-28,*,5,3,31,10.33,0,60.0%,6.20
12,2013,2013-09-15,2,24.351,JAX,@,OAK,L 9-19,*,2,2,9,4.50,0,100.0%,4.50
13,2013,2013-09-22,3,24.358,JAX,@,SEA,L 17-45,*,1,0,0,,0,0.0%,0.00
14,2013,2013-09-29,4,25.000,JAX,,IND,L 3-37,,1,0,0,,0,0.0%,0.00
15,2013,2013-10-06,5,25.007,JAX,@,STL,L 20-34,,,,,,,0.0%,
