ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,def_int,def_int_yds,def_int_td
1,2005,2005-10-23,6,23.152,PIT,@,CIN,W 27-13,,,,,,
2,2005,2005-11-13,9,23.173,PIT,,CLE,W 34-21,,,,,,
3,2005,2005-11-20,10,23.180,PIT,@,BAL,L 13-16,,,,,,
4,2005,2005-11-28,11,23.188,PIT,@,IND,L 7-26,,,,,,
5,2006,2006-10-15,5,24.144,PIT,,KAN,W 45-7,,1,6,1,30,1
6,2006,2006-10-22,6,24.151,PIT,@,ATL,L 38-41,,,,,,
7,2006,2006-10-29,7,24.158,PIT,@,OAK,L 13-20,,,,,,
8,2006,2006-11-05,8,24.165,PIT,,DEN,L 20-31,,,,,,
9,2006,2006-11-12,9,24.172,PIT,,NOR,W 38-31,,,,,,
10,2006,2006-11-19,10,24.179,PIT,@,CLE,W 24-20,,,,,,
11,2006,2006-11-26,11,24.186,PIT,@,BAL,L 0-27,,,,,,
12,2006,2006-12-03,12,24.193,PIT,,TAM,W 20-3,,,,,,
13,2006,2006-12-07,13,24.197,PIT,,CLE,W 27-7,,,,,,
14,2006,2006-12-17,14,24.207,PIT,@,CAR,W 37-3,,,,,,
15,2006,2006-12-24,15,24.214,PIT,,BAL,L 7-31,,,,,,
16,2006,2006-12-31,16,24.221,PIT,@,CIN,W 23-17,,,,,,
