ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1995,1995-09-03,1,23.262,STL,@,GNB,W 17-14,,0,0,,0,0.0%,,,,,,0,0,,0,0,0,,0
2,1995,1995-09-10,2,23.269,STL,,NOR,W 17-13,,0,0,,0,0.0%,,0,0,,0,1,16,16.00,0,0,0,,0
3,1995,1995-09-17,3,23.276,STL,@,CAR,W 31-10,,0,0,,0,0.0%,,,,,,0,0,,0,0,0,,0
4,1995,1995-09-24,4,23.283,STL,,CHI,W 34-28,,0,0,,0,0.0%,,0,0,,0,2,47,23.50,0,0,0,,0
5,1995,1995-10-01,5,23.290,STL,@,IND,L 18-21,1,0,0,,0,0.0%,0.00,0,0,,0,3,92,30.67,0,0,61,,0
6,1995,1995-10-12,6,23.301,STL,,ATL,W 21-19,,0,0,,0,0.0%,,0,0,,0,4,96,24.00,0,0,0,,0
7,1995,1995-10-22,7,23.311,STL,,SFO,L 10-44,,0,0,,0,0.0%,,0,0,,0,2,43,21.50,0,0,0,,0
8,1995,1995-11-05,9,23.325,STL,@,NOR,L 10-19,1,0,0,,0,0.0%,0.00,0,0,,0,2,32,16.00,0,0,0,,0
9,1995,1995-11-12,10,23.332,STL,,CAR,W 28-17,1,1,12,12.00,0,100.0%,12.00,0,0,,0,2,48,24.00,0,0,0,,0
10,1995,1995-11-19,11,23.339,STL,@,ATL,L 6-31,5,2,18,9.00,0,40.0%,3.60,0,0,,0,0,0,,0,0,0,,0
11,1995,1995-11-26,12,23.346,STL,@,SFO,L 13-41,3,1,7,7.00,0,33.3%,2.33,0,0,,0,4,103,25.75,0,0,0,,0
12,1995,1995-12-03,13,23.353,STL,@,NYJ,W 23-20,1,0,0,,0,0.0%,0.00,0,0,,0,3,89,29.67,0,0,0,,0
13,1995,1995-12-10,14,23.360,STL,,BUF,L 27-45,1,0,0,,0,0.0%,0.00,0,0,,0,2,44,22.00,0,0,0,,0
14,1995,1995-12-17,15,24.002,STL,,WAS,L 23-35,1,0,0,,0,0.0%,0.00,0,0,,0,4,55,13.75,0,0,0,,0
15,1995,1995-12-24,16,24.009,STL,,MIA,L 22-41,2,1,5,5.00,0,50.0%,2.50,0,0,,0,3,87,29.00,0,0,0,,0
16,1996,1996-09-01,1,24.261,STL,,CIN,W 26-16,,0,0,,0,0.0%,,0,0,,0,2,44,22.00,0,0,0,,0
17,1996,1996-09-08,2,24.268,STL,@,SFO,L 0-34,1,0,0,,0,0.0%,0.00,0,0,,0,2,31,15.50,0,0,0,,0
18,1996,1996-09-22,3,24.282,STL,,WAS,L 10-17,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,
19,1996,1996-09-29,4,24.289,STL,@,ARI,L 28-31,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,,
20,1996,1996-10-06,5,24.296,STL,,SFO,L 11-28,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,
21,1996,1996-10-13,6,24.303,STL,@,CAR,L 13-45,,0,0,,0,0.0%,,0,0,,0,4,79,19.75,0,0,0,,0
22,1996,1996-10-20,7,24.310,STL,,JAX,W 17-14,,0,0,,0,0.0%,,0,0,,0,1,20,20.00,0,0,0,,0
23,1996,1996-10-27,8,24.317,STL,@,BAL,L 31-37,2,2,15,7.50,0,100.0%,7.50,0,0,,0,5,81,16.20,0,0,0,,0
24,1996,1996-11-03,9,24.324,STL,@,PIT,L 6-42,1,0,0,,0,0.0%,0.00,0,0,,0,4,90,22.50,0,0,0,,0
25,1996,1996-11-10,10,24.331,STL,,ATL,W 59-16,1,1,11,11.00,0,100.0%,11.00,0,0,,0,1,19,19.00,0,0,0,,0
26,1996,1996-11-17,11,24.338,STL,,CAR,L 10-20,2,1,8,8.00,0,50.0%,4.00,0,0,,0,3,62,20.67,0,0,0,,0
27,1996,1996-11-24,12,24.345,STL,,GNB,L 9-24,5,0,0,,0,0.0%,0.00,1,-1,-1.00,0,0,0,,0,0,0,,0
28,1996,1996-12-01,13,24.352,STL,@,NOR,W 26-10,,0,0,,0,0.0%,,0,0,,0,3,107,35.67,0,0,0,,0
29,1996,1996-12-08,14,24.359,STL,@,CHI,L 9-35,7,3,12,4.00,0,42.9%,1.71,0,0,,0,2,35,17.50,0,0,0,,0
30,1996,1996-12-15,15,25.000,STL,@,ATL,W 34-27,,0,0,,0,0.0%,,0,0,,0,2,58,29.00,0,0,0,,0
31,1996,1996-12-21,16,25.006,STL,,NOR,W 14-13,1,0,0,,0,0.0%,0.00,0,0,,0,1,17,17.00,0,0,0,,0
32,1997,1997-08-31,1,25.259,STL,,NOR,W 38-24,,0,0,,0,0.0%,,0,0,,0,5,97,19.40,0,0,0,,0
33,1997,1997-09-28,5,25.287,STL,@,OAK,L 17-35,7,2,25,12.50,0,28.6%,3.57,0,0,,0,0,0,,0,0,0,,0
34,1997,1997-10-12,6,25.301,STL,@,SFO,L 10-30,,0,0,,0,0.0%,,,,,,0,0,,0,,,,
35,1997,1997-10-19,7,25.308,STL,,SEA,L 9-17,1,0,0,,0,0.0%,0.00,,,,,0,0,,0,,,,
36,1998,1998-09-06,1,26.265,STL,,NOR,L 17-24,,,,,,0.0%,,,,,,,,,,,,,
37,1998,1998-09-13,2,26.272,STL,,MIN,L 31-38,2,1,18,18.00,0,50.0%,9.00,0,0,,0,0,0,,0,0,0,,0
38,1998,1998-09-20,3,26.279,STL,@,BUF,W 34-33,4,2,26,13.00,0,50.0%,6.50,0,0,,0,4,79,19.75,0,0,0,,0
39,1998,1998-09-27,4,26.286,STL,,ARI,L 17-20,3,1,42,42.00,0,33.3%,14.00,0,0,,0,0,0,,0,0,0,,0
40,1998,1998-10-11,5,26.300,STL,,NYJ,W 30-10,,,,,,0.0%,,,,,,,,,,,,,
41,1998,1998-10-18,6,26.307,STL,@,MIA,L 0-14,1,,,,,0.0%,,,,,,,,,,,,,
42,1998,1998-10-25,7,26.314,STL,,SFO,L 10-28,6,3,18,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,0,0,,0
43,1998,1998-11-01,8,26.321,STL,@,ATL,L 15-37,4,1,11,11.00,0,25.0%,2.75,0,0,,0,0,0,,0,0,0,,0
44,1998,1998-11-08,9,26.328,STL,@,CHI,W 20-12,,,,,,0.0%,,,,,,,,,,,,,
45,1998,1998-11-15,10,26.335,STL,@,NOR,L 3-24,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,0,0,,0
46,1998,1998-11-22,11,26.342,STL,,CAR,L 20-24,6,2,32,16.00,0,33.3%,5.33,0,0,,0,0,0,,0,0,0,,0
47,1998,1998-11-29,12,26.349,STL,,ATL,L 10-21,4,1,4,4.00,0,25.0%,1.00,0,0,,0,0,0,,0,0,0,,0
48,1998,1998-12-03,13,26.353,STL,@,PHI,L 14-17,5,4,79,19.75,0,80.0%,15.80,0,0,,0,0,0,,0,0,0,,0
49,1998,1998-12-13,14,26.363,STL,,NWE,W 32-18,3,2,26,13.00,0,66.7%,8.67,0,0,,0,0,0,,0,0,0,,0
50,1998,1998-12-20,15,27.005,STL,@,CAR,L 13-20,4,2,19,9.50,0,50.0%,4.75,0,0,,0,0,0,,0,0,0,,0
51,1998,1998-12-27,16,27.012,STL,@,SFO,L 19-38,3,,,,,0.0%,,,,,,,,,,,,,
