ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result
1,1980,1980-09-07,1,23.289,CIN,,TAM,L 12-17
2,1980,1980-09-14,2,23.296,CIN,@,MIA,L 16-17
3,1980,1980-09-21,3,23.303,CIN,,PIT,W 30-28
4,1980,1980-11-30,13,24.007,CIN,@,KAN,W 20-6
5,1980,1980-12-07,14,24.014,CIN,,BAL,W 34-33
6,1980,1980-12-14,15,24.021,CIN,@,CHI,W 17-14
7,1980,1980-12-21,16,24.028,CIN,,CLE,L 24-27
8,1981,1981-09-06,1,24.287,CIN,,SEA,W 27-21
9,1981,1981-09-13,2,24.294,CIN,@,NYJ,W 31-30
10,1981,1981-09-20,3,24.301,CIN,,CLE,L 17-20
11,1981,1981-09-27,4,24.308,CIN,,BUF,W 27-24
12,1981,1981-10-04,5,24.315,CIN,@,HOU,L 10-17
13,1981,1981-10-11,6,24.322,CIN,@,BAL,W 41-19
14,1981,1981-10-18,7,24.329,CIN,,PIT,W 34-7
15,1981,1981-10-25,8,24.336,CIN,@,NOR,L 7-17
16,1981,1981-11-01,9,24.343,CIN,,HOU,W 34-21
17,1981,1981-11-08,10,24.350,CIN,@,SDG,W 40-17
18,1981,1981-11-15,11,24.357,CIN,,RAM,W 24-10
19,1981,1981-11-22,12,24.364,CIN,,DEN,W 38-21
20,1981,1981-11-29,13,25.006,CIN,@,CLE,W 41-21
21,1981,1981-12-06,14,25.013,CIN,,SFO,L 3-21
22,1981,1981-12-13,15,25.020,CIN,@,PIT,W 17-10
23,1981,1981-12-20,16,25.027,CIN,@,ATL,W 30-28
