ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1967,1967-09-17,1,22.009,DET,@,GNB,T 17-17,0,0,,0,0,0,,0,0,0,,0,1,6,1,24,1,0,0,,0
2,1967,1967-09-24,2,22.016,DET,,CLE,W 31-14,0,0,,0,0,0,,0,0,0,,0,0,0,2,38,0,0,0,,0
3,1967,1967-10-22,6,22.044,DET,,ATL,W 24-3,0,0,,0,0,0,,0,0,0,,0,1,6,1,45,1,4,160,40.00,0
4,1967,1967-10-29,7,22.051,DET,@,SFO,W 45-3,0,0,,0,0,0,,0,0,0,,0,0,0,2,19,0,6,246,41.00,0
5,1967,1967-11-05,8,22.058,DET,,CHI,L 13-27,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,9,367,40.78,0
6,1967,1967-11-12,9,22.065,DET,@,MIN,T 10-10,0,0,,0,0,0,,0,1,5,5.00,0,0,0,0,0,0,4,146,36.50,0
7,1967,1967-11-19,10,22.072,DET,@,BAL,L 7-41,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,3,108,36.00,0
8,1967,1967-11-23,11,22.076,DET,,RAM,L 7-31,0,0,,0,2,43,21.50,0,1,6,6.00,0,0,0,0,0,0,9,305,33.89,0
9,1967,1967-12-03,12,22.086,DET,,PIT,L 14-24,0,0,,0,2,44,22.00,0,0,0,,0,0,0,0,0,0,0,0,,0
10,1967,1967-12-10,13,22.093,DET,@,NYG,W 30-7,0,0,,0,1,0,0.00,0,1,3,3.00,0,0,0,1,31,0,4,118,29.50,0
11,1967,1967-12-17,14,22.100,DET,,MIN,W 14-3,0,0,,0,0,0,,0,1,0,0.00,0,1,6,3,75,1,8,308,38.50,0
12,1968,1968-09-15,1,23.007,DET,@,DAL,L 13-59,0,0,,0,2,67,33.50,0,0,0,,0,0,0,0,0,0,0,0,,0
13,1968,1968-09-22,2,23.014,DET,,CHI,W 42-0,0,0,,0,1,15,15.00,0,0,0,,0,0,0,3,9,0,0,0,,0
14,1968,1968-09-29,3,23.021,DET,@,GNB,W 23-17,0,0,,0,4,103,25.75,0,0,0,,0,0,0,1,5,0,0,0,,0
15,1968,1968-10-06,4,23.028,DET,@,MIN,L 10-24,0,0,,0,3,66,22.00,0,1,3,3.00,0,0,0,0,0,0,0,0,,0
16,1968,1968-10-13,5,23.035,DET,@,CHI,W 28-10,0,0,,0,3,91,30.33,0,0,0,,0,0,0,0,0,0,0,0,,0
17,1968,1968-10-20,6,23.042,DET,,GNB,T 14-14,0,0,,0,1,25,25.00,0,1,0,0.00,0,0,0,0,0,0,0,0,,0
18,1968,1968-10-27,7,23.049,DET,,SFO,L 7-14,0,0,,0,0,0,,0,6,42,7.00,0,0,0,0,0,0,0,0,,0
19,1968,1968-11-03,8,23.056,DET,@,RAM,L 7-10,0,0,,0,2,110,55.00,1,2,5,2.50,0,1,6,1,0,0,0,0,,0
20,1968,1968-11-10,9,23.063,DET,,BAL,L 10-27,0,0,,0,3,78,26.00,0,0,0,,0,0,0,0,0,0,0,0,,0
21,1968,1968-11-17,10,23.070,DET,,MIN,L 6-13,0,0,,0,2,47,23.50,0,2,21,10.50,0,0,0,1,62,0,0,0,,0
22,1968,1968-11-24,11,23.077,DET,,NOR,T 20-20,0,0,,0,1,21,21.00,0,0,0,,0,0,0,0,0,0,0,0,,0
23,1968,1968-11-28,12,23.081,DET,,PHI,L 0-12,0,0,,0,0,0,,0,1,8,8.00,0,0,0,0,0,0,0,0,,0
24,1968,1968-12-08,13,23.091,DET,@,ATL,W 24-7,0,0,,0,2,29,14.50,0,0,0,,0,0,0,0,0,0,0,0,,0
25,1968,1968-12-15,14,23.098,DET,@,WAS,L 3-14,0,0,,0,1,18,18.00,0,0,0,,0,0,0,1,6,0,0,0,,0
26,1969,1969-09-21,1,24.013,DET,@,PIT,L 13-16,0,0,,0,0,0,,0,0,0,,0,0,0,1,32,0,6,223,37.17,0
27,1969,1969-09-28,2,24.020,DET,,NYG,W 24-0,0,0,,0,0,0,,0,3,82,27.33,1,1,6,0,0,0,6,214,35.67,0
28,1969,1969-10-05,3,24.027,DET,@,CLE,W 28-21,0,0,,0,2,46,23.00,0,0,0,,0,0,0,1,23,0,5,177,35.40,0
29,1969,1969-10-12,4,24.034,DET,,GNB,L 17-28,0,0,,0,4,99,24.75,0,1,2,2.00,0,0,0,0,0,0,4,134,33.50,0
30,1969,1969-10-26,6,24.048,DET,@,MIN,L 10-24,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,7,220,31.43,0
31,1969,1969-11-02,7,24.055,DET,@,SFO,W 26-14,0,0,,0,0,0,,0,2,83,41.50,0,0,0,1,17,0,4,129,32.25,0
32,1969,1969-11-09,8,24.062,DET,,ATL,W 27-21,1,0,0.00,0,0,0,,0,0,0,,0,0,0,0,0,0,4,136,34.00,0
33,1969,1969-11-16,9,24.069,DET,,STL,W 20-0,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0,3,120,40.00,0
34,1969,1969-11-23,10,24.076,DET,@,GNB,W 16-10,0,0,,0,0,0,,0,0,0,,0,0,0,1,19,0,4,118,29.50,0
35,1969,1969-11-27,11,24.080,DET,,MIN,L 0-27,0,0,,0,1,9,9.00,0,0,0,,0,0,0,1,0,0,10,333,33.30,1
36,1969,1969-12-07,12,24.090,DET,@,BAL,T 17-17,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,8,256,32.00,0
37,1969,1969-12-14,13,24.097,DET,,RAM,W 28-0,1,27,27.00,0,0,0,,0,1,0,0.00,0,0,0,1,29,0,1,43,43.00,0
