ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td
1,1950,1950-09-17,1,24.156,WAS,@,BAL,W 38-14,,4,11,36.36,96,1,1,61.2,0,0,8.73,6.45,2,16,8.00,0,0,0,,0
2,1950,1950-09-24,2,24.163,WAS,@,GNB,L 21-35,,5,14,35.71,123,1,2,52.7,0,0,8.79,3.79,3,39,13.00,0,0,0,,0
3,1950,1950-10-01,3,24.170,WAS,,PIT,L 7-26,,3,12,25.00,92,1,0,86.8,0,0,7.67,9.33,0,0,,0,0,0,,0
4,1950,1950-10-08,4,24.177,WAS,,NYG,L 17-21,*,7,15,46.67,105,1,1,64.6,0,0,7.00,5.33,4,14,3.50,1,0,0,,0
5,1950,1950-10-22,5,24.191,WAS,,CRD,L 28-38,*,17,33,51.52,275,3,3,72.2,0,0,8.33,6.06,5,39,7.80,0,0,0,,0
6,1950,1950-10-29,6,24.198,WAS,@,PHI,L 3-35,*,4,15,26.67,38,0,0,39.6,0,0,2.53,2.53,0,0,,0,0,0,,0
7,1950,1950-11-12,8,24.212,WAS,,PHI,L 0-33,,3,6,50.00,12,0,2,16.7,0,0,2.00,-13.00,3,17,5.67,0,0,0,,0
8,1950,1950-11-19,9,24.219,WAS,@,CLE,L 14-20,*,19,30,63.33,156,0,2,48.8,0,0,5.20,2.20,3,6,2.00,0,0,0,,0
9,1950,1950-12-10,12,24.240,WAS,,CLE,L 21-45,*,1,5,20.00,51,1,1,69.6,0,0,10.20,5.20,2,10,5.00,0,0,0,,0
10,1951,1951-09-30,1,25.169,WAS,@,DET,L 17-35,*,7,18,38.89,99,0,0,57.4,0,0,5.50,5.50,4,31,7.75,0,0,0,,0
11,1951,1951-10-07,2,25.176,WAS,,NYG,L 14-35,*,13,25,52.00,148,1,3,43.8,0,0,5.92,1.32,1,37,37.00,0,0,0,,0
12,1951,1951-10-14,3,25.183,WAS,@,CLE,L 0-45,*,8,14,57.14,116,0,1,54.5,0,0,8.29,5.07,4,28,7.00,0,0,0,,0
13,1951,1951-11-04,6,25.204,WAS,,CHI,L 0-27,,2,9,22.22,23,0,2,0.0,0,0,2.56,-7.44,3,11,3.67,0,0,0,,0
14,1951,1951-12-09,11,25.239,WAS,@,CRD,W 20-17,,1,2,50.00,5,0,0,56.2,0,0,2.50,2.50,0,0,,0,0,0,,0
15,1952,1952-09-29,1,26.168,WAS,@,CRD,W 23-7,,0,0,,0,0,,,,,,,19,87,4.58,0,0,0,,0
16,1952,1952-10-05,2,26.174,WAS,@,GNB,L 20-35,,2,3,66.67,55,1,0,149.3,0,0,18.33,25.00,7,6,0.86,0,0,0,,0
17,1952,1952-10-12,3,26.181,WAS,,CRD,L 6-17,,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,10,41,4.10,0,1,15,15.00,0
18,1952,1952-10-19,4,26.188,WAS,@,PIT,W 28-24,,3,4,75.00,80,1,0,156.2,0,0,20.00,25.00,7,25,3.57,0,0,0,,0
19,1952,1952-10-26,5,26.195,WAS,@,CLE,L 15-19,,3,4,75.00,41,0,0,107.3,0,0,10.25,10.25,11,76,6.91,0,1,6,6.00,0
20,1952,1952-11-02,6,26.202,WAS,,PIT,L 23-24,,1,1,100.00,11,0,0,112.5,0,0,11.00,11.00,4,12,3.00,0,0,0,,0
21,1952,1952-11-09,7,26.209,WAS,@,PHI,L 20-38,,9,13,69.23,135,1,0,128.7,0,0,10.38,11.92,4,12,3.00,0,0,0,,0
22,1952,1952-11-16,8,26.216,WAS,,SFO,L 17-23,,3,6,50.00,44,1,1,74.3,0,0,7.33,3.17,11,38,3.45,0,0,0,,0
23,1952,1952-11-23,9,26.223,WAS,,NYG,L 10-14,,1,1,100.00,20,0,0,118.7,0,0,20.00,20.00,4,13,3.25,0,4,29,7.25,0
24,1952,1952-11-30,10,26.230,WAS,,CLE,L 24-48,,4,17,23.53,48,0,1,15.1,0,0,2.82,0.18,13,27,2.08,0,2,9,4.50,1
25,1952,1952-12-07,11,26.237,WAS,@,NYG,W 27-17,,3,5,60.00,46,0,1,50.8,0,0,9.20,0.20,6,22,3.67,0,0,0,,0
26,1952,1952-12-14,12,26.244,WAS,,PHI,W 27-21,,2,3,66.67,75,0,0,109.7,0,0,25.00,25.00,4,6,1.50,0,1,13,13.00,0
27,1954,1954-09-26,1,28.165,WAS,@,SFO,L 7-41,,1,1,100.00,8,0,0,100.0,0,0,8.00,8.00,1,4,4.00,0,0,0,,0
28,1954,1954-10-02,2,28.171,WAS,@,PIT,L 7-37,,0,0,,0,0,,,,,,,1,-1,-1.00,0,0,0,,0
29,1954,1954-10-24,5,28.193,WAS,@,NYG,L 7-24,,0,0,,0,0,,,,,,,2,11,5.50,0,0,0,,0
30,1954,1954-11-07,7,28.207,WAS,@,CLE,L 3-62,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,-6,-6.00,0,0,0,,0
31,1954,1954-11-21,9,28.221,WAS,@,CRD,L 16-38,,1,4,25.00,10,0,1,0.0,0,0,2.50,-8.75,0,0,,0,0,0,,0
32,1954,1954-11-28,10,28.228,WAS,@,PHI,L 33-41,,0,0,,0,0,,,,,,,1,11,11.00,0,0,0,,0
33,1954,1954-12-12,12,28.242,WAS,,CRD,W 37-20,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0
34,1955,1955-10-01,2,29.170,DET,@,BAL,L 13-28,,2,2,100.00,24,0,0,116.7,0,0,12.00,12.00,2,0,0.00,0,0,0,,0
