ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1976,1976-10-03,4,24.258,NOR,,HOU,L 26-31,,,,,,,,,,,,
2,1976,1976-10-10,5,24.265,NOR,,ATL,W 30-0,3,8,2.67,0,0,0,,0,0,0,,0
3,1976,1976-10-17,6,24.272,NOR,@,SFO,L 3-33,,,,,,,,,,,,
4,1976,1976-10-24,7,24.279,NOR,,RAM,L 10-16,,,,,,,,,,,,
5,1976,1976-10-31,8,24.286,NOR,@,ATL,L 20-23,,,,,,,,,,,,
6,1976,1976-11-07,9,24.293,NOR,@,GNB,L 27-32,,,,,,,,,,,,
7,1976,1976-11-14,10,24.300,NOR,,DET,W 17-16,,,,,,,,,,,,
8,1976,1976-11-21,11,24.307,NOR,@,SEA,W 51-27,3,13,4.33,0,0,0,,0,0,0,,0
9,1976,1976-11-28,12,24.314,NOR,@,RAM,L 14-33,0,0,,0,1,14,14.00,0,0,0,,0
10,1976,1976-12-05,13,24.321,NOR,@,NWE,L 6-27,0,0,,0,0,0,,0,1,12,12.00,0
11,1976,1976-12-12,14,24.328,NOR,,SFO,L 7-27,,,,,,,,,,,,
12,1977,1977-09-18,1,25.242,NOR,,GNB,L 20-24,0,0,,0,0,0,,0,1,13,13.00,0
13,1977,1977-09-25,2,25.249,NOR,@,DET,L 19-23,,,,,,,,,,,,
14,1977,1977-10-02,3,25.256,NOR,@,CHI,W 42-24,0,0,,0,0,0,,0,1,10,10.00,0
15,1977,1977-10-09,4,25.263,NOR,,SDG,L 0-14,1,3,3.00,0,0,0,,0,0,0,,0
16,1977,1977-10-16,5,25.270,NOR,@,RAM,L 7-14,,,,,,,,,,,,
17,1977,1977-10-23,6,25.277,NOR,@,STL,L 31-49,,,,,,,,,,,,
18,1977,1977-10-30,7,25.284,NOR,,RAM,W 27-26,,,,,,,,,,,,
19,1977,1977-11-06,8,25.291,NOR,@,PHI,L 7-28,,,,,,,,,,,,
20,1977,1977-11-13,9,25.298,NOR,,SFO,L 7-10,2,3,1.50,0,0,0,,0,0,0,,0
21,1977,1977-11-20,10,25.305,NOR,,ATL,W 21-20,,,,,,,,,,,,
22,1977,1977-11-27,11,25.312,NOR,@,SFO,L 17-20,2,6,3.00,0,0,0,,0,0,0,,0
23,1977,1977-12-04,12,25.319,NOR,,NYJ,L 13-16,,,,,,,,,,,,
24,1977,1977-12-11,13,25.326,NOR,,TAM,L 14-33,1,5,5.00,0,1,9,9.00,0,0,0,,0
25,1977,1977-12-18,14,25.333,NOR,@,ATL,L 7-35,2,6,3.00,0,0,0,,0,0,0,,0
26,1978,1978-09-03,1,26.227,NOR,,MIN,W 31-24,,,,,,,,,,,,
27,1978,1978-09-10,2,26.234,NOR,@,GNB,L 17-28,,,,,,,,,,,,
28,1978,1978-09-17,3,26.241,NOR,,PHI,L 17-24,,,,,,,,,,,,
29,1978,1978-09-24,4,26.248,NOR,@,CIN,W 20-18,,,,,,,,,,,,
30,1978,1978-10-01,5,26.255,NOR,,RAM,L 20-26,,,,,,,,,,,,
31,1978,1978-10-08,6,26.262,NOR,,CLE,L 16-24,,,,,,,,,,,,
32,1978,1978-10-15,7,26.269,NOR,@,SFO,W 14-7,,,,,,,,,,,,
33,1978,1978-10-22,8,26.276,NOR,@,RAM,W 10-3,,,,,,,,,,,,
34,1978,1978-10-29,9,26.283,NOR,,NYG,W 28-17,,,,,,,,,,,,
35,1978,1978-11-05,10,26.290,NOR,@,PIT,L 14-20,,,,,,,,,,,,
36,1978,1978-11-12,11,26.297,NOR,,ATL,L 17-20,1,1,1.00,0,1,4,4.00,0,0,0,,0
37,1978,1978-11-19,12,26.304,NOR,@,DAL,L 7-27,,,,,,,,,,,,
38,1978,1978-11-26,13,26.311,NOR,@,ATL,L 17-20,,,,,,,,,,,,
39,1978,1978-12-03,14,26.318,NOR,,SFO,W 24-13,3,13,4.33,0,0,0,,0,0,0,,0
40,1978,1978-12-10,15,26.325,NOR,,HOU,L 12-17,,,,,,,,,,,,
41,1978,1978-12-17,16,26.332,NOR,@,TAM,W 17-10,5,17,3.40,0,1,6,6.00,0,0,0,,0
42,1979,1979-09-02,1,27.226,NOR,,ATL,L 34-40,,,,,,,,,,,,
43,1979,1979-09-09,2,27.233,NOR,@,GNB,L 19-28,3,5,1.67,0,0,0,,0,0,0,,0
