ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1970,1970-09-20,1,24.339,CIN,,OAK,W 31-21,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,7,339,48.43,0
2,1970,1970-09-27,2,24.346,CIN,@,DET,L 3-38,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,6,247,41.17,0
3,1970,1970-10-04,3,24.353,CIN,,HOU,L 13-20,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,0,0,,0,6,272,45.33,0
4,1970,1970-10-11,4,24.360,CIN,@,CLE,L 27-30,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,4,185,46.25,0
5,1970,1970-10-18,5,25.002,CIN,,KAN,L 19-27,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,7,333,47.57,0
6,1970,1970-10-25,6,25.009,CIN,@,WAS,L 0-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,6,236,39.33,0
7,1970,1970-11-02,7,25.017,CIN,@,PIT,L 10-21,,1,1,100.00,18,0,0,118.7,0,0,18.00,18.00,0,0,,0,0,0,,0,0,0,,0,6,284,47.33,0
8,1970,1970-11-08,8,25.023,CIN,@,BUF,W 43-14,,0,0,,0,0,0,,0,0,,,1,1,1.00,0,0,0,,0,0,0,,0,4,185,46.25,0
9,1970,1970-11-15,9,25.030,CIN,,CLE,W 14-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,6,292,48.67,0
10,1970,1970-11-22,10,25.037,CIN,,PIT,W 34-7,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,6,269,44.83,0
11,1970,1970-11-29,11,25.044,CIN,,NOR,W 26-6,,1,1,100.00,12,0,0,116.7,0,0,12.00,12.00,0,0,,0,0,0,,0,0,0,,0,5,225,45.00,0
12,1970,1970-12-06,12,25.051,CIN,@,SDG,W 17-14,,0,0,,0,0,0,,0,0,,,1,7,7.00,0,0,0,,0,0,0,,0,6,323,53.83,0
13,1970,1970-12-13,13,25.058,CIN,@,HOU,W 30-20,,1,1,100.00,9,0,0,104.2,0,0,9.00,9.00,0,0,,0,0,0,,0,0,0,,0,6,264,44.00,0
14,1970,1970-12-20,14,25.065,CIN,,BOS,W 45-7,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,4,197,49.25,0
15,1971,1971-09-19,1,25.338,CIN,,PHI,W 37-14,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,4,178,44.50,0
16,1971,1971-09-26,2,25.345,CIN,@,PIT,L 10-21,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,10,483,48.30,0
17,1971,1971-10-03,3,25.352,CIN,@,GNB,L 17-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,7,301,43.00,0
18,1971,1971-10-10,4,25.359,CIN,,MIA,L 13-23,,0,0,,0,0,0,,0,0,,,1,4,4.00,0,0,0,,0,0,0,,0,4,165,41.25,0
19,1971,1971-10-17,5,26.001,CIN,,CLE,L 24-27,,0,0,,0,0,0,,0,0,,,1,2,2.00,0,0,0,,0,0,0,,0,5,236,47.20,0
20,1971,1971-10-24,6,26.008,CIN,@,OAK,L 27-31,,1,3,33.33,13,0,0,47.9,0,0,4.33,4.33,1,0,0.00,0,0,0,,0,0,0,,0,4,184,46.00,0
21,1971,1971-10-31,7,26.015,CIN,@,HOU,L 6-10,,2,7,28.57,5,0,0,39.6,0,0,0.71,0.71,2,17,8.50,0,0,0,,0,0,0,,0,9,435,48.33,0
22,1971,1971-11-07,8,26.022,CIN,,ATL,L 6-9,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,6,259,43.17,0
23,1971,1971-11-14,9,26.029,CIN,@,DEN,W 24-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,5,229,45.80,0
24,1971,1971-11-21,10,26.036,CIN,,HOU,W 28-13,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,4,154,38.50,0
25,1971,1971-11-28,11,26.043,CIN,,SDG,W 31-0,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,4,178,44.50,0
26,1971,1971-12-05,12,26.050,CIN,@,CLE,L 27-31,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,5,229,45.80,0
27,1971,1971-12-12,13,26.057,CIN,,PIT,L 13-21,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,4,160,40.00,0
28,1971,1971-12-19,14,26.064,CIN,@,NYJ,L 21-35,,0,0,,0,0,0,,0,0,,,1,-17,-17.00,0,0,0,,0,0,0,,0,1,38,38.00,0
29,1972,1972-09-17,1,26.337,CIN,@,NWE,W 31-7,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,5,198,39.60,0
