ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1992,1992-09-13,1,22.185,NWE,@,RAM,L 0-14,,,,,,,,
2,1992,1992-09-20,2,22.192,NWE,,SEA,L 6-10,,,,,,,,
3,1992,1992-09-27,3,22.199,NWE,,BUF,L 7-41,,,,,,,,
4,1992,1992-10-04,4,22.206,NWE,@,NYJ,L 21-30,,,,,,,,
5,1992,1992-10-11,5,22.213,NWE,,SFO,L 12-24,0,0,,0,0.0,1,0,0
6,1992,1992-10-18,6,22.220,NWE,@,MIA,L 17-38,,,,,,,,
7,1992,1992-10-25,7,22.227,NWE,,CLE,L 17-19,,,,,,,,
8,1992,1992-11-01,8,22.234,NWE,@,BUF,L 7-16,,,,,,,,
9,1992,1992-11-08,9,22.241,NWE,,NOR,L 14-31,,,,,,,,
10,1992,1992-11-15,10,22.248,NWE,@,IND,W 37-34,,,,,,,,
11,1992,1992-11-22,11,22.255,NWE,,NYJ,W 24-3,,,,,,,,
12,1992,1992-11-29,12,22.262,NWE,@,ATL,L 0-34,,,,,,,,
13,1992,1992-12-06,13,22.269,NWE,,IND,L 0-6,,,,,,,,
14,1992,1992-12-13,14,22.276,NWE,@,KAN,L 20-27,,,,,,,,
15,1992,1992-12-20,15,22.283,NWE,@,CIN,L 10-20,,,,,,,,
16,1992,1992-12-27,16,22.290,NWE,,MIA,L 13-16,,,,,,,,
17,1993,1993-09-05,1,23.177,NWE,@,BUF,L 14-38,0,0,,0,,,,
18,1993,1993-09-12,2,23.184,NWE,,DET,L 16-19,0,0,,0,,,,
19,1993,1993-09-19,3,23.191,NWE,,SEA,L 14-17,1,0,0.00,0,0.0,0,0,0
20,1993,1993-09-26,4,23.198,NWE,@,NYJ,L 7-45,0,0,,0,,,,
21,1993,1993-10-10,5,23.212,NWE,@,PHO,W 23-21,0,0,,0,,,,
22,1993,1993-10-17,6,23.219,NWE,,HOU,L 14-28,0,0,,0,,,,
23,1993,1993-10-24,7,23.226,NWE,@,SEA,L 9-10,0,0,,0,,,,
24,1993,1993-10-31,8,23.233,NWE,@,IND,L 6-9,0,0,,0,,,,
25,1993,1993-11-07,9,23.240,NWE,,BUF,L 10-13,0,0,,0,,,,
26,1993,1993-11-21,10,23.254,NWE,@,MIA,L 13-17,0,0,,0,,,,
27,1993,1993-11-28,11,23.261,NWE,,NYJ,L 0-6,0,0,,0,,,,
28,1993,1993-12-05,12,23.268,NWE,@,PIT,L 14-17,0,0,,0,,,,
29,1993,1993-12-12,13,23.275,NWE,,CIN,W 7-2,0,0,,0,,,,
30,1993,1993-12-19,14,23.282,NWE,@,CLE,W 20-17,0,0,,0,,,,
31,1993,1993-12-26,15,23.289,NWE,,IND,W 38-0,0,0,,0,,,,
32,1993,1994-01-02,16,23.296,NWE,,MIA,W 33-27,0,0,,0,,,,
33,1994,1994-09-04,1,24.176,NWE,@,MIA,L 35-39,0,0,,0,0.5,0,0,0
34,1994,1994-09-11,2,24.183,NWE,,BUF,L 35-38,,,,,,,,
35,1994,1994-09-18,3,24.190,NWE,@,CIN,W 31-28,,,,,,,,
36,1994,1994-09-25,4,24.197,NWE,@,DET,W 23-17,,,,,,,,
37,1994,1994-10-02,5,24.204,NWE,,GNB,W 17-16,0,0,,0,0.0,1,10,0
38,1994,1994-10-09,6,24.211,NWE,,RAI,L 17-21,0,0,,0,0.0,1,0,0
39,1994,1994-10-16,7,24.218,NWE,@,NYJ,L 17-24,,,,,,,,
40,1994,1994-10-30,8,24.232,NWE,,MIA,L 3-23,,,,,,,,
41,1994,1994-11-06,9,24.239,NWE,@,CLE,L 6-13,,,,,,,,
42,1994,1994-11-13,10,24.246,NWE,,MIN,W 26-20,,,,,,,,
43,1994,1994-11-20,11,24.253,NWE,,SDG,W 23-17,,,,,,,,
44,1994,1994-11-27,12,24.260,NWE,@,IND,W 12-10,,,,,,,,
45,1994,1994-12-04,13,24.267,NWE,,NYJ,W 24-13,,,,,,,,
46,1994,1994-12-11,14,24.274,NWE,,IND,W 28-13,,,,,,,,
47,1994,1994-12-18,15,24.281,NWE,@,BUF,W 41-17,,,,,,,,
48,1994,1994-12-24,16,24.287,NWE,@,CHI,W 13-3,,,,,,,,
49,1995,1995-09-03,1,25.175,CAR,@,ATL,L 20-23,,,,,,,,
50,1995,1995-09-10,2,25.182,CAR,@,BUF,L 9-31,,,,,,,,
51,1995,1995-09-17,3,25.189,CAR,,STL,L 10-31,,,,,,,,
52,1995,1995-10-01,4,25.203,CAR,,TAM,L 13-20,,,,,,,,
53,1995,1995-10-08,5,25.210,CAR,@,CHI,L 27-31,,,,,,,,
54,1995,1995-10-15,6,25.217,CAR,,NYJ,W 26-15,,,,,,,,
55,1995,1995-10-22,7,25.224,CAR,,NOR,W 20-3,,,,,,,,
56,1995,1995-10-29,8,25.231,CAR,@,NWE,W 20-17,,,,,,,,
57,1995,1995-11-05,9,25.238,CAR,@,SFO,W 13-7,,,,,,,,
58,1995,1995-11-12,10,25.245,CAR,@,STL,L 17-28,,,,,,,,
59,1995,1995-11-19,11,25.252,CAR,,ARI,W 27-7,,,,,,,,
60,1995,1995-11-26,12,25.259,CAR,@,NOR,L 26-34,,,,,,,,
61,1995,1995-12-03,13,25.266,CAR,,IND,W 13-10,,,,,,,,
62,1995,1995-12-10,14,25.273,CAR,,SFO,L 10-31,,,,,,,,
63,1995,1995-12-17,15,25.280,CAR,,ATL,W 21-17,,,,,,,,
64,1995,1995-12-24,16,25.287,CAR,@,WAS,L 17-20,,,,,,,,
65,1996,1996-11-03,9,26.236,CAR,@,ATL,L 17-20,,,,,,,,
66,1996,1996-11-10,10,26.243,CAR,,NYG,W 27-17,,,,,,,,
67,1996,1996-11-17,11,26.250,CAR,@,STL,W 20-10,,,,,,,,
68,1996,1996-11-24,12,26.257,CAR,@,HOU,W 31-6,,,,,,,,
69,1996,1996-12-01,13,26.264,CAR,,TAM,W 24-0,0,0,,0,1.0,0,0,0
70,1996,1996-12-08,14,26.271,CAR,@,SFO,W 30-24,,,,,,,,
71,1996,1996-12-15,15,26.278,KAN,,IND,L 19-24,,,,,,,,
72,1996,1996-12-22,16,26.285,CAR,,PIT,W 18-14,,,,,,,,
73,1997,1997-08-31,1,27.172,CAR,,WAS,L 10-24,,,,,,,,
74,1997,1997-09-07,2,27.179,CAR,@,ATL,W 9-6,,,,,,,,
75,1997,1997-09-14,3,27.186,CAR,@,SDG,W 26-7,,,,,,,,
76,1997,1997-09-21,4,27.193,CAR,,KAN,L 14-35,,,,,,,,
77,1997,1997-09-29,5,27.201,CAR,,SFO,L 21-34,,,,,,,,
