ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2003,2003-09-07,1,22.086,STL,@,NYG,L 13-23,*,14,6,46,7.67,0,42.9%,3.29,2,7,3.50,0,0,0,,0,0,0,0.0,,
2,2003,2003-10-19,6,22.128,STL,,GNB,W 34-24,,1,1,-5,-5.00,0,100.0%,-5.00,0,0,,0,0,0,,0,0,0,0.0,,
3,2003,2003-10-26,7,22.135,STL,@,PIT,W 33-21,,1,,,,,0.0%,,,,,,,,,,,,,,
4,2003,2003-11-30,12,22.170,STL,,MIN,W 48-17,,,,,,,0.0%,,,,,,,,,,,,,,
5,2003,2003-12-08,13,22.178,STL,@,CLE,W 26-20,,,,,,,0.0%,,,,,,,,,,,,,,
6,2003,2003-12-14,14,22.184,STL,,SEA,W 27-22,,,,,,,0.0%,,,,,,,,,,,,,,
7,2003,2003-12-21,15,22.191,STL,,CIN,W 27-10,,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,0,0.0,,
8,2003,2003-12-28,16,22.198,STL,@,DET,L 20-30,,3,2,10,5.00,0,66.7%,3.33,0,0,,0,0,0,,0,0,0,0.0,,
9,2004,2004-09-12,1,23.091,STL,,ARI,W 17-10,,2,2,13,6.50,0,100.0%,6.50,0,0,,0,2,13,6.50,0,0,0,0.0,,
10,2004,2004-09-19,2,23.098,STL,@,ATL,L 17-34,,0,0,0,,0,0.0%,,0,0,,0,1,-2,-2.00,0,0,0,0.0,,
11,2004,2004-09-26,3,23.105,STL,,NOR,L 25-28,,4,1,10,10.00,0,25.0%,2.50,0,0,,0,0,0,,0,0,0,0.0,,
12,2004,2004-10-03,4,23.112,STL,@,SFO,W 24-14,,1,1,6,6.00,1,100.0%,6.00,0,0,,0,1,3,3.00,0,1,6,0.0,,
13,2004,2004-10-10,5,23.119,STL,@,SEA,W 33-27,,6,2,76,38.00,1,33.3%,12.67,0,0,,0,2,39,19.50,0,1,6,0.0,,
14,2004,2004-10-18,6,23.127,STL,,TAM,W 28-21,,3,3,30,10.00,0,100.0%,10.00,0,0,,0,2,-5,-2.50,0,0,0,0.0,,
15,2004,2004-10-24,7,23.133,STL,@,MIA,L 14-31,,10,4,77,19.25,1,40.0%,7.70,0,0,,0,2,-1,-0.50,0,1,6,0.0,,
16,2004,2004-11-07,8,23.147,STL,,NWE,L 22-40,,5,3,33,11.00,0,60.0%,6.60,2,0,0.00,0,2,3,1.50,0,0,0,0.0,,
17,2004,2004-11-14,9,23.154,STL,,SEA,W 23-12,,3,1,21,21.00,0,33.3%,7.00,0,0,,0,0,0,,0,0,0,0.0,,
18,2004,2004-11-21,10,23.161,STL,@,BUF,L 17-37,,9,6,72,12.00,0,66.7%,8.00,0,0,,0,3,20,6.67,0,0,0,0.0,,
19,2004,2004-11-29,11,23.169,STL,@,GNB,L 17-45,,9,6,79,13.17,0,66.7%,8.78,0,0,,0,1,4,4.00,0,0,0,0.0,,
20,2004,2004-12-05,12,23.175,STL,,SFO,W 16-6,,5,2,10,5.00,0,40.0%,2.00,0,0,,0,3,8,2.67,0,0,0,0.0,,
21,2004,2004-12-12,13,23.182,STL,@,CAR,L 7-20,,2,1,9,9.00,0,50.0%,4.50,1,3,3.00,0,3,7,2.33,0,0,0,0.0,,
22,2004,2004-12-19,14,23.189,STL,@,ARI,L 7-31,,3,2,14,7.00,0,66.7%,4.67,0,0,,0,5,28,5.60,0,0,0,0.0,,
23,2004,2004-12-27,15,23.197,STL,,PHI,W 20-7,,2,1,9,9.00,0,50.0%,4.50,0,0,,0,2,21,10.50,0,0,0,0.0,,
24,2004,2005-01-02,16,23.203,STL,,NYJ,W 32-29,,4,2,35,17.50,0,50.0%,8.75,1,-3,-3.00,0,1,5,5.00,0,0,0,0.0,,
25,2005,2005-09-11,1,24.090,STL,@,SFO,L 25-28,,10,7,73,10.43,0,70.0%,7.30,1,7,7.00,0,2,14,7.00,0,0,0,0.0,,
26,2005,2005-09-18,2,24.097,STL,@,ARI,W 17-12,,2,1,9,9.00,0,50.0%,4.50,0,0,,0,3,14,4.67,0,0,0,0.0,,
27,2005,2005-09-25,3,24.104,STL,,TEN,W 31-27,,1,0,0,,0,0.0%,0.00,0,0,,0,1,1,1.00,0,0,0,0.0,,
28,2005,2005-10-02,4,24.111,STL,@,NYG,L 24-44,,13,9,121,13.44,0,69.2%,9.31,0,0,,0,1,5,5.00,0,0,0,0.0,,
29,2005,2005-10-09,5,24.118,STL,,SEA,L 31-37,,8,5,55,11.00,0,62.5%,6.88,0,0,,0,1,-1,-1.00,0,0,0,0.0,,
30,2005,2005-10-17,6,24.126,STL,@,IND,L 28-45,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
