ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2005,2005-09-11,1,23.112,TAM,@,MIN,W 24-13,*,5,4,34,8.50,2,80.0%,6.80,0,0,,0,,2,12,0.0,,
2,2005,2005-09-18,2,23.119,TAM,,BUF,W 19-3,*,2,1,2,2.00,0,50.0%,1.00,0,0,,0,,0,0,0.0,,
3,2005,2005-09-25,3,23.126,TAM,@,GNB,W 17-16,*,1,1,4,4.00,0,100.0%,4.00,0,0,,0,,0,0,0.0,,
4,2005,2005-10-02,4,23.133,TAM,,DET,W 17-13,,3,1,7,7.00,0,33.3%,2.33,1,12,12.00,0,,0,0,0.0,,
5,2005,2005-10-09,5,23.140,TAM,@,NYJ,L 12-14,,8,5,46,9.20,0,62.5%,5.75,0,0,,0,,0,0,0.0,,
6,2005,2005-10-16,6,23.147,TAM,,MIA,W 27-13,,4,2,0,0.00,0,50.0%,0.00,0,0,,0,,0,0,0.0,,
7,2005,2005-10-30,7,23.161,TAM,@,SFO,L 10-15,,3,2,43,21.50,0,66.7%,14.33,0,0,,0,,0,0,0.0,,
8,2005,2005-11-06,8,23.168,TAM,,CAR,L 14-34,*,3,3,41,13.67,0,100.0%,13.67,0,0,,0,,0,0,0.0,,
9,2005,2005-11-13,9,23.175,TAM,,WAS,W 36-35,*,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
10,2005,2005-11-20,10,23.182,TAM,@,ATL,W 30-27,*,3,3,43,14.33,0,100.0%,14.33,0,0,,0,,0,0,0.0,,
11,2005,2005-11-27,11,23.189,TAM,,CHI,L 10-13,,3,2,14,7.00,0,66.7%,4.67,0,0,,0,,0,0,0.0,,
12,2005,2005-12-04,12,23.196,TAM,@,NOR,W 10-3,*,2,1,-1,-1.00,0,50.0%,-0.50,0,0,,0,,0,0,0.0,,
13,2005,2005-12-11,13,23.203,TAM,@,CAR,W 20-10,*,3,3,11,3.67,0,100.0%,3.67,0,0,,0,,0,0,0.0,,
14,2005,2005-12-17,14,23.209,TAM,@,NWE,L 0-28,*,6,4,26,6.50,0,66.7%,4.33,0,0,,0,,0,0,0.0,,
15,2005,2005-12-24,15,23.216,TAM,,ATL,W 27-24,*,12,8,75,9.38,0,66.7%,6.25,0,0,,0,,0,0,0.0,,
16,2005,2006-01-01,16,23.224,TAM,,NOR,W 27-13,,3,1,22,22.00,0,33.3%,7.33,0,0,,0,,0,0,0.0,,
17,2006,2006-09-10,1,24.111,TAM,,BAL,L 0-27,*,2,2,18,9.00,0,100.0%,9.00,0,0,,0,,0,0,0.0,,
18,2006,2006-09-17,2,24.118,TAM,@,ATL,L 3-14,*,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,,
19,2006,2006-09-24,3,24.125,TAM,,CAR,L 24-26,,5,4,72,18.00,0,80.0%,14.40,0,0,,0,,0,0,0.0,,
20,2006,2006-10-08,4,24.139,TAM,@,NOR,L 21-24,,6,5,16,3.20,1,83.3%,2.67,0,0,,0,,1,6,0.0,,
