ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,1995,1995-11-27,12,24.050,SDG,,OAK,W 12-6,2,1,6,6.00,0,50.0%,3.00
2,1995,1995-12-03,13,24.056,SDG,,CLE,W 31-13,,0,0,,0,0.0%,
3,1996,1996-09-08,2,24.336,SDG,,CIN,W 27-14,,0,0,,0,0.0%,
4,1996,1996-09-22,4,24.350,SDG,@,OAK,W 40-34,,0,0,,0,0.0%,
5,1996,1996-09-29,5,24.357,SDG,,KAN,W 22-19,2,0,0,,0,0.0%,0.00
6,1996,1996-10-06,6,24.364,SDG,@,DEN,L 17-28,1,0,0,,0,0.0%,0.00
7,1996,1996-10-21,7,25.013,SDG,,OAK,L 14-23,1,0,0,,0,0.0%,0.00
8,1996,1996-10-27,8,25.019,SDG,@,SEA,L 13-32,2,0,0,,0,0.0%,0.00
9,1996,1996-11-17,11,25.040,SDG,,TAM,L 17-25,2,2,9,4.50,0,100.0%,4.50
10,1996,1996-11-24,12,25.047,SDG,@,KAN,W 28-14,1,0,0,,0,0.0%,0.00
11,1996,1996-12-14,15,25.067,SDG,@,CHI,L 14-27,1,1,6,6.00,0,100.0%,6.00
12,1996,1996-12-22,16,25.075,SDG,,DEN,W 16-10,1,0,0,,0,0.0%,0.00
