ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1966,1966-09-10,1,23.117,GNB,,BAL,W 24-3,1,6,6.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,22,22.00,0,0,0,,0,0,0,0,0,,0
2,1966,1966-09-18,2,23.125,GNB,@,CLE,W 21-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,40,20.00,0,0,0,,0,0,0,0,0,,0
3,1966,1966-09-25,3,23.132,GNB,,RAM,W 24-13,1,8,8.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,40,20.00,0,0,0,,0,0,0,0,0,,0
4,1966,1966-10-02,4,23.139,GNB,,DET,W 23-14,1,7,7.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,27,27.00,0,0,0,,0,0,0,0,0,,0
5,1966,1966-10-09,5,23.146,GNB,@,SFO,L 20-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,23,23.00,0,0,0,,0,0,0,0,0,,0
6,1966,1966-10-16,6,23.153,GNB,@,CHI,W 17-0,2,1,0.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
7,1966,1966-10-23,7,23.160,GNB,,ATL,W 56-3,5,15,3.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,2,68,34.00,0,2,78,39.00,1,2,12,2,89,44.50,0
8,1966,1966-10-30,8,23.167,GNB,@,DET,W 31-7,2,15,7.50,0,1,11,11.00,0,0,0,,0,0,0,,0,0,,,1,19,19.00,0,0,0,,0,0,0,0,0,,0
9,1966,1966-11-06,9,23.174,GNB,,MIN,L 17-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,103,34.33,0,0,0,,0,0,0,0,0,,0
10,1966,1966-11-20,10,23.188,GNB,,CHI,W 13-6,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,42,21.00,0,1,8,8.00,0,0,0,0,0,,0
11,1966,1966-11-27,11,23.195,GNB,@,MIN,W 28-16,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,71,23.67,0,0,0,,0,0,0,0,0,,0
12,1966,1966-12-04,12,23.202,GNB,,SFO,W 20-7,2,-6,-3.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,23,11.50,0,1,6,6.00,0,0,0,0,0,,0
13,1966,1966-12-10,13,23.208,GNB,@,BAL,W 14-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,55,18.33,0,0,0,,0,0,0,0,0,,0
14,1966,1966-12-18,14,23.216,GNB,@,RAM,W 27-23,11,58,5.27,1,1,22,22.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,32,16.00,0,1,6,0,0,,0
15,1967,1967-09-17,1,24.124,GNB,,DET,T 17-17,2,1,0.50,0,1,14,14.00,0,0,0,,0,0,0,,0,0,,,1,28,28.00,0,3,64,21.33,0,0,0,4,172,43.00,0
16,1967,1967-09-24,2,24.131,GNB,,CHI,W 13-10,7,68,9.71,0,0,0,,0,1,1,100.00,19,0,0,118.7,0,0,19.00,19.00,3,39,13.00,0,1,9,9.00,0,0,0,0,0,,0
17,1967,1967-10-01,3,24.138,GNB,,ATL,W 23-0,4,31,7.75,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,22,22.00,0,1,12,12.00,0,0,0,4,149,37.25,0
