ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,def_int,def_int_yds,def_int_td
1,1968,1968-10-05,4,22.203,SDG,@,NYJ,L 20-23,1,22,22.00,0,0,0,0
2,1970,1970-09-27,2,24.195,CIN,@,DET,L 3-38,,,,,,,
3,1970,1970-10-04,3,24.202,CIN,,HOU,L 13-20,0,0,,0,1,3,0
4,1970,1970-10-11,4,24.209,CIN,@,CLE,L 27-30,,,,,,,
5,1970,1970-10-18,5,24.216,CIN,,KAN,L 19-27,,,,,,,
6,1970,1970-10-25,6,24.223,CIN,@,WAS,L 0-20,,,,,,,
7,1970,1970-11-08,8,24.237,CIN,@,BUF,W 43-14,,,,,,,
8,1970,1970-11-15,9,24.244,CIN,,CLE,W 14-10,,,,,,,
9,1970,1970-11-22,10,24.251,CIN,,PIT,W 34-7,,,,,,,
10,1970,1970-11-29,11,24.258,CIN,,NOR,W 26-6,0,0,,0,1,20,0
11,1970,1970-12-06,12,24.265,CIN,@,SDG,W 17-14,0,0,,0,1,22,0
12,1970,1970-12-13,13,24.272,CIN,@,HOU,W 30-20,,,,,,,
13,1970,1970-12-20,14,24.279,CIN,,BOS,W 45-7,,,,,,,
14,1971,1971-10-03,3,25.201,CIN,@,GNB,L 17-20,,,,,,,
