ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2007,2007-10-28,8,23.136,MIA,,NYG,L 10-13,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0.0,,
2,2007,2007-11-11,9,23.150,MIA,,BUF,L 10-13,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0.0,,
3,2007,2007-11-18,10,23.157,MIA,@,PHI,L 7-17,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0.0,,
4,2007,2007-12-02,12,23.171,MIA,,NYJ,L 13-40,,1,6,6.00,0,7,6,63,10.50,0,85.7%,9.00,0,0,,0,0.0,,
5,2007,2007-12-09,13,23.178,MIA,@,BUF,L 17-38,,4,13,3.25,0,8,6,34,5.67,0,75.0%,4.25,0,0,,0,0.0,,
6,2007,2007-12-16,14,23.185,MIA,,BAL,W 22-16,,8,17,2.13,0,8,6,60,10.00,0,75.0%,7.50,0,0,,0,0.0,,
7,2007,2007-12-23,15,23.192,MIA,@,NWE,L 7-28,,8,56,7.00,0,5,3,26,8.67,0,60.0%,5.20,0,0,,0,0.0,,
8,2007,2007-12-30,16,23.199,MIA,,CIN,L 25-38,*,7,33,4.71,0,8,7,54,7.71,0,87.5%,6.75,0,0,,0,0.0,,
9,2008,2008-09-07,1,24.085,PHI,,STL,W 38-3,,5,9,1.80,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
10,2008,2008-09-15,2,24.093,PHI,@,DAL,L 37-41,*,0,0,,0,2,2,8,4.00,0,100.0%,4.00,0,0,,0,0.0,0,0
11,2008,2008-09-21,3,24.099,PHI,,PIT,W 15-6,,5,11,2.20,0,3,2,5,2.50,0,66.7%,1.67,0,0,,0,0.0,0,0
12,2008,2008-09-28,4,24.106,PHI,@,CHI,L 20-24,,2,7,3.50,0,2,1,-3,-3.00,0,50.0%,-1.50,0,0,,0,0.0,0,0
13,2008,2008-10-05,5,24.113,PHI,,WAS,L 17-23,,,,,,1,,,,,0.0%,,,,,,,,
14,2008,2008-10-12,6,24.120,PHI,@,SFO,W 40-26,,1,5,5.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0
15,2008,2008-10-26,7,24.134,PHI,,ATL,W 27-14,,,,,,,,,,,0.0%,,,,,,,,
16,2008,2008-11-02,8,24.141,PHI,@,SEA,W 26-7,,3,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
17,2008,2008-11-27,12,24.166,PHI,,ARI,W 48-20,,4,21,5.25,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
18,2008,2008-12-07,13,24.176,PHI,@,NYG,W 20-14,,0,0,,0,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0.0,0,0
19,2010,2010-12-13,13,26.182,MIN,,NYG,L 3-21,,0,0,,0,1,1,6,6.00,0,100.0%,6.00,4,123,30.75,0,0.0,0,0
20,2010,2010-12-20,14,26.189,MIN,,CHI,L 14-40,,0,0,,0,2,2,14,7.00,0,100.0%,7.00,8,157,19.63,0,0.0,1,0
21,2010,2010-12-28,15,26.197,MIN,@,PHI,W 24-14,,0,0,,0,1,1,6,6.00,0,100.0%,6.00,1,27,27.00,0,0.0,0,0
22,2010,2011-01-02,16,26.202,MIN,@,DET,L 13-20,,0,0,,0,2,1,6,6.00,0,50.0%,3.00,5,122,24.40,0,0.0,0,0
23,2011,2011-09-11,1,27.089,MIN,@,SDG,L 17-24,,0,0,,0,0,0,0,,0,0.0%,,1,20,20.00,0,0.0,0,0
24,2011,2011-09-18,2,27.096,MIN,,TAM,L 20-24,,0,0,,0,1,0,0,,0,0.0%,0.00,1,15,15.00,0,0.0,0,0
25,2011,2011-09-25,3,27.103,MIN,,DET,L 23-26,,0,0,,0,0,0,0,,0,0.0%,,3,113,37.67,0,0.0,0,0
26,2011,2011-10-02,4,27.110,MIN,@,KAN,L 17-22,,0,0,,0,0,0,0,,0,0.0%,,1,30,30.00,0,0.0,0,0
27,2011,2011-10-09,5,27.117,MIN,,ARI,W 34-10,,1,25,25.00,0,2,2,25,12.50,0,100.0%,12.50,2,43,21.50,0,0.0,0,0
28,2011,2011-10-16,6,27.124,MIN,@,CHI,L 10-39,,1,-3,-3.00,0,0,0,0,,0,0.0%,,4,98,24.50,0,0.0,0,0
29,2011,2011-10-23,7,27.131,MIN,,GNB,L 27-33,,0,0,,0,2,0,0,,0,0.0%,0.00,1,21,21.00,0,0.0,0,0
30,2011,2011-11-14,9,27.153,MIN,@,GNB,L 7-45,,2,12,6.00,0,3,1,9,9.00,0,33.3%,3.00,3,50,16.67,0,0.0,0,0
31,2011,2011-11-20,10,27.159,MIN,,OAK,L 21-27,,0,0,,0,0,0,0,,0,0.0%,,3,60,20.00,0,0.0,0,0
32,2011,2011-11-27,11,27.166,MIN,@,ATL,L 14-24,,,,,,,,,,,0.0%,,,,,,,,
33,2011,2011-12-04,12,27.173,MIN,,DEN,L 32-35,,2,3,1.50,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0.0,0,0
34,2011,2011-12-11,13,27.180,MIN,@,DET,L 28-34,,3,17,5.67,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
35,2011,2011-12-18,14,27.187,MIN,,NOR,L 20-42,,0,0,,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0.0,0,0
36,2011,2011-12-24,15,27.193,MIN,@,WAS,W 33-26,,2,1,0.50,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
37,2011,2012-01-01,16,27.201,MIN,,CHI,L 13-17,,2,-3,-1.50,0,4,3,33,11.00,0,75.0%,8.25,0,0,,0,0.0,0,0
