ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1978,1978-09-03,1,23.068,MIA,@,NYJ,L 20-33,,5,6,83.33,79,1,0,158.3,0,0,13.17,16.50,0,0,,0
2,1978,1978-09-10,2,23.075,MIA,@,BAL,W 42-0,,1,2,50.00,12,0,1,29.2,0,0,6.00,-16.50,0,0,,0
3,1978,1978-12-10,15,23.166,MIA,,OAK,W 23-6,,0,0,,0,0,0,,0,0,,,1,-2,-2.00,0
4,1979,1979-10-21,8,24.116,MIA,@,NWE,L 13-28,,1,2,50.00,7,0,0,58.3,0,0,3.50,3.50,0,0,,0
5,1979,1979-10-28,9,24.123,MIA,,GNB,W 27-7,,1,1,100.00,17,0,0,118.7,0,0,17.00,17.00,0,0,,0
6,1979,1979-11-11,11,24.137,MIA,,BAL,W 19-0,,,,,,,,,,,,,,,,
7,1979,1979-12-09,15,24.165,MIA,@,DET,W 28-10,,1,1,100.00,4,0,0,83.3,0,0,4.00,4.00,0,0,,0
8,1980,1980-09-14,2,25.079,NOR,@,CHI,L 3-22,,2,4,50.00,12,0,0,56.2,0,0,3.00,3.00,0,0,,0
9,1980,1980-10-05,5,25.100,NOR,,STL,L 7-40,,5,13,38.46,16,0,1,14.6,0,0,1.23,-2.23,0,0,,0
10,1981,1981-10-11,6,26.106,SFO,,DAL,W 45-14,,0,3,0.00,0,0,0,39.6,1,14,0.00,0.00,0,0,,0
11,1981,1981-12-06,14,26.162,SFO,@,CIN,W 21-3,,0,0,,0,0,0,,0,,,,0,0,,0
12,1981,1981-12-13,15,26.169,SFO,,HOU,W 28-6,,7,9,77.78,82,1,0,141.7,2,16,9.11,11.33,0,0,,0
13,1981,1981-12-20,16,26.176,SFO,@,NOR,W 21-17,,8,14,57.14,89,0,1,46.4,0,0,6.36,3.14,1,1,1.00,0
14,1982,1982-09-12,1,27.077,SFO,,RAI,L 17-23,,0,0,,0,0,0,,0,,,,,,,
15,1982,1982-12-11,6,27.167,SFO,,SDG,L 37-41,,1,1,100.00,10,0,0,108.3,0,0,10.00,10.00,0,0,,0
16,1983,1983-09-03,1,28.068,SFO,,PHI,L 17-22,,5,10,50.00,101,1,0,119.2,0,0,10.10,12.10,1,1,1.00,0
17,1983,1983-09-08,2,28.073,SFO,@,MIN,W 48-17,,0,0,,0,0,0,,0,,,,0,0,,0
18,1983,1983-12-04,14,28.160,SFO,,TAM,W 35-21,,1,1,100.00,12,0,0,116.7,0,0,12.00,12.00,0,0,,0
19,1983,1983-12-19,16,28.175,SFO,,DAL,W 42-17,,1,1,100.00,-2,0,0,79.2,0,0,-2.00,-2.00,0,0,,0
