ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1987,1987-10-04,3,22.347,NWE,,CLE,L 10-20,1,0,0.00,0,0,0
2,1987,1987-10-11,4,22.354,NWE,,BUF,W 14-7,3,20,6.67,1,1,6
