ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1970,1970-09-20,1,22.115,SFO,,WAS,W 26-17,3,61,20.33,0,2,3,1.50,0,0,0,0
2,1970,1970-09-27,2,22.122,SFO,,CLE,W 34-31,0,0,,0,2,11,5.50,0,0,0,0
3,1970,1970-10-04,3,22.129,SFO,@,ATL,L 20-21,0,0,,0,2,42,21.00,0,0,0,0
4,1970,1970-10-11,4,22.136,SFO,@,RAM,W 20-6,1,20,20.00,0,4,56,14.00,0,0,0,0
5,1970,1970-10-18,5,22.143,SFO,,NOR,T 20-20,0,0,,0,3,49,16.33,0,0,0,0
6,1970,1970-10-25,6,22.150,SFO,,DEN,W 19-14,0,0,,0,5,36,7.20,0,0,0,0
7,1970,1970-11-01,7,22.157,SFO,,GNB,W 26-10,0,0,,0,2,17,8.50,0,1,70,0
8,1970,1970-11-08,8,22.164,SFO,@,CHI,W 37-16,0,0,,0,2,78,39.00,0,0,0,0
9,1970,1970-11-15,9,22.171,SFO,@,HOU,W 30-20,0,0,,0,6,133,22.17,0,0,0,0
10,1970,1970-11-22,10,22.178,SFO,@,DET,L 7-28,0,0,,0,2,10,5.00,0,0,0,0
11,1970,1970-11-29,11,22.185,SFO,,RAM,L 13-30,5,65,13.00,0,4,10,2.50,0,0,0,0
12,1970,1970-12-06,12,22.192,SFO,,ATL,W 24-20,2,19,9.50,0,4,43,10.75,0,0,0,0
13,1970,1970-12-13,13,22.199,SFO,@,NOR,W 38-27,0,0,,0,2,15,7.50,0,1,0,0
14,1970,1970-12-20,14,22.206,SFO,@,OAK,W 38-7,1,25,25.00,0,3,13,4.33,0,1,0,0
15,1971,1971-09-19,1,23.114,SFO,@,ATL,L 17-20,0,0,,0,1,4,4.00,0,0,0,0
16,1971,1971-09-26,2,23.121,SFO,@,NOR,W 38-20,0,0,,0,4,20,5.00,0,0,0,0
17,1971,1971-10-03,3,23.128,SFO,@,PHI,W 31-3,0,0,,0,3,20,6.67,0,0,0,0
18,1971,1971-10-10,4,23.135,SFO,,RAM,L 13-20,0,0,,0,6,-2,-0.33,0,0,0,0
19,1971,1971-10-17,5,23.142,SFO,,CHI,W 13-0,0,0,,0,2,38,19.00,0,1,19,0
20,1971,1971-10-24,6,23.149,SFO,@,STL,W 26-14,0,0,,0,1,5,5.00,0,0,0,0
21,1971,1971-10-31,7,23.156,SFO,,NWE,W 27-10,0,0,,0,2,4,2.00,0,0,0,0
22,1971,1971-11-07,8,23.163,SFO,@,MIN,W 13-9,0,0,,0,4,66,16.50,0,0,0,0
23,1971,1971-11-14,9,23.170,SFO,,NOR,L 20-26,0,0,,0,2,17,8.50,0,0,0,0
24,1971,1971-11-21,10,23.177,SFO,@,RAM,L 6-17,0,0,,0,4,7,1.75,0,1,0,0
25,1971,1971-11-28,11,23.184,SFO,@,NYJ,W 24-21,0,0,,0,0,0,,0,1,49,0
26,1971,1971-12-06,12,23.192,SFO,,KAN,L 17-26,0,0,,0,2,42,21.00,0,0,0,0
27,1971,1971-12-12,13,23.198,SFO,,ATL,W 24-3,0,0,,0,2,7,3.50,0,0,0,0
28,1971,1971-12-19,14,23.205,SFO,,DET,W 31-27,0,0,,0,1,7,7.00,0,0,0,0
29,1972,1972-09-17,1,24.112,SFO,,SDG,W 34-3,0,0,,0,3,26,8.67,0,0,0,0
30,1972,1972-09-24,2,24.119,SFO,@,BUF,L 20-27,0,0,,0,4,67,16.75,0,0,0,0
31,1972,1972-10-01,3,24.126,SFO,@,NOR,W 37-2,0,0,,0,4,20,5.00,0,0,0,0
