ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1992,1992-09-06,1,22.283,KAN,@,SDG,W 24-10,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,4,78,19.50,1,1,6,0.0,1,3,0
2,1992,1992-09-13,2,22.290,KAN,,SEA,W 26-7,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,3,15,5.00,0,0,0,0.0,0,0,0
3,1992,1992-09-20,3,22.297,KAN,@,HOU,L 20-23,,,0,0,,0,0.0%,,0,0,,0,4,62,15.50,0,2,9,4.50,0,0,0,0.0,0,0,0
4,1992,1992-09-28,4,22.305,KAN,,RAI,W 27-7,,,0,0,,0,0.0%,,0,0,,0,1,13,13.00,0,3,54,18.00,0,0,0,0.0,0,0,0
5,1992,1992-10-04,5,22.311,KAN,@,DEN,L 19-20,,,0,0,,0,0.0%,,0,0,,0,1,5,5.00,0,1,2,2.00,0,0,0,0.0,0,0,0
6,1992,1992-10-11,6,22.318,KAN,,PHI,W 24-17,,,0,0,,0,0.0%,,0,0,,0,3,70,23.33,0,0,0,,0,0,0,0.0,1,0,0
7,1992,1992-10-18,7,22.325,KAN,@,DAL,L 10-17,,,0,0,,0,0.0%,,0,0,,0,2,40,20.00,0,2,8,4.00,0,0,0,0.0,1,10,0
8,1992,1992-10-25,8,22.332,KAN,,PIT,L 3-27,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,16,8.00,0,0,0,0.0,0,0,0
9,1992,1992-11-08,9,22.346,KAN,,SDG,W 16-14,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,15,7.50,0,0,0,0.0,1,0,0
10,1992,1992-11-15,10,22.353,KAN,,WAS,W 35-16,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0.0,0,0,0
11,1992,1992-11-22,11,22.360,KAN,@,SEA,W 24-14,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,4,100,25.00,1,1,6,0.0,1,0,0
12,1992,1992-11-29,12,23.001,KAN,@,NYJ,W 23-7,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,4,2.00,0,0,0,0.0,0,0,0
13,1992,1992-12-06,13,23.008,KAN,@,RAI,L 7-28,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,13,6.50,0,0,0,0.0,1,16,0
14,1992,1992-12-13,14,23.015,KAN,,NWE,W 27-20,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,4,34,8.50,0,0,0,0.0,0,0,0
15,1992,1992-12-19,15,23.021,KAN,@,NYG,L 21-35,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,18,18.00,0,0,0,0.0,0,0,0
