ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1999,1999-09-12,1,23.099,STL,,BAL,W 27-10,,6,3,36,12.00,1,50.0%,6.00,0,0,,0,0,0,,0,1,6
2,1999,1999-09-26,2,23.113,STL,,ATL,W 35-7,*,3,2,47,23.50,1,66.7%,15.67,0,0,,0,0,0,,0,1,6
3,1999,1999-10-03,3,23.120,STL,@,CIN,W 38-10,*,4,4,58,14.50,0,100.0%,14.50,1,14,14.00,0,0,0,,0,0,0
4,1999,1999-10-10,4,23.127,STL,,SFO,W 42-20,*,4,3,67,22.33,0,75.0%,16.75,0,0,,0,0,0,,0,0,0
5,1999,1999-10-17,5,23.134,STL,@,ATL,W 41-13,*,4,,,,,0.0%,,,,,,,,,,,
6,1999,1999-10-24,6,23.141,STL,,CLE,W 34-3,*,2,2,24,12.00,0,100.0%,12.00,1,5,5.00,0,3,15,5.00,0,0,0
7,1999,1999-10-31,7,23.148,STL,@,TEN,L 21-24,*,13,5,55,11.00,0,38.5%,4.23,0,0,,0,0,0,,0,0,0
8,1999,1999-11-07,8,23.155,STL,@,DET,L 27-31,*,5,3,31,10.33,0,60.0%,6.20,0,0,,0,0,0,,0,0,0
9,1999,1999-11-14,9,23.162,STL,,CAR,W 35-10,*,6,2,16,8.00,0,33.3%,2.67,0,0,,0,0,0,,0,0,0
10,1999,1999-11-21,10,23.169,STL,@,SFO,W 23-7,*,8,3,25,8.33,0,37.5%,3.13,1,6,6.00,0,0,0,,0,0,0
11,1999,1999-11-28,11,23.176,STL,,NOR,W 43-12,*,6,5,87,17.40,2,83.3%,14.50,0,0,,0,0,0,,0,2,12
12,1999,1999-12-05,12,23.183,STL,@,CAR,W 34-21,*,3,1,4,4.00,0,33.3%,1.33,0,0,,0,0,0,,0,0,0
13,1999,1999-12-12,13,23.190,STL,@,NOR,W 30-14,*,9,6,113,18.83,0,66.7%,12.56,0,0,,0,0,0,,0,0,0
14,1999,1999-12-19,14,23.197,STL,,NYG,W 31-10,*,8,5,70,14.00,0,62.5%,8.75,0,0,,0,0,0,,0,0,0
15,1999,1999-12-26,15,23.204,STL,,CHI,W 34-12,*,9,3,33,11.00,0,33.3%,3.67,0,0,,0,0,0,,0,0,0
