ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2010,2010-09-12,1,23.123,JAX,,DEN,W 24-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1.0,3,0
2,2010,2010-09-19,2,23.130,JAX,@,SDG,L 13-38,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,2,1
3,2010,2010-09-26,3,23.137,JAX,,PHI,L 3-28,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.5,2,1
4,2010,2010-10-03,4,23.144,JAX,,IND,W 31-28,*,,,,,,0.0%,,,,,,,,,,,,
5,2010,2010-10-10,5,23.151,JAX,@,BUF,W 36-26,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,3,0
6,2010,2010-10-18,6,23.159,JAX,,TEN,L 3-30,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,4,1
7,2010,2010-10-24,7,23.165,JAX,@,KAN,L 20-42,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,3
8,2010,2010-10-31,8,23.172,JAX,@,DAL,W 35-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1.0,2,0
9,2010,2010-11-14,9,23.186,JAX,,HOU,W 31-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0
10,2010,2010-11-21,10,23.193,JAX,,CLE,W 24-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1.0,2,0
11,2010,2010-11-28,11,23.200,JAX,@,NYG,L 20-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,2
12,2010,2010-12-05,12,23.207,JAX,@,TEN,W 17-6,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0
13,2010,2010-12-12,13,23.214,JAX,,OAK,W 38-31,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0
14,2010,2010-12-19,14,23.221,JAX,@,IND,L 24-34,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,2,0
15,2010,2010-12-26,15,23.228,JAX,,WAS,L 17-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,2,0
16,2010,2011-01-02,16,23.235,JAX,@,HOU,L 17-34,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,2,1
17,2011,2011-09-11,1,24.122,JAX,,TEN,W 16-14,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,1
18,2011,2011-09-18,2,24.129,JAX,@,NYJ,L 3-32,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,4,0
19,2011,2011-09-25,3,24.136,JAX,@,CAR,L 10-16,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,2
20,2011,2011-10-02,4,24.143,JAX,,NOR,L 10-23,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,2,0
21,2011,2011-10-09,5,24.150,JAX,,CIN,L 20-30,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,4
22,2011,2011-10-16,6,24.157,JAX,@,PIT,L 13-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1.0,3,0
23,2011,2011-10-24,7,24.165,JAX,,BAL,W 12-7,*,,,,,,0.0%,,,,,,,,,,,,
24,2011,2011-10-30,8,24.171,JAX,@,HOU,L 14-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,4,0
25,2011,2011-11-13,9,24.185,JAX,@,IND,W 17-3,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,3
26,2011,2011-11-20,10,24.192,JAX,@,CLE,L 10-14,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.5,1,2
27,2011,2011-11-27,11,24.199,JAX,,HOU,L 13-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,3
28,2011,2011-12-05,12,24.207,JAX,,SDG,L 14-38,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,2,0
29,2011,2011-12-11,13,24.213,JAX,,TAM,W 41-14,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1.0,2,1
30,2011,2011-12-15,14,24.217,JAX,@,ATL,L 14-41,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,2
31,2011,2011-12-24,15,24.226,JAX,@,TEN,L 17-23,*,0,,,,,0.0%,,,,,,,,,,,,
32,2011,2012-01-01,16,24.234,JAX,,IND,W 19-13,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,1
33,2012,2012-09-09,1,25.120,JAX,@,MIN,L 23-26,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1.0,3,1
34,2012,2012-09-16,2,25.127,JAX,,HOU,L 7-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,6,0
35,2012,2012-09-23,3,25.134,JAX,@,IND,W 22-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,1
36,2012,2012-09-30,4,25.141,JAX,,CIN,L 10-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,2
37,2012,2012-10-07,5,25.148,JAX,,CHI,L 3-41,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,2,0
38,2012,2012-10-21,6,25.162,JAX,@,OAK,L 23-26,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0
39,2012,2012-10-28,7,25.169,JAX,@,GNB,L 15-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0
40,2012,2012-11-04,8,25.176,JAX,,DET,L 14-31,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,3,0
41,2012,2012-11-08,9,25.180,JAX,,IND,L 10-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1.0,5,0
42,2012,2012-11-18,10,25.190,JAX,@,HOU,L 37-43,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,2,0
