ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2015,2015-09-13,1,23.103,DAL,,NYG,W 27-26,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
2,2015,2015-09-20,2,23.110,DAL,@,PHI,W 20-10,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
3,2015,2015-09-27,3,23.117,DAL,,ATL,L 28-39,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
4,2015,2015-10-11,5,23.131,DAL,,NWE,L 6-30,,0,0,,0,2,1,-3,-3.00,0,50.0%,-1.50,1,21,21.00,0,1,-2,-2.00,0
5,2015,2015-10-25,6,23.145,DAL,@,NYG,L 20-27,,4,35,8.75,0,0,0,0,,0,0.0%,,2,44,22.00,0,0,0,,0
6,2015,2015-11-01,7,23.152,DAL,,SEA,L 12-13,,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
7,2015,2015-11-08,8,23.159,DAL,,PHI,L 27-33,,0,0,,0,2,1,8,8.00,0,50.0%,4.00,1,79,79.00,0,2,5,2.50,0
8,2015,2015-11-15,9,23.166,DAL,@,TAM,L 6-10,,0,0,,0,1,1,0,0.00,0,100.0%,0.00,0,0,,0,1,0,0.00,0
9,2015,2015-11-22,10,23.173,DAL,@,MIA,W 24-14,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,2,18,9.00,0
10,2015,2015-11-26,11,23.177,DAL,,CAR,L 14-33,*,0,0,,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,1,8,8.00,0
11,2015,2015-12-07,12,23.188,DAL,@,WAS,W 19-16,,2,35,17.50,0,1,1,5,5.00,0,100.0%,5.00,2,70,35.00,0,3,31,10.33,0
12,2015,2015-12-13,13,23.194,DAL,@,GNB,L 7-28,,1,3,3.00,0,1,1,2,2.00,0,100.0%,2.00,1,22,22.00,0,3,-6,-2.00,0
13,2015,2015-12-19,14,23.200,DAL,,NYJ,L 16-19,,2,32,16.00,0,0,0,0,,0,0.0%,,5,131,26.20,0,2,18,9.00,0
14,2015,2015-12-27,15,23.208,DAL,@,BUF,L 6-16,,0,0,,0,0,0,0,,0,0.0%,,1,15,15.00,0,2,32,16.00,0
15,2015,2016-01-03,16,23.215,DAL,,WAS,L 23-34,,0,0,,0,0,0,0,,0,0.0%,,3,70,23.33,0,2,6,3.00,0
16,2016,2016-09-11,1,24.101,DAL,,NYG,L 19-20,,0,0,,0,0,0,0,,0,0.0%,,1,21,21.00,0,2,16,8.00,0
17,2016,2016-09-18,2,24.108,DAL,@,WAS,W 27-23,,0,0,,0,0,0,0,,0,0.0%,,1,33,33.00,0,1,7,7.00,0
18,2016,2016-09-25,3,24.115,DAL,,CHI,W 31-17,,1,3,3.00,0,0,0,0,,0,0.0%,,1,25,25.00,0,1,3,3.00,0
19,2016,2016-10-02,4,24.122,DAL,@,SFO,W 24-17,,1,8,8.00,0,0,0,0,,0,0.0%,,1,28,28.00,0,2,25,12.50,0
20,2016,2016-10-09,5,24.129,DAL,,CIN,W 28-14,,1,9,9.00,0,0,0,0,,0,0.0%,,2,45,22.50,0,2,10,5.00,0
21,2016,2016-10-16,6,24.136,DAL,@,GNB,W 30-16,,1,26,26.00,0,1,1,35,35.00,0,100.0%,35.00,1,21,21.00,0,0,0,,0
22,2016,2016-10-30,7,24.150,DAL,,PHI,W 29-23,,1,17,17.00,0,0,0,0,,0,0.0%,,1,13,13.00,0,2,19,9.50,0
23,2016,2016-11-06,8,24.157,DAL,@,CLE,W 35-10,,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,,0,3,18,6.00,0
24,2016,2016-11-13,9,24.164,DAL,@,PIT,W 35-30,,0,0,,0,1,1,5,5.00,0,100.0%,5.00,1,30,30.00,0,2,44,22.00,0
25,2016,2016-11-20,10,24.171,DAL,,BAL,W 27-17,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,2,24,12.00,0
26,2016,2016-11-24,11,24.175,DAL,,WAS,W 31-26,*,1,15,15.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
27,2016,2016-12-01,12,24.182,DAL,@,MIN,W 17-15,,1,6,6.00,0,0,0,0,,0,0.0%,,1,22,22.00,0,2,1,0.50,0
28,2016,2016-12-18,14,24.199,DAL,,TAM,W 26-20,,2,-4,-2.00,0,0,0,0,,0,0.0%,,3,72,24.00,0,1,0,0.00,0
29,2016,2016-12-26,15,24.207,DAL,,DET,W 42-21,,0,0,,0,0,0,0,,0,0.0%,,2,44,22.00,0,2,5,2.50,0
30,2016,2017-01-01,16,24.213,DAL,@,PHI,L 13-27,,0,0,,0,1,1,8,8.00,0,100.0%,8.00,2,40,20.00,0,3,23,7.67,0
