ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,1996,1996-09-01,1,21.341,MIA,,NWE,W 24-10,,0,0,,0,,,,,,,,,,
2,1996,1996-09-08,2,21.348,MIA,@,ARI,W 38-10,,0,0,,0,,,,,,,,,,
3,1996,1996-09-15,3,21.355,MIA,,NYJ,W 36-27,,0,0,,0,,,,,,,,,,
4,1996,1996-09-23,4,21.363,MIA,@,IND,L 6-10,,0,0,,0,,,,,,,,,,
5,1996,1996-10-06,5,22.010,MIA,,SEA,L 15-22,,0,0,,0,,,,,,,,,,
6,1996,1996-10-13,6,22.017,MIA,@,BUF,W 21-7,,0,0,,0,,,,,,,,,,
7,1996,1996-10-20,7,22.024,MIA,@,PHI,L 28-35,,0,0,,0,,,,,,,,,,
8,1996,1996-10-27,8,22.031,MIA,,DAL,L 10-29,,0,0,,0,,,,,,,,,,
9,1996,1996-11-03,9,22.038,MIA,@,NWE,L 23-42,,0,0,,0,,,,,,,,,,
10,1996,1996-11-10,10,22.045,MIA,,IND,W 37-13,,0,0,,0,,,,,,,,,,
11,1996,1996-11-17,11,22.052,MIA,@,HOU,W 23-20,,1,26,26.00,0,0,0,,0,0.0,,,0,0,0
12,1996,1996-11-25,12,22.060,MIA,,PIT,L 17-24,,0,0,,0,,,,,,,,,,
13,1996,1996-12-01,13,22.066,MIA,@,OAK,L 7-17,,0,0,,0,,,,,,,,,,
14,1996,1996-12-08,14,22.073,MIA,,NYG,L 7-17,,0,0,,0,,,,,,,,,,
15,1996,1996-12-16,15,22.081,MIA,,BUF,W 16-14,,0,0,,0,,,,,,,,,,
16,1996,1996-12-22,16,22.087,MIA,@,NYJ,W 31-28,,0,0,,0,,,,,,,,,,
17,1998,1998-09-06,1,23.345,MIA,@,IND,W 24-15,,,,,,,,,,,,,,,
18,1998,1998-09-13,2,23.352,MIA,,BUF,W 13-7,,,,,,,,,,,,,,,
19,1998,1998-09-20,3,23.359,MIA,,PIT,W 21-0,,,,,,,,,,,,,,,
20,1998,1998-10-04,4,24.008,MIA,@,NYJ,L 9-20,,,,,,,,,,,,,,,
21,1998,1998-10-12,5,24.016,MIA,@,JAX,L 21-28,,,,,,,,,,,,,,,
