ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,2011,2011-09-18,2,24.215,DEN,,CIN,W 24-22,,,,,,,,,,,0.0%,
2,2011,2011-11-17,10,24.275,DEN,,NYJ,W 17-13,,3,-2,-0.67,0,1,1,8,8.00,0,100.0%,8.00
3,2011,2011-11-27,11,24.285,DEN,@,SDG,W 16-13,,0,0,,0,4,2,24,12.00,0,50.0%,6.00
4,2011,2011-12-04,12,24.292,DEN,@,MIN,W 35-32,,,,,,,,,,,0.0%,
5,2011,2011-12-11,13,24.299,DEN,,CHI,W 13-10,,2,18,9.00,0,2,2,11,5.50,0,100.0%,5.50
6,2011,2011-12-18,14,24.306,DEN,,NWE,L 23-41,,1,25,25.00,0,0,0,0,,0,0.0%,
7,2011,2011-12-24,15,24.312,DEN,@,BUF,L 14-40,,6,23,3.83,0,2,2,19,9.50,0,100.0%,9.50
8,2011,2012-01-01,16,24.320,DEN,,KAN,L 3-7,,2,13,6.50,0,0,0,0,,0,0.0%,
