ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2008,2008-09-14,2,23.086,GNB,@,DET,W 48-25,,0,0,,0,0,0,,0,,,,2,-2,-1.00,0,0,0,0.0,0,0
2,2008,2008-09-28,4,23.100,GNB,@,TAM,L 21-30,,2,5,40.00,6,0,0,47.9,0,0,1.20,1.20,0,0,,0,0,0,0.0,0,0
3,2008,2008-11-24,11,23.157,GNB,@,NOR,L 29-51,,0,0,,0,0,0,,0,,,,1,0,0.00,0,0,0,0.0,0,0
4,2008,2008-12-07,13,23.170,GNB,,HOU,L 21-24,,,,,,,,,0,,,,,,,,,,,,
5,2008,2008-12-14,14,23.177,GNB,@,JAX,L 16-20,,,,,,,,,0,,,,,,,,,,,,
6,2008,2008-12-22,15,23.185,GNB,@,CHI,L 17-20,,0,0,,0,0,0,,0,,,,1,6,6.00,0,0,0,0.0,0,0
7,2008,2008-12-28,16,23.191,GNB,,DET,W 31-21,,,,,,,,,0,,,,,,,,,,,,
8,2009,2009-09-13,1,24.085,GNB,,CHI,W 21-15,,,,,,,,,0,,,,,,,,,,,,
9,2009,2009-09-20,2,24.092,GNB,,CIN,L 24-31,,,,,,,,,0,,,,,,,,,,,,
10,2009,2009-09-27,3,24.099,GNB,@,STL,W 36-17,,,,,,,,,0,,,,,,,,,,,,
11,2009,2009-10-05,4,24.107,GNB,@,MIN,L 23-30,,,,,,,,,0,,,,,,,,,,,,
12,2009,2009-10-18,5,24.120,GNB,,DET,W 26-0,,,,,,,,,0,,,,,,,,,,,,
13,2009,2009-10-25,6,24.127,GNB,@,CLE,W 31-3,,1,2,50.00,12,0,0,68.7,0,0,6.00,6.00,0,0,,0,0,0,0.0,0,0
14,2009,2009-11-01,7,24.134,GNB,,MIN,L 26-38,,1,1,100.00,3,0,0,79.2,0,0,3.00,3.00,0,0,,0,0,0,0.0,0,0
