ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2006,2006-09-11,1,22.149,SDG,@,OAK,W 27-0,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,
2,2006,2006-09-17,2,22.155,SDG,,TEN,W 40-7,,,,,,0,,,,,0.0%,,,,,,,,,,,,,,,,,
3,2006,2006-10-01,3,22.169,SDG,@,BAL,L 13-16,,0,0,,0,0,0,0,,0,0.0%,,1,16,16.00,0,0,0,,0,0,0,0.0,,,0,0,0
4,2006,2006-10-08,4,22.176,SDG,,PIT,W 23-13,,,,,,0,,,,,0.0%,,,,,,,,,,,,,,,,,
5,2006,2006-10-15,5,22.183,SDG,@,SFO,W 48-19,,,,,,0,,,,,0.0%,,,,,,,,,,,,,,,,,
6,2006,2006-10-22,6,22.190,SDG,@,KAN,L 27-30,,0,0,,0,0,0,0,,0,0.0%,,1,19,19.00,0,0,0,,0,0,0,0.0,,,0,0,0
7,2006,2006-10-29,7,22.197,SDG,,STL,W 38-24,,,,,,0,,,,,0.0%,,,,,,,,,,,,,,,,,
8,2006,2006-11-05,8,22.204,SDG,,CLE,W 32-25,,,,,,0,,,,,0.0%,,,,,,,,,,,,,,,,,
9,2006,2006-11-12,9,22.211,SDG,@,CIN,W 49-41,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,
10,2006,2006-11-19,10,22.218,SDG,@,DEN,W 35-27,,0,0,,0,0,0,0,,0,0.0%,,1,23,23.00,0,0,0,,0,0,0,0.0,,,0,0,0
11,2006,2006-11-26,11,22.225,SDG,,OAK,W 21-14,,0,0,,0,0,0,0,,0,0.0%,,3,130,43.33,0,0,0,,0,0,0,0.0,,,0,0,0
12,2006,2006-12-03,12,22.232,SDG,@,BUF,W 24-21,,0,0,,0,0,0,0,,0,0.0%,,1,24,24.00,0,0,0,,0,0,0,0.0,,,0,0,0
13,2006,2006-12-10,13,22.239,SDG,,DEN,W 48-20,,0,0,,0,0,0,0,,0,0.0%,,3,85,28.33,0,0,0,,0,0,0,0.0,,,0,0,0
14,2006,2006-12-17,14,22.246,SDG,,KAN,W 20-9,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,
15,2006,2006-12-24,15,22.253,SDG,@,SEA,W 20-17,,,,,,0,,,,,0.0%,,,,,,,,,,,,,,,,,
16,2006,2006-12-31,16,22.260,SDG,,ARI,W 27-20,,,,,,0,,,,,0.0%,,,,,,,,,,,,,,,,,
17,2007,2007-09-09,1,23.147,SDG,,CHI,W 14-3,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,
18,2007,2007-09-16,2,23.154,SDG,@,NWE,L 14-38,,,,,,0,,,,,0.0%,,,,,,,,,,,,,,,,,
19,2007,2007-09-23,3,23.161,SDG,@,GNB,L 24-31,,,,,,0,,,,,0.0%,,,,,,,,,,,,,,,,,
20,2007,2007-09-30,4,23.168,SDG,,KAN,L 16-30,,,,,,0,,,,,0.0%,,,,,,,,,,,,,,,,,
21,2007,2007-10-07,5,23.175,SDG,@,DEN,W 41-3,,,,,,0,,,,,0.0%,,,,,,,,,,,,,,,,,
22,2007,2007-10-14,6,23.182,SDG,,OAK,W 28-14,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,,1,0,0
