ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1962,1962-09-16,1,22.130,STL,@,PHI,W 27-21,2,12,6.00,0,0,0,,0,1,25,25.00,0,0,0,0,0,0
2,1962,1962-09-23,2,22.137,STL,@,GNB,L 0-17,0,0,,0,0,0,,0,1,25,25.00,0,0,0,0,0,0
3,1962,1962-09-30,3,22.144,STL,@,WAS,L 14-24,0,0,,0,0,0,,0,3,90,30.00,0,0,0,0,0,0
4,1962,1962-10-07,4,22.151,STL,,NYG,L 14-31,0,0,,0,0,0,,0,1,25,25.00,0,0,0,0,0,0
5,1962,1962-10-14,5,22.158,STL,,WAS,T 17-17,0,0,,0,0,0,,0,2,46,23.00,0,0,0,0,0,0
6,1962,1962-10-21,6,22.165,STL,,CLE,L 7-34,0,0,,0,0,0,,0,1,24,24.00,0,0,0,0,0,0
7,1962,1962-10-28,7,22.172,STL,@,DAL,W 28-24,0,0,,0,0,0,,0,2,77,38.50,0,0,0,0,0,0
8,1962,1962-11-04,8,22.179,STL,@,NYG,L 28-31,0,0,,0,0,0,,0,1,25,25.00,0,0,0,0,0,0
9,1962,1962-11-11,9,22.186,STL,,PIT,L 17-26,0,0,,0,0,0,,0,2,44,22.00,0,0,0,0,0,0
10,1962,1962-11-18,10,22.193,STL,@,CLE,L 14-38,0,0,,0,0,0,,0,2,48,24.00,0,0,0,0,0,0
11,1962,1962-12-02,12,22.207,STL,@,PIT,L 7-19,0,0,,0,0,0,,0,2,50,25.00,0,0,0,0,0,0
12,1962,1962-12-09,13,22.214,STL,,DAL,W 52-20,0,0,,0,0,0,,0,2,55,27.50,0,0,0,1,24,0
13,1962,1962-12-16,14,22.221,STL,,PHI,W 45-35,0,0,,0,0,0,,0,4,74,18.50,0,0,0,0,0,0
14,1963,1963-09-14,1,23.128,STL,@,DAL,W 34-7,12,82,6.83,0,2,51,25.50,0,0,0,,0,0,0,0,0,0
15,1963,1963-09-22,2,23.136,STL,@,PHI,W 28-24,10,44,4.40,1,3,17,5.67,0,0,0,,0,1,6,0,0,0
16,1963,1963-09-29,3,23.143,STL,@,PIT,L 10-23,12,73,6.08,1,4,38,9.50,0,1,18,18.00,0,1,6,0,0,0
17,1963,1963-10-06,4,23.150,STL,@,MIN,W 56-14,9,43,4.78,1,2,26,13.00,1,1,18,18.00,0,2,12,0,0,0
18,1963,1963-10-13,5,23.157,STL,,PIT,W 24-23,9,49,5.44,0,2,21,10.50,0,4,33,8.25,0,0,0,0,0,0
19,1963,1963-10-20,6,23.164,STL,,GNB,L 7-30,5,20,4.00,0,2,38,19.00,0,6,123,20.50,0,0,0,0,0,0
20,1963,1963-10-27,7,23.171,STL,@,WAS,W 21-7,8,28,3.50,0,3,45,15.00,0,0,0,,0,0,0,0,0,0
21,1963,1963-11-03,8,23.178,STL,,NYG,L 21-38,14,85,6.07,1,1,16,16.00,0,1,10,10.00,0,1,6,0,0,0
22,1963,1963-11-17,10,23.192,STL,@,CLE,W 20-14,6,9,1.50,0,7,64,9.14,1,0,0,,0,1,6,0,0,0
23,1963,1963-11-24,11,23.199,STL,@,NYG,W 24-17,19,59,3.11,1,0,0,,0,0,0,,0,1,6,0,0,0
24,1963,1963-12-01,12,23.206,STL,,CLE,L 10-24,16,102,6.38,0,0,0,,0,0,0,,0,0,0,0,0,0
25,1963,1963-12-08,13,23.213,STL,,PHI,W 38-14,4,7,1.75,0,2,27,13.50,0,0,0,,0,0,0,0,0,0
26,1963,1963-12-15,14,23.220,STL,,DAL,L 24-28,10,51,5.10,0,3,53,17.67,1,1,27,27.00,0,1,6,0,0,0
27,1965,1965-09-19,1,25.133,STL,@,PHI,L 27-34,6,16,2.67,0,4,42,10.50,0,0,0,,0,0,0,0,0,0
28,1965,1965-09-26,2,25.140,STL,@,CLE,W 49-13,8,22,2.75,1,0,0,,0,0,0,,0,1,6,0,0,0
29,1965,1965-10-04,3,25.148,STL,,DAL,W 20-13,22,93,4.23,1,1,13,13.00,0,0,0,,0,1,6,0,0,0
30,1965,1965-10-10,4,25.154,STL,@,WAS,W 37-16,11,33,3.00,1,2,14,7.00,0,0,0,,0,1,6,0,0,0
31,1965,1965-10-17,5,25.161,STL,@,PIT,W 20-7,9,-7,-0.78,0,0,0,,0,0,0,,0,0,0,0,0,0
32,1965,1965-10-24,6,25.168,STL,,WAS,L 20-24,11,27,2.45,1,4,60,15.00,0,0,0,,0,1,6,0,0,0
33,1965,1965-10-31,7,25.175,STL,@,NYG,L 10-14,23,176,7.65,1,1,8,8.00,0,0,0,,0,1,6,0,0,0
34,1965,1965-11-07,8,25.182,STL,,PIT,W 21-17,12,37,3.08,1,1,15,15.00,0,0,0,,0,1,6,0,0,0
35,1965,1965-11-14,9,25.189,STL,@,CHI,L 13-34,12,40,3.33,0,2,41,20.50,0,0,0,,0,0,0,0,0,0
36,1965,1965-11-21,10,25.196,STL,,NYG,L 15-28,10,23,2.30,0,1,8,8.00,0,0,0,,0,0,0,0,0,0
37,1965,1965-11-28,11,25.203,STL,,PHI,L 24-28,8,50,6.25,0,1,11,11.00,0,0,0,,0,0,0,0,0,0
38,1965,1965-12-05,12,25.210,STL,,RAM,L 3-27,9,34,3.78,0,5,40,8.00,0,0,0,,0,0,0,0,0,0
39,1965,1965-12-11,13,25.216,STL,@,DAL,L 13-27,17,23,1.35,0,1,-6,-6.00,0,0,0,,0,0,0,0,0,0
40,1965,1965-12-19,14,25.224,STL,,CLE,L 24-27,16,50,3.13,0,3,10,3.33,1,0,0,,0,1,6,0,0,0
41,1966,1966-09-11,1,26.125,STL,,PHI,W 16-13,7,15,2.14,0,1,11,11.00,0,0,0,,0,0,0,0,0,0
42,1966,1966-09-18,2,26.132,STL,,WAS,W 23-7,1,-1,-1.00,0,0,0,,0,0,0,,0,0,0,0,0,0
43,1966,1966-10-02,4,26.146,STL,@,PHI,W 41-10,1,0,0.00,0,0,0,,0,0,0,,0,0,0,0,0,0
44,1966,1966-11-13,10,26.188,STL,@,PIT,L 9-30,4,11,2.75,0,1,-5,-5.00,0,0,0,,0,0,0,0,0,0
45,1967,1967-09-17,1,27.131,NYG,@,STL,W 37-20,13,32,2.46,2,0,0,,0,0,0,,0,2,12,0,0,0
46,1967,1967-09-24,2,27.138,NYG,@,DAL,L 24-38,5,16,3.20,0,2,15,7.50,0,0,0,,0,0,0,0,0,0
47,1967,1967-10-15,5,27.159,NYG,@,PIT,W 27-24,3,11,3.67,0,0,0,,0,0,0,,0,0,0,0,0,0
48,1967,1967-10-22,6,27.166,NYG,,GNB,L 21-48,0,0,,0,0,0,,0,5,90,18.00,0,0,0,0,0,0
49,1967,1967-10-29,7,27.173,NYG,,CLE,W 38-34,0,0,,0,0,0,,0,2,49,24.50,0,0,0,0,0,0
50,1967,1967-11-05,8,27.180,NYG,@,MIN,L 24-27,6,29,4.83,0,1,3,3.00,0,0,0,,0,0,0,0,0,0
51,1967,1967-11-12,9,27.187,NYG,@,CHI,L 7-34,15,40,2.67,0,0,0,,0,0,0,,0,0,0,0,0,0
52,1967,1967-12-10,13,27.215,NYG,,DET,L 7-30,11,37,3.36,0,3,44,14.67,0,0,0,,0,0,0,0,0,0
53,1967,1967-12-17,14,27.222,NYG,,STL,W 37-14,5,6,1.20,0,1,7,7.00,0,0,0,,0,0,0,0,0,0
54,1968,1968-09-15,1,28.129,DET,@,DAL,L 13-59,7,13,1.86,0,4,-9,-2.25,0,0,0,,0,0,0,0,0,0
55,1968,1968-09-22,2,28.136,DET,,CHI,W 42-0,8,35,4.38,0,2,6,3.00,0,0,0,,0,0,0,0,0,0
56,1968,1968-09-29,3,28.143,DET,@,GNB,W 23-17,13,35,2.69,0,0,0,,0,0,0,,0,0,0,0,0,0
57,1968,1968-10-06,4,28.150,DET,@,MIN,L 10-24,9,34,3.78,0,3,16,5.33,0,0,0,,0,0,0,0,0,0
58,1968,1968-10-13,5,28.157,DET,@,CHI,W 28-10,10,27,2.70,0,1,5,5.00,0,0,0,,0,0,0,0,0,0
59,1968,1968-10-20,6,28.164,DET,,GNB,T 14-14,15,49,3.27,0,2,6,3.00,0,0,0,,0,0,0,0,0,0
60,1968,1968-10-27,7,28.171,DET,,SFO,L 7-14,5,13,2.60,0,2,8,4.00,0,0,0,,0,0,0,0,0,0
61,1968,1968-11-03,8,28.178,DET,@,RAM,L 7-10,11,33,3.00,0,2,19,9.50,0,0,0,,0,0,0,0,0,0
62,1968,1968-11-10,9,28.185,DET,,BAL,L 10-27,9,34,3.78,0,6,35,5.83,0,0,0,,0,0,0,0,0,0
63,1968,1968-11-17,10,28.192,DET,,MIN,L 6-13,5,17,3.40,0,0,0,,0,0,0,,0,0,0,0,0,0
64,1968,1968-12-08,13,28.213,DET,@,ATL,W 24-7,17,77,4.53,0,5,37,7.40,0,0,0,,0,0,0,0,0,0
65,1968,1968-12-15,14,28.220,DET,@,WAS,L 3-14,11,17,1.55,0,1,12,12.00,0,0,0,,0,0,0,0,0,0
66,1969,1969-09-21,1,29.135,DET,@,PIT,L 13-16,9,13,1.44,0,2,15,7.50,0,0,0,,0,0,0,0,0,0
67,1969,1969-11-02,7,29.177,DET,@,SFO,W 26-14,11,42,3.82,0,0,0,,0,0,0,,0,0,0,0,0,0
68,1969,1969-11-09,8,29.184,DET,,ATL,W 27-21,16,38,2.38,1,2,8,4.00,0,0,0,,0,1,6,0,0,0
69,1969,1969-11-16,9,29.191,DET,,STL,W 20-0,9,31,3.44,0,1,11,11.00,0,0,0,,0,0,0,0,0,0
70,1969,1969-11-23,10,29.198,DET,@,GNB,W 16-10,5,44,8.80,0,0,0,,0,0,0,,0,0,0,0,0,0
71,1969,1969-11-27,11,29.202,DET,,MIN,L 0-27,8,25,3.13,0,2,14,7.00,0,0,0,,0,0,0,0,0,0
72,1969,1969-12-07,12,29.212,DET,@,BAL,T 17-17,15,58,3.87,1,2,9,4.50,0,0,0,,0,1,6,0,0,0
73,1969,1969-12-14,13,29.219,DET,,RAM,W 28-0,24,83,3.46,0,2,67,33.50,1,0,0,,0,1,6,0,0,0
74,1969,1969-12-21,14,29.226,DET,@,CHI,W 20-3,14,43,3.07,1,2,17,8.50,0,0,0,,0,1,6,0,0,0
75,1970,1970-09-20,1,30.134,DET,@,GNB,W 40-0,7,30,4.29,1,0,0,,0,0,0,,0,1,6,0,0,0
76,1970,1970-09-27,2,30.141,DET,,CIN,W 38-3,9,41,4.56,0,0,0,,0,0,0,,0,0,0,0,0,0
77,1970,1970-10-05,3,30.149,DET,,CHI,W 28-14,4,20,5.00,0,0,0,,0,0,0,,0,0,0,0,0,0
78,1970,1970-10-11,4,30.155,DET,@,WAS,L 10-31,12,30,2.50,0,4,24,6.00,0,0,0,,0,0,0,0,0,0
79,1970,1970-10-18,5,30.162,DET,@,CLE,W 41-24,6,15,2.50,0,1,13,13.00,0,0,0,,0,0,0,0,0,0
80,1970,1970-10-25,6,30.169,DET,@,CHI,W 16-10,3,9,3.00,0,0,0,,0,0,0,,0,0,0,0,0,0
81,1970,1970-11-01,7,30.176,DET,,MIN,L 17-30,,,,,,,,,,,,,,,,,
82,1970,1970-11-08,8,30.183,DET,@,NOR,L 17-19,,,,,,,,,,,,,,,,,
83,1970,1970-11-15,9,30.190,DET,@,MIN,L 20-24,1,3,3.00,0,1,15,15.00,0,0,0,,0,0,0,0,0,0
84,1970,1970-11-22,10,30.197,DET,,SFO,W 28-7,,,,,,,,,,,,,,,,,
85,1970,1970-11-26,11,30.201,DET,,OAK,W 28-14,,,,,,,,,,,,,,,,,
86,1970,1970-12-06,12,30.211,DET,,STL,W 16-3,1,0,0.00,0,0,0,,0,0,0,,0,0,0,0,0,0
87,1970,1970-12-14,13,30.219,DET,@,RAM,W 28-23,,,,,,,,,,,,,,,,,
88,1970,1970-12-20,14,30.225,DET,,GNB,W 20-0,5,8,1.60,0,0,0,,0,0,0,,0,0,0,0,0,0
89,1971,1971-09-20,1,31.134,DET,,MIN,L 13-16,1,6,6.00,0,0,0,,0,0,0,,0,0,0,0,0,0
90,1971,1971-09-26,2,31.140,DET,@,NWE,W 34-7,2,-2,-1.00,0,0,0,,0,1,38,38.00,0,0,0,0,0,0
91,1971,1971-10-03,3,31.147,DET,,ATL,W 41-38,,,,,,,,,,,,,,,,,
92,1971,1971-10-10,4,31.154,DET,,GNB,W 31-28,1,0,0.00,0,0,0,,0,0,0,,0,0,0,0,0,0
