ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1988,1988-09-04,1,23.190,CLE,@,KAN,W 6-3,,,,,,,,,,,,,,,,,
2,1988,1988-09-11,2,23.197,CLE,,NYJ,L 3-23,,,,,,,,,,,,,,,,,
3,1988,1988-09-19,3,23.205,CLE,,IND,W 23-17,,,,,,,,,,,,,,,,,
4,1988,1988-09-25,4,23.211,CLE,@,CIN,L 17-24,,,,,,,,,,,,,,,,,
5,1988,1988-10-02,5,23.218,CLE,@,PIT,W 23-9,,,,,,,,,,,,,,,,,
6,1988,1988-10-09,6,23.225,CLE,,SEA,L 10-16,,,,,,,,,,,,,,,,,
7,1988,1988-10-16,7,23.232,CLE,,PHI,W 19-3,,,,,,,,,,,,,,,,,
8,1988,1988-10-23,8,23.239,CLE,@,PHO,W 29-21,,,,,,,,,,,,,,,,,
9,1988,1988-10-30,9,23.246,CLE,,CIN,W 23-16,,,,,,,,,,,,,,,,,
10,1988,1988-11-07,10,23.254,CLE,@,HOU,L 17-24,,,,,,,,,,,,,,,,,
11,1988,1988-11-13,11,23.260,CLE,@,DEN,L 7-30,,,,,,,,,,,,,,,,,
12,1988,1988-11-20,12,23.267,CLE,,PIT,W 27-7,,,,,,,,,,,,,,,,,
13,1988,1988-11-27,13,23.274,CLE,@,WAS,W 17-13,,,,,,,,,,,,,,,,,
14,1988,1988-12-04,14,23.281,CLE,,DAL,W 24-21,,,,,,,,,,,,,,,,,
15,1988,1988-12-12,15,23.289,CLE,@,MIA,L 31-38,,,,,,,,,,,,,,,,,
16,1988,1988-12-18,16,23.295,CLE,,HOU,W 28-23,,,,,,,,,,,,,,,,,
17,1989,1989-09-10,1,24.195,CLE,@,PIT,W 51-0,,0,0,,0,,,,,,,,,,,,
18,1989,1989-09-17,2,24.202,CLE,,NYJ,W 38-24,,0,0,,0,,,,,,,,,,,,
19,1989,1989-09-25,3,24.210,CLE,@,CIN,L 14-21,,0,0,,0,,,,,,,,,,,,
20,1989,1989-10-01,4,24.216,CLE,,DEN,W 16-13,,0,0,,0,,,,,,,,,,,,
21,1989,1989-10-08,5,24.223,CLE,@,MIA,L 10-13,,0,0,,0,,,,,,,,,,,,
22,1989,1989-10-15,6,24.230,CLE,,PIT,L 7-17,,0,0,,0,,,,,,,,,,,,
23,1989,1989-10-23,7,24.238,CLE,,CHI,W 27-7,,0,0,,0,,,,,,,,,,,,
24,1989,1989-10-29,8,24.244,CLE,,HOU,W 28-17,,0,0,,0,,,,,,,,,,,,
25,1989,1989-11-05,9,24.251,CLE,@,TAM,W 42-31,,0,0,,0,,,,,,,,,,,,
26,1989,1989-11-12,10,24.258,CLE,@,SEA,W 17-7,,0,0,,0,,,,,,,,,,,,
27,1989,1989-11-19,11,24.265,CLE,,KAN,T 10-10,,0,0,,0,,,,,,,,,,,,
28,1989,1989-11-23,12,24.269,CLE,@,DET,L 10-13,,0,0,,0,,,,,,,,,,,,
29,1989,1989-12-03,13,24.279,CLE,,CIN,L 0-21,,0,0,,0,,,,,,,,,,,,
30,1989,1989-12-10,14,24.286,CLE,@,IND,L 17-23,,0,0,,0,,,,,,,,,,,,
31,1989,1989-12-17,15,24.293,CLE,,MIN,W 23-17,,1,14,14.00,1,,,0,0,,0,1,6,0.0,0,0,0
32,1989,1989-12-23,16,24.299,CLE,@,HOU,W 24-20,,0,0,,0,,,,,,,,,,,,
33,1990,1990-09-09,1,25.194,CLE,,PIT,W 13-3,,,,,,,,0,0,,0,,,,,,
34,1990,1990-09-16,2,25.201,CLE,@,NYJ,L 21-24,,0,0,,0,,,1,0,0.00,0,0,0,0.0,0,0,0
35,1990,1990-09-23,3,25.208,CLE,,SDG,L 14-24,,,,,,,,0,0,,0,,,,,,
36,1990,1990-09-30,4,25.215,CLE,@,KAN,L 0-34,,,,,,,,0,0,,0,,,,,,
37,1990,1990-10-08,5,25.223,CLE,@,DEN,W 30-29,,,,,,,,0,0,,0,,,,,,
38,1990,1990-10-14,6,25.229,CLE,@,NOR,L 20-25,,,,,,,,0,0,,0,,,,,,
39,1990,1990-10-22,7,25.237,CLE,,CIN,L 13-34,,,,,,,,0,0,,0,,,,,,
40,1990,1990-10-28,8,25.243,CLE,@,SFO,L 17-20,,,,,,,,0,0,,0,,,,,,
41,1990,1990-11-04,9,25.250,CLE,,BUF,L 0-42,,,,,,,,0,0,,0,,,,,,
42,1990,1990-11-18,10,25.264,CLE,,HOU,L 23-35,,,,,,,,0,0,,0,,,,,,
43,1990,1990-11-25,11,25.271,CLE,,MIA,L 13-30,,,,,,,,0,0,,0,,,,,,
44,1990,1990-12-02,12,25.278,CLE,,RAM,L 23-38,,,,,,,,0,0,,0,,,,,,
45,1990,1990-12-09,13,25.285,CLE,@,HOU,L 14-58,,,,,,,,0,0,,0,,,,,,
46,1990,1990-12-16,14,25.292,CLE,,ATL,W 13-10,,,,,,,,0,0,,0,,,,,,
47,1990,1990-12-23,15,25.299,CLE,@,PIT,L 0-35,,0,0,,0,,,0,0,,0,0,0,0.5,0,0,0
48,1990,1990-12-30,16,25.306,CLE,@,CIN,L 14-21,,0,0,,0,,,0,0,,0,0,0,0.0,1,15,0
49,1991,1991-09-01,1,26.186,CLE,,DAL,L 14-26,,,,,,,,,,,,,,,,,
50,1991,1991-09-08,2,26.193,CLE,@,NWE,W 20-0,,,,,,,,,,,,,,,,,
51,1991,1991-09-15,3,26.200,CLE,,CIN,W 14-13,,,,,,,,,,,,,,,,,
52,1991,1991-09-22,4,26.207,CLE,@,NYG,L 10-13,,0,0,,0,,,0,0,,0,0,0,1.0,0,0,0
53,1991,1991-10-06,5,26.221,CLE,,NYJ,L 14-17,,,,,,,,,,,,,,,,,
54,1991,1991-10-13,6,26.228,CLE,@,WAS,L 17-42,,,,,,,,,,,,,,,,,
55,1991,1991-10-20,7,26.235,CLE,@,SDG,W 30-24,,,,,,,,,,,,,,,,,
56,1991,1991-10-27,8,26.242,CLE,,PIT,W 17-14,,,,,,,,,,,,,,,,,
57,1991,1991-11-03,9,26.249,CLE,@,CIN,L 21-23,,,,,,,,,,,,,,,,,
58,1991,1991-11-10,10,26.256,CLE,,PHI,L 30-32,,,,,,,,,,,,,,,,,
59,1991,1991-11-17,11,26.263,CLE,@,HOU,L 24-28,,,,,,,,,,,,,,,,,
60,1991,1991-11-24,12,26.270,CLE,,KAN,W 20-15,,,,,,,,,,,,,,,,,
61,1991,1991-12-01,13,26.277,CLE,@,IND,W 31-0,,,,,,,,,,,,,,,,,
62,1991,1991-12-08,14,26.284,CLE,,DEN,L 7-17,,,,,,,,,,,,,,,,,
63,1991,1991-12-15,15,26.291,CLE,,HOU,L 14-17,,,,,,,,,,,,,,,,,
64,1991,1991-12-22,16,26.298,CLE,@,PIT,L 10-17,,0,0,,0,,,0,0,,0,0,0,0.5,0,0,0
65,1992,1992-09-06,1,27.192,MIN,@,GNB,W 23-20,,,,,,0.0%,,,,,,,,,,,
66,1992,1992-09-13,2,27.199,MIN,@,DET,L 17-31,,,,,,0.0%,,,,,,,,,,,
67,1992,1992-09-20,3,27.206,MIN,,TAM,W 26-20,,,,,,0.0%,,,,,,,,,,,
68,1992,1992-09-27,4,27.213,MIN,@,CIN,W 42-7,,,,,,0.0%,,,,,,,,,,,
69,1992,1992-10-04,5,27.220,MIN,,CHI,W 21-20,,,,,,0.0%,,,,,,,,,,,
70,1992,1992-10-15,6,27.231,MIN,,DET,W 31-14,,,,,,0.0%,,,,,,,,,,,
71,1992,1992-10-25,7,27.241,MIN,,WAS,L 13-15,,,,,,0.0%,,,,,,,,,,,
72,1992,1992-11-02,8,27.249,MIN,@,CHI,W 38-10,,,,,,0.0%,,,,,,,,,,,
73,1992,1992-11-08,9,27.255,MIN,@,TAM,W 35-7,,,,,,0.0%,,,,,,,,,,,
74,1992,1992-11-15,10,27.262,MIN,,HOU,L 13-17,,,,,,0.0%,,,,,,,,,,,
75,1992,1992-11-22,11,27.269,MIN,,CLE,W 17-13,,,,,,0.0%,,,,,,,,,,,
76,1992,1992-11-29,12,27.276,MIN,@,RAM,W 31-17,,,,,,0.0%,,,,,,,,,,,
77,1992,1992-12-06,13,27.283,MIN,@,PHI,L 17-28,,,,,,0.0%,,,,,,,,,,,
78,1992,1992-12-13,14,27.290,MIN,,SFO,L 17-20,,,,,,0.0%,,,,,,,,,,,
79,1992,1992-12-20,15,27.297,MIN,@,PIT,W 6-3,,,,,,0.0%,,,,,,,,,,,
80,1992,1992-12-27,16,27.304,MIN,,GNB,W 27-7,,,,,,0.0%,,,,,,,,,,,
