ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,1998,1998-09-06,1,23.296,SDG,,BUF,W 16-14,,3,1,14,14.00,0,33.3%,4.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
2,1998,1998-09-13,2,23.303,SDG,@,TEN,W 13-7,,6,2,47,23.50,0,33.3%,7.83,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
3,1998,1998-09-20,3,23.310,SDG,@,KAN,L 7-23,,3,,,,,0.0%,,,,,,,,,,,,,,,,,,
4,1998,1998-09-27,4,23.317,SDG,,NYG,L 16-34,,2,,,,,0.0%,,,,,,,,,,,,,,,,,,
5,1998,1998-10-04,5,23.324,SDG,@,IND,L 12-17,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
6,1998,1998-10-11,6,23.331,SDG,@,OAK,L 6-7,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
7,1998,1998-10-18,7,23.338,SDG,,PHI,W 13-10,,4,1,11,11.00,0,25.0%,2.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
8,1998,1998-10-25,8,23.345,SDG,,SEA,L 20-27,,10,5,55,11.00,1,50.0%,5.50,0,0,,0,0,0,,0,0,0,,0,0,,,1,6
9,1998,1998-11-08,9,23.359,SDG,@,DEN,L 10-27,,3,,,,,0.0%,,,,,,,,,,,,,,,,,,
10,1998,1998-11-15,10,24.001,SDG,,BAL,W 14-13,,10,3,16,5.33,0,30.0%,1.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
11,1998,1998-11-22,11,24.008,SDG,,KAN,W 38-37,,9,3,44,14.67,0,33.3%,4.89,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
12,1998,1998-11-29,12,24.015,SDG,,DEN,L 16-31,,2,1,20,20.00,0,50.0%,10.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
13,1998,1998-12-06,13,24.022,SDG,@,WAS,L 20-24,,7,4,76,19.00,0,57.1%,10.86,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
14,1998,1998-12-13,14,24.029,SDG,@,SEA,L 17-38,,8,3,56,18.67,0,37.5%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
15,1998,1998-12-20,15,24.036,SDG,,OAK,L 10-17,,10,4,72,18.00,1,40.0%,7.20,0,0,,0,0,0,,0,0,0,,0,0,,,1,6
16,1998,1998-12-27,16,24.043,SDG,@,ARI,L 13-16,,8,3,39,13.00,0,37.5%,4.88,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
17,1999,1999-09-19,1,24.309,SDG,@,CIN,W 34-7,*,5,4,86,21.50,0,80.0%,17.20,0,0,,0,0,0,,0,0,0,,0,,,,0,0
18,1999,1999-09-26,2,24.316,SDG,,IND,L 19-27,*,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,0,0,,0,,,,0,0
19,1999,1999-10-03,3,24.323,SDG,,KAN,W 21-14,*,3,0,0,,0,0.0%,0.00,1,7,7.00,0,0,0,,0,0,0,,0,,,,0,0
20,1999,1999-10-10,4,24.330,SDG,@,DET,W 20-10,,1,,,,,0.0%,,,,,,,,,,,,,0,,,,,
21,1999,1999-10-17,5,24.337,SDG,,SEA,W 13-10,*,5,2,22,11.00,0,40.0%,4.40,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0
22,1999,1999-10-24,6,24.344,SDG,,GNB,L 3-31,*,9,6,42,7.00,0,66.7%,4.67,1,4,4.00,0,0,0,,0,0,0,,0,,,,0,0
23,1999,1999-10-31,7,24.351,SDG,@,KAN,L 0-34,*,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0
24,1999,1999-11-07,8,24.358,SDG,,DEN,L 17-33,*,8,5,41,8.20,0,62.5%,5.13,0,0,,0,0,0,,0,0,0,,0,,,,0,0
25,1999,1999-11-14,9,25.000,SDG,@,OAK,L 9-28,*,4,2,12,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0
26,1999,1999-11-21,10,25.007,SDG,,CHI,L 20-23,*,4,2,19,9.50,0,50.0%,4.75,0,0,,0,0,0,,0,0,0,,0,,,,0,0
27,1999,1999-11-28,11,25.014,SDG,@,MIN,L 27-35,*,7,5,64,12.80,0,71.4%,9.14,0,0,,0,0,0,,0,0,0,,0,,,,0,0
28,1999,1999-12-05,12,25.021,SDG,,CLE,W 23-10,*,3,2,18,9.00,0,66.7%,6.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0
29,1999,1999-12-12,13,25.028,SDG,@,SEA,W 19-16,*,6,1,7,7.00,0,16.7%,1.17,0,0,,0,0,0,,0,0,0,,0,,,,0,0
30,1999,1999-12-19,14,25.035,SDG,@,MIA,L 9-12,*,6,3,29,9.67,0,50.0%,4.83,0,0,,0,0,0,,0,0,0,,0,,,,0,0
31,1999,1999-12-26,15,25.042,SDG,,OAK,W 23-20,*,6,4,51,12.75,0,66.7%,8.50,0,0,,0,0,0,,0,0,0,,0,,,,0,0
32,1999,2000-01-02,16,25.049,SDG,@,DEN,W 12-6,*,4,2,20,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0
