ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1974,1974-09-15,1,25.006,WAS,@,NYG,W 13-10,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1974,1974-09-30,3,25.021,WAS,,DEN,W 30-3,,3,3,100.00,22,0,0,97.2,0,0,7.33,7.33,0,0,,0,0,0,,0,0,0,0,0,,0
3,1974,1974-10-20,6,25.041,WAS,,NYG,W 24-3,,0,0,,0,0,0,,0,0,,,0,0,,0,2,26,13.00,0,0,0,0,0,,0
4,1974,1974-10-27,7,25.048,WAS,@,STL,L 20-23,,0,0,,0,0,0,,0,0,,,0,0,,0,2,11,5.50,0,0,0,0,0,,0
5,1974,1974-11-17,10,25.069,WAS,,DAL,W 28-21,,0,0,,0,0,0,,0,0,,,1,3,3.00,1,1,5,5.00,0,1,6,0,0,,0
6,1974,1974-11-24,11,25.076,WAS,,PHI,W 26-7,,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,6.00,0,0,0,0,0,,0
7,1974,1974-11-28,12,25.080,WAS,@,DAL,L 23-24,,0,0,,0,0,0,,0,0,,,0,0,,0,2,15,7.50,0,0,0,0,0,,0
8,1974,1974-12-09,13,25.091,WAS,@,RAM,W 23-17,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,2,50,25.00,0,0,0,0,0,,0
9,1974,1974-12-15,14,25.097,WAS,,CHI,W 42-0,,6,7,85.71,123,1,0,158.3,0,0,17.57,20.43,2,9,4.50,0,5,44,8.80,0,0,0,0,0,,0
10,1975,1975-09-21,1,26.012,WAS,,NOR,W 41-3,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1975,1975-09-28,2,26.019,WAS,,NYG,W 49-13,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1975,1975-10-05,3,26.026,WAS,@,PHI,L 10-26,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1975,1975-10-13,4,26.034,WAS,,STL,W 27-17,,1,1,100.00,30,1,0,158.3,0,0,30.00,50.00,0,0,,0,0,0,,0,0,0,0,0,,0
14,1975,1975-10-19,5,26.040,WAS,@,HOU,L 10-13,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1975,1975-10-26,6,26.047,WAS,@,CLE,W 23-7,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1975,1975-11-02,7,26.054,WAS,,DAL,W 30-24,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1975,1975-11-09,8,26.061,WAS,@,NYG,W 21-13,,0,0,,0,0,0,,0,0,,,0,0,,0,1,2,2.00,0,0,0,0,0,,0
18,1975,1975-11-16,9,26.068,WAS,@,STL,L 17-20,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1975,1975-11-23,10,26.075,WAS,,OAK,L 23-26,,1,1,100.00,11,0,0,112.5,0,0,11.00,11.00,0,0,,0,0,0,,0,0,0,0,0,,0
20,1975,1975-11-30,11,26.082,WAS,,MIN,W 31-30,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1975,1975-12-07,12,26.089,WAS,@,ATL,W 30-27,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1975,1975-12-13,13,26.095,WAS,@,DAL,L 10-31,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1975,1975-12-21,14,26.103,WAS,,PHI,L 3-26,,8,20,40.00,55,0,3,8.3,0,0,2.75,-4.00,3,34,11.33,0,1,3,3.00,0,0,0,0,0,,0
24,1976,1976-09-12,1,27.003,WAS,,NYG,W 19-17,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,0,0,0,0,,0
25,1976,1976-09-19,2,27.010,WAS,,SEA,W 31-7,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1976,1976-09-27,3,27.018,WAS,@,PHI,W 20-17,,0,0,,0,0,0,,0,0,,,1,16,16.00,0,0,0,,0,0,0,0,0,,0
27,1976,1976-10-03,4,27.024,WAS,@,CHI,L 7-33,,6,15,40.00,60,1,3,34.7,0,0,4.00,-3.67,2,11,5.50,0,0,0,,0,0,0,0,0,,0
28,1976,1976-10-10,5,27.031,WAS,,KAN,L 30-33,*,20,37,54.05,270,2,2,73.0,0,0,7.30,5.95,5,38,7.60,1,0,0,,0,1,6,0,0,,0
29,1976,1976-10-17,6,27.038,WAS,,DET,W 20-7,*,9,20,45.00,129,1,1,62.3,0,0,6.45,5.20,1,6,6.00,0,0,0,,0,0,0,0,0,,0
30,1976,1976-10-25,7,27.046,WAS,,STL,W 20-10,*,5,12,41.67,50,0,0,54.2,0,0,4.17,4.17,3,11,3.67,0,0,0,,0,0,0,0,0,,0
31,1976,1976-10-31,8,27.052,WAS,,DAL,L 7-20,,3,8,37.50,23,1,1,45.8,0,0,2.88,-0.25,1,8,8.00,0,0,0,,0,0,0,0,0,,0
32,1976,1976-11-07,9,27.059,WAS,@,SFO,W 24-21,*,20,32,62.50,302,3,2,98.7,0,0,9.44,8.50,3,1,0.33,0,0,0,,0,0,0,0,0,,0
33,1976,1976-11-14,10,27.066,WAS,@,NYG,L 9-12,*,12,30,40.00,153,0,1,42.8,0,0,5.10,3.60,1,6,6.00,0,0,0,,0,0,0,0,0,,0
34,1976,1976-11-21,11,27.073,WAS,@,STL,W 16-10,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1976,1976-11-28,12,27.080,WAS,,PHI,W 24-0,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1976,1976-12-05,13,27.087,WAS,@,NYJ,W 37-16,,4,8,50.00,49,0,0,69.3,0,0,6.13,6.13,0,0,,0,0,0,,0,0,0,0,0,,0
37,1976,1976-12-12,14,27.094,WAS,@,DAL,W 27-14,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1977,1977-09-18,1,28.009,WAS,@,NYG,L 17-20,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1977,1977-09-25,2,28.016,WAS,,ATL,W 10-6,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1977,1977-10-02,3,28.023,WAS,,STL,W 24-14,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1977,1977-10-09,4,28.030,WAS,@,TAM,W 10-0,,0,0,,0,0,0,,0,0,,,1,5,5.00,0,0,0,,0,0,0,0,0,,0
42,1977,1977-10-16,5,28.037,WAS,@,DAL,L 16-34,,3,10,30.00,19,1,1,33.3,0,0,1.90,-0.60,2,5,2.50,0,0,0,,0,0,0,0,0,,0
