ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,2002,2002-11-03,8,23.159,OAK,,SFO,L 20-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,3,68,22.67,0,0,0
2,2003,2003-09-07,1,24.102,OAK,@,TEN,L 20-25,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
3,2003,2003-09-14,2,24.109,OAK,,CIN,W 23-20,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
4,2003,2003-09-22,3,24.117,OAK,@,DEN,L 10-31,*,4,2,20,10.00,0,50.0%,5.00,1,0,0.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
5,2003,2003-09-28,4,24.123,OAK,,SDG,W 34-31,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
6,2003,2003-10-05,5,24.130,OAK,@,CHI,L 21-24,,4,2,10,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
7,2003,2003-10-12,6,24.137,OAK,@,CLE,L 7-13,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
8,2003,2003-10-20,7,24.145,OAK,,KAN,L 10-17,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
9,2003,2003-11-02,8,24.158,OAK,@,DET,L 13-23,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
10,2003,2003-11-09,9,24.165,OAK,,NYJ,L 24-27,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
11,2003,2003-11-16,10,24.172,OAK,,MIN,W 28-18,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
12,2003,2003-11-23,11,24.179,OAK,@,KAN,L 24-27,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
13,2003,2003-11-30,12,24.186,OAK,,DEN,L 8-22,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
14,2003,2003-12-07,13,24.193,OAK,@,PIT,L 7-27,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
15,2003,2003-12-14,14,24.200,OAK,,BAL,W 20-12,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
16,2003,2003-12-22,15,24.208,OAK,,GNB,L 7-41,,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
17,2003,2003-12-28,16,24.214,OAK,@,SDG,L 14-21,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
18,2004,2004-09-12,1,25.107,OAK,@,PIT,L 21-24,,4,1,12,12.00,0,25.0%,3.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
19,2004,2004-09-19,2,25.114,OAK,,BUF,W 13-10,,6,5,89,17.80,1,83.3%,14.83,0,0,,0,0,0,,0,0,0,,,,,,1,10,10.00,0,1,6
