ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,sacks,tackles_solo,tackles_assists
1,2016,2016-10-02,4,26.345,ARI,,LAR,L 13-17,,0,0,0,,0,0.0%,,0.0,0,0
2,2016,2016-10-06,5,26.349,ARI,@,SFO,W 33-21,,0,0,0,,0,0.0%,,0.0,0,0
3,2016,2016-10-17,6,26.360,ARI,,NYJ,W 28-3,,1,0,0,,0,0.0%,0.00,0.0,0,0
4,2016,2016-10-23,7,27.000,ARI,,SEA,T 6-6,,2,2,50,25.00,0,100.0%,25.00,0.0,0,0
5,2016,2016-10-30,8,27.007,ARI,@,CAR,L 20-30,*,1,0,0,,0,0.0%,0.00,0.0,0,0
6,2017,2017-09-10,1,27.322,ARI,@,DET,L 23-35,,0,0,0,,0,0.0%,,0.0,1,0
7,2017,2017-09-17,2,27.329,ARI,@,IND,W 16-13,,2,1,46,46.00,0,50.0%,23.00,0.0,0,0
8,2017,2017-09-25,3,27.337,ARI,,DAL,L 17-28,,0,0,0,,0,0.0%,,0.0,0,0
9,2017,2017-10-01,4,27.343,ARI,,SFO,W 18-15,,0,0,0,,0,0.0%,,0.0,0,0
10,2017,2017-10-08,5,27.350,ARI,@,PHI,L 7-34,*,0,0,0,,0,0.0%,,0.0,0,0
11,2017,2017-10-15,6,27.357,ARI,,TAM,W 38-33,,0,0,0,,0,0.0%,,0.0,0,0
12,2017,2017-10-22,7,27.364,ARI,@,LAR,L 0-33,,0,0,0,,0,0.0%,,0.0,0,0
13,2017,2017-11-05,8,28.013,ARI,@,SFO,W 20-10,,0,0,0,,0,0.0%,,0.0,0,0
14,2017,2017-11-09,9,28.017,ARI,,SEA,L 16-22,*,0,0,0,,0,0.0%,,0.0,0,0
