ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists
1,2008,2008-10-26,7,26.194,DET,,WAS,L 17-25,,1,,,,,0.0%,,,,,,,,
2,2008,2008-11-02,8,26.201,DET,@,CHI,L 23-27,,1,,,,,0.0%,,,,,,,,
3,2008,2008-11-16,10,26.215,DET,@,CAR,L 22-31,,5,2,48,24.00,0,40.0%,9.60,0,0,,0,0.0,0,0
4,2008,2008-11-23,11,26.222,DET,,TAM,L 20-38,,3,1,18,18.00,0,33.3%,6.00,0,0,,0,0.0,0,0
5,2008,2008-11-27,12,26.226,DET,,TEN,L 10-47,,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0.0,0,0
6,2008,2008-12-07,13,26.236,DET,,MIN,L 16-20,*,5,1,5,5.00,0,20.0%,1.00,0,0,,0,0.0,0,0
7,2008,2008-12-14,14,26.243,DET,@,IND,L 21-31,*,4,4,36,9.00,0,100.0%,9.00,1,1,1.00,0,0.0,0,0
8,2008,2008-12-21,15,26.250,DET,,NOR,L 7-42,*,8,3,46,15.33,0,37.5%,5.75,0,0,,0,0.0,1,0
9,2008,2008-12-28,16,26.257,DET,@,GNB,L 21-31,*,5,3,82,27.33,0,60.0%,16.40,0,0,,0,0.0,0,0
10,2009,2009-10-18,6,27.186,DET,@,GNB,L 0-26,,3,1,5,5.00,0,33.3%,1.67,0,0,,0,0.0,0,0
11,2009,2009-11-01,7,27.200,DET,,STL,L 10-17,,,,,,,0.0%,,,,,,,,
