ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
1,1954,1954-09-26,1,22.267,CRD,,NYG,L 10-41,2,11,5.50,0,0,
2,1954,1954-12-05,11,22.337,GNB,@,SFO,L 0-35,2,27,13.50,0,0,
3,1954,1954-12-12,12,22.344,GNB,@,RAM,L 27-35,1,10,10.00,0,0,
4,1955,1955-09-25,1,23.266,GNB,,DET,W 20-17,3,45,15.00,1,1,
5,1955,1955-10-02,2,23.273,GNB,,CHI,W 24-3,6,98,16.33,1,1,
6,1955,1955-10-08,3,23.279,GNB,,BAL,L 20-24,3,35,11.67,0,0,
7,1955,1955-10-16,4,23.287,GNB,,RAM,W 30-28,6,72,12.00,1,1,
8,1955,1955-10-29,6,23.300,GNB,@,BAL,L 10-14,2,52,26.00,0,0,
9,1955,1955-11-06,7,23.308,GNB,@,CHI,L 31-52,6,91,15.17,0,0,
10,1955,1955-11-13,8,23.315,GNB,,CRD,W 31-14,2,31,15.50,1,1,
11,1955,1955-11-20,9,23.322,GNB,,SFO,W 27-21,3,52,17.33,1,1,
12,1955,1955-11-24,10,23.326,GNB,@,DET,L 10-24,4,81,20.25,1,1,
13,1955,1955-12-04,11,23.336,GNB,@,SFO,W 28-7,1,11,11.00,0,0,
14,1955,1955-12-11,12,23.343,GNB,@,RAM,L 17-31,4,45,11.25,2,2,
15,1956,1956-09-30,1,24.272,GNB,,DET,L 16-20,1,5,5.00,1,1,
16,1956,1956-10-07,2,24.279,GNB,,CHI,L 21-37,1,8,8.00,0,0,
17,1956,1956-10-14,3,24.286,GNB,,BAL,W 38-33,5,87,17.40,2,2,
18,1956,1956-10-21,4,24.293,GNB,,RAM,W 42-17,5,48,9.60,2,2,
19,1956,1956-10-28,5,24.300,GNB,@,BAL,L 21-28,3,42,14.00,0,0,
20,1956,1956-11-04,6,24.307,GNB,,CLE,L 7-24,1,19,19.00,0,0,
21,1956,1956-11-11,7,24.314,GNB,@,CHI,L 14-38,1,23,23.00,1,1,
22,1956,1956-11-18,8,24.321,GNB,,SFO,L 16-17,3,48,16.00,0,0,
23,1956,1956-11-22,9,24.325,GNB,@,DET,W 24-20,5,52,10.40,0,0,
24,1956,1956-12-02,10,24.335,GNB,@,CRD,W 24-21,1,38,38.00,0,0,
25,1956,1956-12-08,11,24.341,GNB,@,SFO,L 20-38,1,6,6.00,0,0,
26,1956,1956-12-16,12,24.349,GNB,@,RAM,L 21-49,3,42,14.00,0,0,
27,1957,1957-09-29,1,25.270,GNB,,CHI,W 21-17,4,70,17.50,1,1,
28,1957,1957-10-06,2,25.277,GNB,,DET,L 14-24,1,12,12.00,0,0,
29,1957,1957-10-13,3,25.284,GNB,,BAL,L 17-45,4,82,20.50,1,1,
30,1958,1958-09-28,1,26.269,GNB,,CHI,L 20-34,2,28,14.00,0,0,
31,1958,1958-10-05,2,26.276,GNB,,DET,T 13-13,2,16,8.00,0,0,
32,1958,1958-10-12,3,26.283,GNB,,BAL,L 17-24,1,9,9.00,0,0,
33,1958,1958-10-19,4,26.290,GNB,@,WAS,L 21-37,1,40,40.00,0,0,
34,1958,1958-10-26,5,26.297,GNB,,PHI,W 38-35,2,25,12.50,1,1,
35,1959,1959-09-27,1,27.268,GNB,,CHI,W 9-6,1,20,20.00,0,0,
36,1959,1959-10-04,2,27.275,GNB,,DET,W 28-10,2,26,13.00,1,1,
37,1959,1959-10-11,3,27.282,GNB,,SFO,W 21-20,3,48,16.00,1,1,
38,1959,1959-10-18,4,27.289,GNB,,RAM,L 6-45,3,40,13.33,0,0,
39,1959,1959-10-25,5,27.296,GNB,@,BAL,L 21-38,5,69,13.80,0,0,
40,1959,1959-11-01,6,27.303,GNB,@,NYG,L 3-20,1,18,18.00,0,0,
41,1959,1959-11-08,7,27.310,GNB,@,CHI,L 17-28,1,5,5.00,0,0,
42,1959,1959-11-22,9,27.324,GNB,,WAS,W 21-0,3,20,6.67,1,1,
43,1959,1959-11-26,10,27.328,GNB,@,DET,W 24-17,2,29,14.50,0,0,
44,1959,1959-12-06,11,27.338,GNB,@,RAM,W 38-20,1,38,38.00,0,0,
45,1959,1959-12-13,12,27.345,GNB,@,SFO,W 36-14,5,71,14.20,1,1,
46,1960,1960-09-25,1,28.267,GNB,,CHI,L 14-17,1,9,9.00,0,0,0
47,1960,1960-10-30,5,28.302,GNB,@,PIT,W 19-13,2,26,13.00,0,0,0
48,1960,1960-11-06,6,28.309,GNB,@,BAL,L 24-38,5,58,11.60,0,0,0
49,1960,1960-11-13,7,28.316,GNB,,DAL,W 41-7,2,21,10.50,0,0,0
50,1960,1960-11-20,8,28.323,GNB,,RAM,L 31-33,2,31,15.50,0,0,0
51,1960,1960-12-04,10,28.337,GNB,@,CHI,W 41-13,1,7,7.00,0,0,0
52,1960,1960-12-17,12,28.350,GNB,@,RAM,W 35-21,1,12,12.00,0,0,0
53,1961,1961-09-17,1,29.258,GNB,,DET,L 13-17,1,11,11.00,0,0,0
54,1961,1961-11-05,8,29.307,GNB,@,BAL,L 21-45,1,8,8.00,0,0,0
55,1961,1961-12-17,14,29.349,GNB,@,RAM,W 24-17,1,13,13.00,0,0,0
56,1963,1963-10-06,4,31.277,SFO,@,DET,L 3-26,1,9,9.00,0,0,0
57,1963,1963-10-13,5,31.284,SFO,@,BAL,L 3-20,4,58,14.50,0,0,0
58,1963,1963-10-20,6,31.291,SFO,,CHI,W 20-14,4,35,8.75,1,1,6
59,1963,1963-10-27,7,31.298,SFO,@,RAM,L 21-28,2,57,28.50,1,1,6
60,1963,1963-11-17,10,31.319,SFO,@,NYG,L 14-48,2,16,8.00,0,0,0
61,1963,1963-11-24,11,31.326,SFO,@,GNB,L 10-28,2,15,7.50,0,0,0
