ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,2016,2016-10-09,5,21.216,LAR,,BUF,L 19-30,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,1,23,23.00,0,0,0,,0,0,0
2,2016,2016-11-06,8,21.244,LAR,,CAR,L 10-13,,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
3,2016,2016-11-13,9,21.251,LAR,@,NYJ,W 9-6,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
4,2016,2016-11-20,10,21.258,LAR,,MIA,L 10-14,,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,-3,-3.00,0,0,0
5,2016,2016-11-27,11,21.265,LAR,@,NOR,L 21-49,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
6,2016,2016-12-04,12,21.272,LAR,@,NWE,L 10-26,*,4,1,8,8.00,0,25.0%,2.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,8,2.00,0,0,0
7,2016,2016-12-11,13,21.279,LAR,,ATL,L 14-42,,3,3,22,7.33,0,100.0%,7.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
8,2016,2016-12-15,14,21.283,LAR,@,SEA,L 3-24,*,3,3,21,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,5,98,19.60,0,0,0,,0,0,0
9,2016,2016-12-24,15,21.292,LAR,,SFO,L 21-22,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,4,129,32.25,0,0,0,,0,0,0
10,2016,2017-01-01,16,21.300,LAR,,ARI,L 6-44,*,6,4,36,9.00,0,66.7%,6.00,0,0,,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,4,73,18.25,0,0,0,,0,0,0
11,2017,2017-09-10,1,22.187,LAR,,IND,W 46-9,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,1,35,35.00,0,0,0,,0,0,0
12,2017,2017-09-17,2,22.194,LAR,,WAS,L 20-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,3,59,19.67,0,0,0,,0,0,0
13,2017,2017-09-21,3,22.198,LAR,@,SFO,W 41-39,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,0,,0,0,,,3,83,27.67,0,0,0,,0,0,0
14,2017,2017-10-01,4,22.208,LAR,@,DAL,W 35-30,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,4,123,30.75,0,0,0,,0,0,0
15,2017,2017-10-08,5,22.215,LAR,,SEA,L 10-16,,4,2,22,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,0,,0,0,,,2,52,26.00,0,0,0,,0,0,0
16,2017,2017-10-15,6,22.222,LAR,@,JAX,W 27-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,2,124,62.00,1,3,17,5.67,0,1,6
17,2017,2017-10-22,7,22.229,LAR,,ARI,W 33-0,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,1,18,18.00,0,3,30,10.00,0,0,0
18,2017,2017-11-05,8,22.243,LAR,@,NYG,W 51-17,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,55,18.33,0,0,0
19,2017,2017-11-12,9,22.250,LAR,,HOU,W 33-7,,2,2,12,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0,,0,0,,,2,49,24.50,0,3,32,10.67,0,0,0
20,2017,2017-11-19,10,22.257,LAR,@,MIN,L 7-24,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,2,60,30.00,0,2,12,6.00,0,0,0
21,2017,2017-11-26,11,22.264,LAR,,NOR,W 26-20,,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,0,0,,0,0,,,4,110,27.50,0,3,59,19.67,0,0,0
22,2017,2017-12-03,12,22.271,LAR,@,ARI,W 32-16,,1,1,-3,-3.00,0,100.0%,-3.00,1,6,6.00,0,0,0,,0,0,0,,0,0,,,2,34,17.00,0,4,60,15.00,0,0,0
23,2017,2017-12-10,13,22.278,LAR,,PHI,L 35-43,,2,1,1,1.00,0,50.0%,0.50,0,0,,0,0,0,,0,0,0,,0,0,,,2,46,23.00,0,1,-3,-3.00,0,0,0
24,2017,2017-12-17,14,22.285,LAR,@,SEA,W 42-7,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,2,52,26.00,0,7,128,18.29,0,0,0
25,2017,2017-12-24,15,22.292,LAR,@,TEN,W 27-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,4,87,21.75,0,1,3,3.00,0,0,0
26,2017,2017-12-31,16,22.299,LAR,,SFO,L 13-34,*,4,2,30,15.00,0,50.0%,7.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,6,3.00,0,0,0
27,2018,2018-09-10,1,23.187,LAR,@,OAK,W 33-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,3,75,25.00,0,2,12,6.00,0,0,0
