ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,2013,2013-09-15,2,22.098,IND,,MIA,L 20-24,,0,0,,0,0,0,0,,0,0.0%,,1,28,28.00,0,0,0,,0,0,0
2,2014,2014-11-09,9,23.153,ARI,,STL,W 31-14,,,,,,,,,,,0.0%,,,,,,,,,,,
3,2014,2014-12-07,13,23.181,ARI,,KAN,W 17-14,,19,100,5.26,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
4,2014,2014-12-11,14,23.185,ARI,@,STL,W 12-6,,15,75,5.00,0,5,2,11,5.50,0,40.0%,2.20,0,0,,0,0,0,,0,0,0
5,2014,2014-12-21,15,23.195,ARI,,SEA,L 6-35,,2,4,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
6,2014,2014-12-28,16,23.202,ARI,@,SFO,L 17-20,,17,67,3.94,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0
7,2015,2015-09-20,2,24.103,ARI,@,CHI,W 48-23,,1,3,3.00,0,0,0,0,,0,0.0%,,1,9,9.00,0,0,0,,0,0,0
8,2015,2015-12-06,12,24.180,ARI,@,STL,W 27-3,,6,59,9.83,1,0,0,0,,0,0.0%,,1,0,0.00,0,0,0,,0,1,6
9,2015,2015-12-10,13,24.184,ARI,,MIN,W 23-20,,6,2,0.33,0,0,0,0,,0,0.0%,,1,23,23.00,0,0,0,,0,0,0
10,2015,2015-12-20,14,24.194,ARI,@,PHI,W 40-17,,6,34,5.67,0,1,1,12,12.00,0,100.0%,12.00,3,62,20.67,0,0,0,,0,0,0
11,2015,2015-12-27,15,24.201,ARI,,GNB,W 38-8,,8,44,5.50,0,1,1,4,4.00,0,100.0%,4.00,1,15,15.00,0,0,0,,0,0,0
12,2015,2016-01-03,16,24.208,ARI,,SEA,L 6-36,,0,0,,0,0,0,0,,0,0.0%,,1,17,17.00,0,0,0,,0,0,0
13,2016,2016-10-23,7,25.136,ARI,,SEA,T 6-6,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
14,2016,2016-10-30,8,25.143,ARI,@,CAR,L 20-30,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
15,2016,2016-11-13,9,25.157,ARI,,SFO,W 23-20,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
16,2016,2016-11-20,10,25.164,ARI,@,MIN,L 24-30,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
17,2016,2016-11-27,11,25.171,ARI,@,ATL,L 19-38,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
18,2016,2016-12-04,12,25.178,ARI,,WAS,W 31-23,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
19,2016,2016-12-11,13,25.185,ARI,@,MIA,L 23-26,,3,34,11.33,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
20,2016,2016-12-18,14,25.192,ARI,,NOR,L 41-48,,3,63,21.00,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,6
21,2016,2016-12-24,15,25.198,ARI,@,SEA,W 34-31,,0,0,,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0
22,2016,2017-01-01,16,25.206,ARI,@,LAR,W 44-6,,12,60,5.00,1,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,1,6
23,2017,2017-09-10,1,26.093,ARI,@,DET,L 23-35,,5,10,2.00,1,1,1,2,2.00,0,100.0%,2.00,2,46,23.00,0,1,0,0.00,0,1,6
24,2017,2017-09-17,2,26.100,ARI,@,IND,W 16-13,*,9,22,2.44,0,0,0,0,,0,0.0%,,2,35,17.50,0,1,6,6.00,0,0,0
25,2017,2017-09-25,3,26.108,ARI,,DAL,L 17-28,,1,3,3.00,0,0,0,0,,0,0.0%,,2,40,20.00,0,1,4,4.00,0,0,0
26,2017,2017-10-01,4,26.114,ARI,,SFO,W 18-15,,1,-1,-1.00,0,1,1,10,10.00,0,100.0%,10.00,0,0,,0,3,7,2.33,0,0,0
27,2017,2017-10-08,5,26.121,ARI,@,PHI,L 7-34,,3,-2,-0.67,0,0,0,0,,0,0.0%,,4,74,18.50,0,1,7,7.00,0,0,0
28,2017,2017-10-15,6,26.128,ARI,,TAM,W 38-33,,3,14,4.67,0,0,0,0,,0,0.0%,,1,28,28.00,0,0,0,,0,0,0
29,2017,2017-10-22,7,26.135,ARI,@,LAR,L 0-33,,0,0,,0,4,2,27,13.50,0,50.0%,6.75,2,46,23.00,0,1,9,9.00,0,0,0
30,2017,2017-11-05,8,26.149,ARI,@,SFO,W 20-10,,2,6,3.00,0,0,0,0,,0,0.0%,,1,23,23.00,0,3,14,4.67,0,0,0
31,2017,2017-11-09,9,26.153,ARI,,SEA,L 16-22,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,6,61,10.17,0,0,0
32,2017,2017-11-19,10,26.163,ARI,@,HOU,L 21-31,,1,9,9.00,0,2,1,9,9.00,0,50.0%,4.50,2,34,17.00,0,2,7,3.50,0,0,0
33,2017,2017-11-26,11,26.170,ARI,,JAX,W 27-24,,3,8,2.67,0,1,1,10,10.00,0,100.0%,10.00,0,0,,0,2,22,11.00,0,0,0
34,2017,2017-12-03,12,26.177,ARI,,LAR,L 16-32,*,16,97,6.06,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
35,2017,2017-12-10,13,26.184,ARI,,TEN,W 12-7,*,20,73,3.65,0,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,,0,0,0
36,2017,2017-12-17,14,26.191,ARI,@,WAS,L 15-20,*,17,61,3.59,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0
37,2017,2017-12-24,15,26.198,ARI,,NYG,W 23-0,*,16,51,3.19,0,3,2,14,7.00,0,66.7%,4.67,0,0,,0,0,0,,0,0,0
38,2017,2017-12-31,16,26.205,ARI,@,SEA,W 26-24,*,23,75,3.26,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0
