ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,1994,1994-09-18,3,22.104,NYG,,WAS,W 31-23,,2,7,3.50,0,0,0,0,,0,0.0%,
2,1994,1994-10-02,4,22.118,NYG,@,NOR,L 22-27,,0,0,,0,,0,0,,0,0.0%,
3,1994,1994-10-10,5,22.126,NYG,,MIN,L 10-27,,0,0,,0,2,1,10,10.00,0,50.0%,5.00
4,1994,1994-10-16,6,22.132,NYG,@,RAM,L 10-17,,2,4,2.00,0,0,0,0,,0,0.0%,
5,1994,1994-10-23,7,22.139,NYG,,PIT,L 6-10,,0,0,,0,0,0,0,,0,0.0%,
6,1994,1994-10-30,8,22.146,NYG,,DET,L 25-28,,3,8,2.67,0,1,1,5,5.00,0,100.0%,5.00
7,1994,1994-11-07,9,22.154,NYG,@,DAL,L 10-38,,7,28,4.00,0,0,0,0,,0,0.0%,
8,1994,1994-11-13,10,22.160,NYG,,ARI,L 9-10,,0,0,,0,1,0,0,,0,0.0%,0.00
9,1994,1994-11-21,11,22.168,NYG,@,HOU,W 13-10,,0,0,,0,,0,0,,0,0.0%,
10,1994,1994-11-27,12,22.174,NYG,@,WAS,W 21-19,,0,0,,0,,0,0,,0,0.0%,
11,1994,1994-12-04,13,22.181,NYG,@,CLE,W 16-13,,0,0,,0,,0,0,,0,0.0%,
12,1994,1994-12-11,14,22.188,NYG,,CIN,W 27-20,,1,4,4.00,0,0,0,0,,0,0.0%,
13,1994,1994-12-18,15,22.195,NYG,@,PHI,W 16-13,,0,0,,0,0,0,0,,0,0.0%,
14,1994,1994-12-24,16,22.201,NYG,,DAL,W 15-10,,0,0,,0,,0,0,,0,0.0%,
15,1995,1995-12-17,15,23.194,DEN,@,KAN,L 17-20,,,,,,,,,,,0.0%,
16,1995,1995-12-24,16,23.201,DEN,@,OAK,W 31-28,,,,,,,,,,,0.0%,
17,1996,1996-11-10,10,24.157,NYG,@,CAR,L 17-27,,0,0,,0,,0,0,,0,0.0%,
18,1996,1996-11-24,12,24.171,NYG,,DAL,W 20-6,,0,0,,0,2,1,5,5.00,0,50.0%,2.50
19,1996,1996-12-01,13,24.178,NYG,@,PHI,L 0-24,,0,0,,0,,0,0,,0,0.0%,
20,1996,1996-12-08,14,24.185,NYG,@,MIA,W 17-7,,0,0,,0,,0,0,,0,0.0%,
21,1996,1996-12-15,15,24.192,NYG,,NOR,L 3-17,,7,42,6.00,0,2,2,15,7.50,0,100.0%,7.50
22,1996,1996-12-21,16,24.198,NYG,,NWE,L 22-23,,22,52,2.36,0,1,0,0,,0,0.0%,0.00
23,1997,1997-08-31,1,25.086,ATL,@,DET,L 17-28,,,,,,,,,,,0.0%,
24,1997,1997-09-07,2,25.093,ATL,,CAR,L 6-9,,,,,,,,,,,0.0%,
25,1997,1997-09-14,3,25.100,ATL,,OAK,L 31-36,,,,,,,,,,,0.0%,
26,1997,1997-09-21,4,25.107,ATL,@,SFO,L 7-34,,,,,,,,,,,0.0%,
27,1997,1997-09-28,5,25.114,ATL,,DEN,L 21-29,,,,,,,,,,,0.0%,
28,1997,1997-10-12,6,25.128,ATL,@,NOR,W 23-17,,,,,,,,,,,0.0%,
29,1997,1997-10-19,7,25.135,ATL,,SFO,L 28-35,,,,,,,,,,,0.0%,
30,1997,1997-10-26,8,25.142,ATL,@,CAR,L 12-21,,,,,,,,,,,0.0%,
31,1997,1997-11-02,9,25.149,ATL,,STL,W 34-31,,,,,,,,,,,0.0%,
32,1997,1997-11-09,10,25.156,ATL,,TAM,L 10-31,,,,,,,,,,,0.0%,
33,1997,1997-11-16,11,25.163,ATL,@,STL,W 27-21,,,,,,,,,,,0.0%,
34,1997,1997-11-23,12,25.170,ATL,,NOR,W 20-3,,,,,,,,,,,0.0%,
35,1997,1997-11-30,13,25.177,ATL,@,SEA,W 24-17,,,,,,,,,,,0.0%,
36,1997,1997-12-07,14,25.184,ATL,@,SDG,W 14-3,,,,,,,,,,,0.0%,
37,1997,1997-12-14,15,25.191,ATL,,PHI,W 20-17,,,,,,,,,,,0.0%,
38,1997,1997-12-21,16,25.198,ATL,@,ARI,L 26-29,,,,,,,,,,,0.0%,
39,1998,1998-09-06,1,26.092,ATL,@,CAR,W 19-14,,,,,,,,,,,0.0%,
40,1998,1998-09-13,2,26.099,ATL,,PHI,W 17-12,,,,,,,,,,,0.0%,
41,1998,1998-09-27,3,26.113,ATL,@,SFO,L 20-31,,0,0,,0,3,2,20,10.00,0,66.7%,6.67
42,1998,1998-10-04,4,26.120,ATL,,CAR,W 51-23,,0,0,,0,2,2,11,5.50,0,100.0%,5.50
43,1998,1998-10-11,5,26.127,ATL,@,NYG,W 34-20,,,,,,1,,,,,0.0%,
44,1998,1998-10-18,6,26.134,ATL,,NOR,W 31-23,,,,,,,,,,,0.0%,
45,1998,1998-10-25,7,26.141,ATL,@,NYJ,L 3-28,,,,,,,,,,,0.0%,
46,1998,1998-11-01,8,26.148,ATL,,STL,W 37-15,,,,,,,,,,,0.0%,
47,1998,1998-11-08,9,26.155,ATL,@,NWE,W 41-10,,,,,,,,,,,0.0%,
48,1998,1998-11-15,10,26.162,ATL,,SFO,W 31-19,,,,,,,,,,,0.0%,
49,1998,1998-11-22,11,26.169,ATL,,CHI,W 20-13,,,,,,,,,,,0.0%,
50,1998,1998-11-29,12,26.176,ATL,@,STL,W 21-10,,1,4,4.00,0,0,0,0,,0,0.0%,
51,1998,1998-12-06,13,26.183,ATL,,IND,W 28-21,,,,,,,,,,,0.0%,
52,1998,1998-12-13,14,26.190,ATL,@,NOR,W 27-17,,,,,,,,,,,0.0%,
53,1998,1998-12-20,15,26.197,ATL,@,DET,W 24-17,,,,,,,,,,,0.0%,
54,1998,1998-12-27,16,26.204,ATL,,MIA,W 38-16,,,,,,,,,,,0.0%,
55,2000,2000-09-03,1,28.089,ATL,,SFO,W 36-28,,,,,,,,,,,0.0%,
56,2000,2000-09-10,2,28.096,ATL,@,DEN,L 14-42,,,,,,0,,,,,0.0%,
57,2000,2000-09-17,3,28.103,ATL,@,CAR,W 15-10,,,,,,,,,,,0.0%,
58,2000,2000-09-24,4,28.110,ATL,,STL,L 20-41,,,,,,,,,,,0.0%,
59,2000,2000-10-01,5,28.117,ATL,@,PHI,L 10-38,,,,,,,,,,,0.0%,
60,2000,2000-10-08,6,28.124,ATL,,NYG,L 6-13,,,,,,,,,,,0.0%,
61,2000,2000-10-15,7,28.131,ATL,@,STL,L 29-45,,,,,,,,,,,0.0%,
62,2000,2000-10-22,8,28.138,ATL,,NOR,L 19-21,,,,,,,,,,,0.0%,
63,2000,2000-10-29,9,28.145,ATL,,CAR,W 13-12,,,,,,,,,,,0.0%,
64,2000,2000-11-05,10,28.152,ATL,,TAM,L 14-27,,,,,,0,,,,,0.0%,
65,2000,2000-11-12,11,28.159,ATL,@,DET,L 10-13,,,,,,0,,,,,0.0%,
