ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1968,1968-09-14,1,23.208,MIA,,HOU,L 10-24,0,0,,0,0,0,,0,1,15,15.00,0
2,1968,1968-11-17,10,23.272,MIA,,CIN,L 21-38,0,0,,0,3,54,18.00,0,2,15,7.50,0
3,1968,1968-11-24,11,23.279,MIA,@,BOS,W 34-10,2,6,3.00,0,0,0,,0,2,10,5.00,0
4,1968,1968-12-08,13,23.293,MIA,,BOS,W 38-7,2,7,3.50,0,0,0,,0,0,0,,0
