ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2015,2015-09-13,1,26.235,TAM,,TEN,L 14-42,,4,188,47.00,0
2,2015,2015-09-20,2,26.242,TAM,@,NOR,W 26-19,,3,116,38.67,0
3,2015,2015-09-27,3,26.249,TAM,@,HOU,L 9-19,,7,312,44.57,0
4,2015,2015-10-04,4,26.256,TAM,,CAR,L 23-37,,2,82,41.00,0
5,2015,2015-10-11,5,26.263,TAM,,JAX,W 38-31,,3,101,33.67,0
6,2015,2015-10-25,6,26.277,TAM,@,WAS,L 30-31,,2,89,44.50,0
7,2015,2015-11-01,7,26.284,TAM,@,ATL,W 23-20,,3,127,42.33,0
8,2015,2015-11-08,8,26.291,TAM,,NYG,L 18-32,,2,85,42.50,0
9,2015,2015-11-15,9,26.298,TAM,,DAL,W 10-6,,4,167,41.75,0
10,2015,2015-11-22,10,26.305,TAM,@,PHI,W 45-17,,4,179,44.75,0
11,2015,2015-11-29,11,26.312,TAM,@,IND,L 12-25,,3,142,47.33,0
12,2015,2015-12-06,12,26.319,TAM,,ATL,W 23-19,,3,112,37.33,0
13,2015,2015-12-13,13,26.326,TAM,,NOR,L 17-24,,5,206,41.20,0
14,2015,2015-12-17,14,26.330,TAM,@,STL,L 23-31,,3,122,40.67,0
15,2015,2015-12-27,15,26.340,TAM,,CHI,L 21-26,,4,173,43.25,0
16,2015,2016-01-03,16,26.347,TAM,@,CAR,L 10-38,,4,147,36.75,0
17,2016,2016-09-11,1,27.234,GNB,@,JAX,W 27-23,,4,184,46.00,0
18,2016,2016-09-18,2,27.241,GNB,@,MIN,L 14-17,,5,193,38.60,0
19,2016,2016-09-25,3,27.248,GNB,,DET,W 34-27,,2,83,41.50,0
20,2016,2016-10-09,4,27.262,GNB,,NYG,W 23-16,,4,146,36.50,0
21,2016,2016-10-16,5,27.269,GNB,,DAL,L 16-30,,1,47,47.00,0
22,2016,2016-10-20,6,27.273,GNB,,CHI,W 26-10,,1,46,46.00,0
23,2016,2016-10-30,7,27.283,GNB,@,ATL,L 32-33,,3,163,54.33,0
24,2016,2016-11-06,8,27.290,GNB,,IND,L 26-31,,4,193,48.25,0
25,2016,2016-11-13,9,27.297,GNB,@,TEN,L 25-47,,4,202,50.50,0
26,2016,2016-11-20,10,27.304,GNB,@,WAS,L 24-42,,3,138,46.00,0
27,2016,2016-11-28,11,27.312,GNB,@,PHI,W 27-13,,1,43,43.00,0
28,2016,2016-12-04,12,27.318,GNB,,HOU,W 21-13,,5,215,43.00,0
29,2016,2016-12-11,13,27.325,GNB,,SEA,W 38-10,,4,154,38.50,0
30,2016,2016-12-18,14,27.332,GNB,@,CHI,W 30-27,,4,168,42.00,0
31,2016,2016-12-24,15,27.338,GNB,,MIN,W 38-25,,6,259,43.17,0
32,2016,2017-01-01,16,27.346,GNB,@,DET,W 31-24,,5,186,37.20,0
