ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1961,1961-09-24,2,26.082,NYG,@,PIT,W 17-14,0,0,,0,0,0,,0,0,0,,0,0,0,2,19,0
2,1961,1961-10-15,5,26.103,NYG,@,DAL,W 31-10,0,0,,0,0,0,,0,0,0,,0,1,6,2,102,1
3,1961,1961-10-29,7,26.117,NYG,,DAL,L 16-17,0,0,,0,0,0,,0,0,0,,0,0,0,1,5,0
4,1961,1961-11-05,8,26.124,NYG,,WAS,W 53-0,0,0,,0,0,0,,0,0,0,,0,0,0,1,34,0
5,1961,1961-11-12,9,26.131,NYG,,PHI,W 38-21,1,62,62.00,1,0,0,,0,0,0,,0,1,6,0,0,0
6,1961,1961-11-19,10,26.138,NYG,,PIT,W 42-21,1,12,12.00,0,0,0,,0,0,0,,0,0,0,0,0,0
7,1961,1961-11-26,11,26.145,NYG,@,CLE,W 37-21,0,0,,0,0,0,,0,0,0,,0,1,6,1,35,1
8,1962,1962-09-16,1,27.074,NYG,@,CLE,L 7-17,0,0,,0,0,0,,0,0,0,,0,0,0,1,11,0
9,1962,1962-09-30,3,27.088,NYG,@,PIT,W 31-27,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
10,1962,1962-10-21,6,27.109,NYG,,DET,W 17-14,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
11,1962,1962-10-28,7,27.116,NYG,,WAS,W 49-34,0,0,,0,0,0,,0,0,0,,0,0,0,1,10,0
12,1962,1962-11-04,8,27.123,NYG,,STL,W 31-28,0,0,,0,0,0,,0,0,0,,0,0,0,1,22,0
13,1962,1962-12-02,12,27.151,NYG,@,CHI,W 26-24,0,0,,0,0,0,,0,0,0,,0,0,0,1,18,0
14,1963,1963-11-03,8,28.122,NYG,@,STL,W 38-21,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
15,1963,1963-12-08,13,28.157,NYG,,WAS,W 44-14,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
16,1963,1963-12-15,14,28.164,NYG,,PIT,W 33-17,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
17,1964,1964-09-20,2,29.078,NYG,@,PIT,L 24-27,0,0,,0,0,0,,0,0,0,,0,1,6,1,26,1
18,1964,1964-11-01,8,29.120,NYG,,STL,W 34-17,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
19,1964,1964-11-15,10,29.134,NYG,@,STL,T 10-10,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0,0,0
20,1965,1965-09-26,2,30.084,CLE,,STL,L 13-49,0,0,,0,0,0,,0,0,0,,0,0,0,1,35,0
21,1966,1966-09-11,1,31.069,CLE,@,WAS,W 38-14,0,0,,0,0,0,,0,0,0,,0,0,0,1,54,0
22,1966,1966-10-02,4,31.090,CLE,@,NYG,W 28-7,0,0,,0,0,0,,0,0,0,,0,0,0,1,34,0
