ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists
1,2016,2016-09-11,1,22.287,NWE,@,ARI,W 23-21,,1,26,26.00,0,1,10,10.00,0,0.0,0,0
2,2016,2016-09-18,2,22.294,NWE,,MIA,W 31-24,,0,0,,0,0,0,,0,0.0,0,0
3,2016,2016-09-22,3,22.298,NWE,,HOU,W 27-0,,1,24,24.00,0,2,23,11.50,0,0.0,1,1
4,2016,2016-10-02,4,22.308,NWE,,BUF,L 0-16,,2,30,15.00,0,1,0,0.00,0,0.0,0,1
5,2016,2016-10-09,5,22.315,NWE,@,CLE,W 33-13,,0,0,,0,0,0,,0,0.0,0,0
6,2016,2016-11-13,9,22.350,NWE,,SEA,L 24-31,,1,43,43.00,0,2,8,4.00,0,0.0,0,0
7,2016,2016-11-20,10,22.357,NWE,@,SFO,W 30-17,,2,33,16.50,0,1,0,0.00,0,0.0,0,0
8,2016,2016-12-04,12,23.005,NWE,,LAR,W 26-10,,1,24,24.00,0,2,1,0.50,0,0.0,0,0
9,2016,2016-12-12,13,23.013,NWE,,BAL,W 30-23,*,0,0,,0,1,0,0.00,0,0.0,2,1
10,2016,2016-12-24,15,23.025,NWE,,NYJ,W 41-3,,0,0,,0,1,4,4.00,0,0.0,0,1
11,2018,2018-09-23,3,24.298,NWE,@,DET,L 10-26,,0,0,,0,0,0,,0,0.0,0,0
